Subject Id,Subject Title,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule
"21W.011","Writing and Rhetoric: Rhetoric and Contemporary Issues",3,0,9,12,,"CI-HW","HASS-H","",,"Provides the opportunity for students - as readers, viewers, writers, and speakers - to engage with social and ethical issues they care deeply about. Explores perspectives on a range of social issues, such as the responsibilities of citizens, freedom of expression, poverty and homelessness, mental illness, the challenges of an aging society, the politics of food, and racial and gender inequality. Discusses rhetorical strategies that aim to increase awareness of social problems; to educate the public about different perspectives on contemporary issues; and to persuade readers of the value of particular positions on, or solutions to, social problems. Students analyze selected texts and photographs, as well as documentary and feature films, that represent or dramatize social problems or issues. Students also write essays about social and ethical issues of their own choice. Limited to 18.",,,,,Y,,Y,,,"A. Walsh","Lecture,8-119/TR/0/9.30-11,8-119/TR/0/1-2.30"
"21W.012","Writing and Rhetoric: Food for Thought",3,0,9,12,,"CI-HW","HASS-H","",,"Explores many of the issues that surround food as both material fact and personal and cultural symbol. Includes non-fiction works on topics such as family meals, food's ability to awaken us to ""our own powers of enjoyment"" (M.F.K. Fisher), and eating as an ""agricultural act"" (W. Berry). Students read Michael Pollan's best-selling book In Defense of Food and discuss the issues it raises about America's food supply and eating habits, as well as the rhetorical strategies it employs. Assignments include narratives, analytical essays, and research-based essays. Limited to 18.",,,,,Y,,,,,"S. Carlisle","Lecture,56-162/MW/0/11-12.30"
"21W.013","Writing and Rhetoric: Introduction to Contemporary Rhetoric",3,0,9,12,,"CI-HW","HASS-H","",,"Considers how rhetoric shapes current events in politics, science, and society. Students study rhetoric as a theoretical framework for developing persuasive arguments, as a method of analyzing written, oral, and visual texts, and as a mode of human inquiry. Assignments include analytical, persuasive, and research-based essays, as well as oral presentations, group discussions, and debates. Readings drawn from political speeches, scientific arguments, and popular media. Limited to 18.",,,,,Y,,,,,"E. Harrison Lepera","Lecture,56-191/MW/0/9.30-11"
"21W.014","Writing and Rhetoric: Exploring Visual Media",3,0,9,12,,"CI-HW","HASS-H","",,"Explores the rhetoric of visual media and the meaning of the digital revolution. Students analyze readings and films and discuss the power of media in defining social issues and shaping ideas of self, family, and community. They also write essays that sharpen skills in analyzing visual rhetoric, developing and supporting arguments, and using sources. Limited to 18.",,,,"2017-2018",,,Y,,,,
"21W.015","Writing and Rhetoric: Writing about Sports",3,0,9,12,,"CI-HW","HASS-H","",,"Examines the role of sports in our individual lives and American culture at large. Considers a broad range of issues, such as heroism and ethical conundrums, gender equality, steroids, and the proper role of sports in college life. Examples of high-quality, descriptive and analytic sports writing serve as the focus for class discussion and as models for student essays. Limited to 18.",,,,,Y,,,,,"K. Boiko","Lecture,1-135/TR/0/3-4.30"
"21W.016","Writing and Rhetoric: Designing Meaning",2,2,8,12,,"CI-HW","HASS-H","",,"Explores how we use rhetoric in text, visuals, and other modes to make meaning. Uses analysis, composition, and debate about rhetorical strategies to develop theoretical and empirical knowledge of how design choices shape our texts and our understanding of the world. In lab, students experiment with rhetorical strategies and assess their effects. Limited to 18.",,,,,Y,,,,,"S. Lane","Lecture,E17-136/MW/0/3-5"
"21W.021","Writing and Experience: MIT Inside, Live",3,0,9,12,,"CI-HW","HASS-H","",,"Acting as participant-observers, students investigate MIT's history and culture through visits to the Institute's archives and museums, relevant readings, and depictions of MIT in popular culture. Students chronicle their experiences and insights through a variety of writing projects, culminating in the completion of a portfolio. Limited to 18.",,,"21W.022,21W.026",,Y,,,,,"J. Graziano","Lecture,1-375/MW/0/2.30-4"
"21W.022","Writing and Experience: Reading and Writing Autobiography",3,0,9,12,,"CI-HW","HASS-H","",,"Draws on a range of autobiographical writing as examples for students to analyze. Students write essays that focus on their own experience, exploring topics such as intellectual growth and development, the childhood and high school years, life at MIT, the influence of place upon one's personality and character, and the role politics and religion play in one's life. Emphasizes clarity, specificity, and structure; investigates various modes of writing (narrative, analytical, expository) and their suitability for different purposes. Limited to 18.",,,"21W.021,21W.026",,Y,,Y,,,"S. Carlisle, S. Carlisle, E. Harrison Lepera, N. Jackson","Lecture,56-162/MW/0/9.30-11,56-191/MW/0/3-4.30,4-265/TR/0/3.30-5"
"21W.026","Writing and Experience: The Hero in the Postmodern World",3,0,9,12,,"CI-HW","HASS-H","",,"Students examine and analyze concepts of the hero - from ancient Greece through the writings of Jung and Joseph Campbell - using the lens of postmodernist thought and critical theory, which largely reject the concept of a hero as role model or ideal. Studies the flaws of the great leaders of earlier times and discusses how the image of the hero influences world view, informs choices, and functions as metaphor in ethical dilemmas. Explores the characteristics that define a hero and how they have changed over time. Considers whether or not certain figures meet the definition of a hero, whether their deeds remain compelling, and whether they still deserve a place in cultural dialog. Students read essays, fiction, and plays depicting heroes in both literature and history, and use workshops and revision to turn ideas and experience into powerful written communication. Limited to 18.",,,"21W.021,21W.022",,Y,,,,,,
"21W.031","Science Writing and New Media: Explorations in Communicating about Science and Technology",3,0,9,12,,"CI-HW","HASS-H","",,"Examines principles of good writing, focusing on those associated with scientific and technical writing. Considers the effects of new media as an avenue for communicating about science. Students discuss scientific articles and essays and work in small groups to critique each other's writing. Assignments include a critical review, a science essay for the general public, and a research or service project proposal. Students choose topics that reflect their background and interests. Formal and informal presentations and group discussions develop oral communication skills. Limited to 18.",,,"21W.032,21W.034,21W.035,21W.036",,Y,,Y,,,"J. Melvold","Lecture,56-162/TR/0/11-12.30,56-180/TR/0/3-4.30"
