Subject Id,Subject Title,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule
"5.00","Energy Technology and Policy: From Principles to Practice",3,0,6,9,,,,"",,"Develops analytical skills to lead a successful technology implementation with an integrated approach that combines technical, economical and social perspectives. Considers corporate and government viewpoints as well as international aspects, such as nuclear weapons proliferation and global climate issues. Discusses technologies such as oil and gas, nuclear, solar, and energy efficiency. Limited to 100.","6.929[J],10.579[J],22.813[J]",,,,,,Y,,,,
"5.03","Principles of Inorganic Chemistry I",5,0,7,12,,,,"5.12",,"Presents principles of chemical bonding and molecular structure, and their application to the chemistry of representative elements of the periodic system.",,,,,,,,,,,
"5.04","Principles of Inorganic Chemistry II",4,0,8,12,,,,"5.03",,"Systematic presentation of the chemical applications of group theory. Emphasis on the formal development of the subject and its applications to the physical methods of inorganic chemical compounds. Against the backdrop of electronic structure, the electronic, vibrational, and magnetic properties of transition metal complexes are presented and their investigation by the appropriate spectroscopy described.",,,,,Y,,,,,"Y. Surendranath, M. Dinca","Lecture,2-105/MWF/0/9;Recitation,8-205/F/0/12,8-205/F/0/1"
"5.05","Principles of Inorganic Chemistry III",2,0,4,6,,,,"5.03","5.04","Principles of main group (s and p block) element chemistry with an emphasis on synthesis, structure, bonding, and reaction mechanisms.",,,,,Y,,,,,"C. Cummins","Lecture,8-205/TR/0/8.30-10"
"5.061","Principles of Organometallic Chemistry",4,0,8,12,,,,"5.03",,"A comprehensive treatment of organometallic compounds of the transition metals with emphasis on structure, bonding, synthesis, and mechanism.",,,,,,,Y,,,,
"5.062","Principles of Bioinorganic Chemistry",2,0,4,6,,,,"5.03",,"Delineates principles that form the basis for understanding how metal ions function in biology. Includes the choice, uptake and assembly of metal-containing units; metal-induced folding of biomolecules; control of metal ion concentrations in cells; electron-transfer chemistry; atom and group transfer chemistry; protein tuning of metal properties; and applications to diagnosis and treatment of disease. Introduces additional topics to expose students to exciting new advances in the field, such as medicinal application of inorganic chemistry; multi-component enzyme systems (e.g.,nitrogenase, hydrogenase, and photosystem II); and metalloprotein engineering and design (e.g., the conversion by mutagenesis of existing metalloprotein scaffolds to achieve novel functions).",,,,,Y,,,,,"D. Suess","Lecture,2-105/TR/0/10-11.30"
"5.063","Organometallic Compounds in Catalytic Reactions",2,0,4,6,,,,"5.061",,"An exploration of organometallic chemistry from the perspective of catalytic reactions in organic and polymer chemistry.",,,,"2017-2018",,,Y,,,,
"5.067","Crystal Structure Refinement",2,3,1,6,,,,"5.068,5.069,permission of instructor",,"Practical aspects of crystal structure determination from data collection strategies to data reduction and basic and advanced refinement problems of organic and inorganic molecules.",,,,,Y,,,,,"P. Mueller","Lecture,4-253/W/0/2-4;Lab,4-253/F/0/1-4"
"5.068","Physical Inorganic Chemistry",3,0,3,6,,,,"5.03;5.04",,"Discusses the physical methods used to probe the electronic and geometric structures of inorganic compounds, with additional techniques employed in the characterization of inorganic solids and surfaces. Includes vibrational spectroscopy, solid state and solution magnetochemical methods, Mössbauer spectroscopy, electron paramagnetic resonance spectroscopy, electrochemical methods, and a brief survey of surface techniques. Applications to current research problems in inorganic and solid-state chemistry.",,,,"2017-2018",,,Y,,,,
"5.069","Crystal Structure Analysis",2,0,4,6,,,,"5.03;5.04",,"Introduction to X-ray crystallography: symmetry in real and reciprocal space, space and Laue groups, geometry of diffraction, structure factors, phase problem, direct and Patterson methods, electron density maps, structure refinement, crystal growth, powder methods, limits of diffraction methods, structure data bases.",,,,,,,Y,,,,
"5.07","Biological Chemistry I",5,0,7,12,"REST",,,"5.12",,"Chemical and physical properties of the cell and its building blocks. Structures of proteins and principles of catalysis. The chemistry of organic/inorganic cofactors required for chemical transformations within the cell. Basic principles of metabolism and regulation in pathways, including glycolysis, gluconeogenesis, fatty acid synthesis/degradation, pentose phosphate pathway, Krebs cycle and oxidative phosphorylation, DNA replication, and transcription and translation.","20.507[J]",,"7.05",,Y,,,,,"A. Klibanov, E. Nolan","Lecture,4-370/MWF/0/9;Recitation,36-372/MW/0/1,36-372/MW/0/2,36-144/TR/0/10,36-144/TR/0/11"
"5.08","Biological Chemistry II",4,0,8,12,,,,"5.12;5.07,7.05",,"More advanced treatment of biochemical mechanisms that underlie biological processes. Topics include macromolecular machines such as the ribosome, the proteosome, fatty acid synthases as a paradigm for polyketide synthases and non-ribosomal polypeptide synthases, and polymerases. Emphasis is on experimental methods used to unravel these processes and how these processes fit into the cellular context and coordinate regulation.","7.08[J]","7.80",,,,,Y,,,,
"5.111","Principles of Chemical Science",5,0,7,12,"CHEM",,,"",,"Introduction to chemistry, with emphasis on basic principles of atomic and molecular electronic structure, thermodynamics, acid-base and redox equilibria, chemical kinetics, and catalysis. Introduction to the chemistry of biological, inorganic, and organic molecules.",,,,,Y,,Y,,,"M. Hong, K. Nelson","Lecture,10-250/MWF/0/12;Recitation,36-112/TR/0/10,36-156/TR/0/10,36-112/TR/0/11,4-159/TR/0/11,35-310/TR/0/11,4-159/TR/0/12,4-149/TR/0/12,36-112/TR/0/12,8-119/TR/0/12,36-144/TR/0/12,66-156/TR/0/12,36-144/TR/0/1,38-166/TR/0/1,4-145/TR/0/2,38-166/TR/0/2,36-155/TR/0/2,36-155/TR/0/3,4-145/TR/0/3"
"5.112","Principles of Chemical Science",5,0,7,12,"CHEM",,,"",,"Introduction to chemistry for students with an unusually strong background in chemistry. Knowledge of calculus equivalent to 18.01 is recommended. Emphasis on basic principles of atomic and molecular electronic structure, thermodynamics, acid-base and redox equilibria, chemical kinetics, and catalysis. Applications of basic principles to problems in metal coordination chemistry, organic chemistry, and biological chemistry.",,,,,Y,,,,,"S. Ceyer, R. Schrock","Lecture,32-123/MWF/0/11;Recitation,56-180/TR/0/11,13-3101/TR/0/11,13-3101/TR/0/12,36-153/TR/0/2"
"5.12","Organic Chemistry I",5,0,7,12,"REST",,,"Chemistry GIR",,"Introduction to organic chemistry. Development of basic principles to understand the structure and reactivity of organic molecules. Emphasis on substitution and elimination reactions and chemistry of the carbonyl group. Introduction to the chemistry of aromatic compounds.",,,"CC.512",,Y,,Y,,,"J. Johnson, C. Rotsides","Lecture,32-123/MWF/0/12;Recitation,26-302/MW/0/2,36-156/MW/0/2,36-156/MW/0/3,8-205/TR/0/10,8-205/TR/0/11,56-169/TR/0/10,56-169/TR/0/11,36-153/TR/0/12,36-153/TR/0/1,36-372/TR/0/12,36-372/TR/0/1,36-372/TR/0/2"
"5.13","Organic Chemistry II",5,0,7,12,,,,"5.12",,"Focuses on synthesis, structure determination, mechanism, and the relationships between structure and reactivity. Selected topics illustrate the role of organic chemistry in biological systems and in the chemical industry.",,,,,Y,,,,,"M. Movassaghi","Lecture,32-141/MWF/0/12;Recitation,36-112/MW/0/2,36-112/MW/0/3,36-372/TR/0/10,36-372/TR/0/11,1-379/TR/0/11,13-4101/TR/0/1,13-4101/TR/0/2"
"5.24","Archaeological Science",3,1,5,9,,,"HASS-S","Chemistry GIR,Physics I GIR",,"Pressing issues in archaeology as an anthropological science. Stresses the natural science and engineering methods archaeologists use to address these issues. Reconstructing time, space, and human ecologies provides one focus; materials technologies that transform natural materials to material culture provide another. Topics include 14C dating, ice core and palynological analysis, GIS and other remote sensing techniques for site location, organic residue analysis, comparisons between Old World and New World bronze production, invention of rubber by Mesoamerican societies, analysis and conservation of Dead Sea Scrolls.","3.985[J],12.011[J]",,,,,,Y,,,,
"5.301","Chemistry Laboratory Techniques",,,,5,,,,"Chemistry GIR;permission of instructor",,"Practical training in basic chemistry laboratory techniques. Intended to provide freshmen with the skills necessary to undertake original research projects in chemistry. Freshmen only. Enrollment limited.",,,,,,Y,,,,,
"5.310","Laboratory Chemistry",2,8,2,12,"LAB",,,"","5.12","Introduces experimental chemistry for students who are not majoring in Course 5. Principles and applications of chemical laboratory techniques, including preparation and analysis of chemical materials, measurement of pH, gas and liquid chromatography, visible-ultraviolet spectrophotometry, infrared spectroscopy, kinetics, data analysis, and elementary synthesis. Enrollment limited.",,,,,Y,,Y,,,"J. Dolhun","Lecture,4-370/TR/0/12;Lab,4-430/MW/0/1-5,4-430/TR/0/1-5"
"5.351","Fundamentals of Spectroscopy",1,2,1,4,"LAB2",,,"Chemistry GIR",,"Students carry out an experiment that introduces fundamental principles of the most common types of spectroscopy, including UV-visible absorption and fluorescence, infrared, and nuclear magnetic resonance. Emphasizes principles of how light interacts with matter, a fundamental and hands-on understanding of how spectrometers work, and what can be learned through spectroscopy about prototype molecules and materials. Students record and analyze spectra of small organic molecules, native and denatured proteins, semiconductor quantum dots, and laser crystals. Satisfies 4 units of Institute Laboratory credit.",,,,,Y,,Y,,,"K. Nelson, M. Twardowski","Lecture,4-153/TR/0/12;Lab,4-430/MW/0/1-5,4-430/TR/0/1-5"
"5.352","Synthesis of Coordination Compounds and Kinetics",1,2,1,4,"LAB2",,,"","5.351","Students carry out an experiment that provides an introduction to the synthesis of simple coordination compounds and chemical kinetics. Illustrates cobalt coordination chemistry and its transformations as detected by visible spectroscopy. Students observe isosbestic points in visible spectra, determine the rate and rate law, measure the rate constant at several temperatures, and derive the activation energy for the aquation reaction. Satisfies 4 units of Institute Laboratory credit.",,,,,Y,,Y,,,"Y. Surendranath","Lecture,4-153/TR/0/12;Lab,4-430/MW/0/1-5,4-430/TR/0/1-5"
