Subject Id,Subject Title,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule
"CC.5111","Principles of Chemical Science",5,0,7,12,"CHEM",,,"","CC.A10,CC.010","Credit cannot also be received for 3.091 , 5.111 , 5.112 , ES.3091 , ES.5111 , ES.5112",,,,,Y,,,,,"E. Vogel","Lecture,16-160/MWF/0/10;Recitation,16-160/TR/0/11"
"CC.512","Organic Chemistry I",5,0,7,12,"REST",,,"Chemistry GIR","CC.A10,CC.010,CC.011","Equivalent to 5.12; See 5.12 for description. Limited to students in Concourse.",,,"5.12",,,,Y,,,,
"CC.181A","Calculus",5,0,7,12,"CAL1",,,"Knowledge of differentiation;elememtary integration","CC.A10,CC.010","Equivalent to 18.01A; see 18.01A for description. Limited to students in Concourse.",,,"18.01,18.01A,ES.181A",,Y,,,,,"R. Winters","Lecture,16-160/MW/0/2-3.30;Recitation,16-160/TR/0/1"
"CC.182A","Calculus",5,0,7,12,"CAL2",,,"Calculus I GIR","CC.A10,CC.010,CC.011","Equivalent to 18.02A; see 18.02A for description. Limited to students in Concourse.",,,"18.02,18.02A,ES.182A",,Y,Y,,,,"R. Winters","Lecture,16-160/MW/0/2-3.30;Recitation,16-160/TR/0/1"
"CC.1802","Calculus",5,0,7,12,"CAL2",,,"Calculus I GIR","CC.A10,CC.010,CC.011","Credit cannot also be received for 18.02 , 18.022 , 18.02A , CC.182A , ES.1802 , ES.182A",,,,,Y,,,,,"R. Winters","Lecture,16-160/MW/0/12.30-2;Recitation,16-160/TR/0/12"
"CC.1803","Differential Equations",5,0,7,12,"REST",,,"","Calculus II GIR;CC.A10,CC.010,CC.011","Equivalent to 18.03; see 18.03 for description. Limited to students in Concourse.",,,"18.03,18.032,ES.1803",,,,Y,,,,
"CC.801","Physics I",5,0,7,12,"PHY1",,,"","CC.A10,CC.010","Credit cannot also be received for 8.01 , 8.011 , 8.012 , 8.01L , CC.8012 , ES.801 , ES.8012",,"CC.8012",,,Y,,,,,"S. Drasco","Lecture,16-160/MW/0/3.30-5;Recitation,16-160/TR/0/2"
"CC.8012","Physics I",5,0,7,12,"PHY1",,,"","CC.A10,CC.010","Credit cannot also be received for 8.01 , 8.011 , 8.012 , 8.01L , CC.801 , ES.801 , ES.8012",,"CC.801",,,Y,,,,,,"Lecture,16-160/MW/0/3.30-5;Recitation,56-191/TR/0/1"
"CC.802","Physics II",5,0,7,12,"PHY2",,,"Physics I GIR;Calculus I GIR","CC.A10,CC.010,CC.011","Credit cannot also be received for 8.02 , 8.021 , 8.022 , CC.8022 , ES.802 , ES.8022",,"CC.8022",,,,,Y,,,,
"CC.8022","Physics II",5,0,7,12,"PHY2",,,"Physics I GIR","Calculus II GIR","Credit cannot also be received for 8.02 , 8.021 , 8.022 , CC.802 , ES.802 , ES.8022",,"CC.802",,,,,Y,,,,
