Subject Id,Subject Title,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule
"EC.050","Re-create Experiments from History: Inform the Future from the Past",,,,4,,,,"",,"Provides perspective for thinking about the future through the study of historical physical science and historically significant experiments. Designed to build awareness of the unexpected through both observation of the sky and lab activities that focus on light, electricity, and motion. Labs are complemented by museum and site visits; readings include accounts by Galileo, Archimedes, and other historical observers. Individual and team assignments provide opportunities to develop skills in observation, exploration, and evaluation. Students must keep an observing notebook and write a reflective paper; students taking the graduate version complete additional assignments.",,"EC.090",,,Y,Y,Y,,,"E. Cavicchi","Lecture,4-409/TR/0/3-5"
"EC.074","The Start-up Experience at MIT",,,,2,,,,"",,"Explores some of the critical actions in starting up a technology-based business, including concept generation, searching prior art and patents, protecting intellectual property, founders agreements, forming and building teams, and work-life balance. Students review case studies and complete exercises that develop practicable knowledge in these areas. Each student keeps an ""idea log book,"" which includes critical assessments of each case study, to be presented at the end of the term. First in a two-part series (seminars do not have to be taken sequentially; see EC.075 in spring term). Preference to undergraduates; open to graduate students with permission of advisor.",,,,,Y,,,,,"J. Hadzima",
"EC.075","Starting Up New Technology-Based Business Enterprises at MIT",,,,2,,,,"",,"Seminar participants define and study the development stages of new enterprises at MIT, from the exciting moment a new idea for a tech product or service is realized, through to selling, customer support, and the next new idea. Follows the history of successful MIT spin-off companies with attention to the people (and their ideas) behind the start-up. Students attend MIT technology and science start-up case presentations given by individuals and teams working from zero-stage, and by partners in going concerns of historical relevance to the Institute and the economy. Second in a two-part series (seminars do not have to be taken sequentially; see EC.074 in fall term).",,,,,,,Y,,,,
"EC.090","Re-create Experiments from History: Inform the Future from the Past",1,3,2,6,,,,"",,"Provides perspective for thinking about the future through the study of historical physical science and historically significant experiments. Designed to build awareness of the unexpected through both observation of the sky and lab activities that focus on light, electricity, and motion. Labs are complemented by museum and site visits; readings include accounts by Galileo, Archimedes, and other historical observers. Individual and team assignments provide opportunities to develop skills in observation, exploration, and evaluation. Students must keep an observing notebook and write a reflective paper; students taking the graduate version complete additional assignments.",,"EC.050",,,Y,Y,Y,,,,"Lecture,4-409/TR/0/3-5"
"EC.110","Introduction to Digital Electronics",,,,3,,,,"",,"Design your own circuits for times when off-the-shelf solutions are not available. Seminar begins with assembly of a utility board. Weekly labs cover digital logic gates, memory elements, and finite-state machine design. Seminar concludes with a team-based design project. Preference given to freshmen. Maximum of 10 students per term, lottery at the first class session if oversubscribed .","6.072[J]",,,,Y,,Y,,,"J. Bales",
"EC.120","Electronics Project Laboratory",2,2,2,6,,,,"",,"Intuition-based introduction to electronics, electronic components and test equipment such as oscilloscopes, meters (voltage, resistance inductance, capacitance, etc.), and signal generators. Emphasizes individual instruction and development of skills, such as soldering, assembly, and troubleshooting. Students design, build, and keep a small electronics project to put their new knowledge into practice. Intended for students with little or no previous background in electronics. Enrollment may be limited.","6.070[J]",,,,Y,,Y,,,"J. Bales",
"EC.210","Visualization for Mathematics, Science, and Technology Education",3,2,7,12,,,,"",,"Introduces principles and techniques for visual communication of educational concepts in mathematics, the natural sciences, and engineering. Students complete interactive assignments and class activities in visual arts media, such as photography, illustration, stop-motion and computer animation, and web graphics. A final project in a visual arts medium of the student's choice must meet professional aesthetic standards for visualization; it must also be applicable for teaching and learning concepts in mathematics, science, or engineering in a formal or informal setting. Coursework requires use of production equipment (e.g., photo and video cameras) and software tools (Adobe Creative Suite, Final Cut Studio, and Maya) at the New Media Center. Limited to 18.",,,,,,,Y,,,,
"EC.305","Digital and Darkroom Imaging",,,,2,,,,"",,"Students use both film and digital photography to develop a creative imaging project of their own choice. Develops skills in the use of image editing software to enhance, select, and combine images that the student has taken. Uses the darkroom to develop film for scanning and for chemical enlargement. Discusses topics such as the camera, composition, lighting, modes and formats, image compression, and halftone and dye sublimation printing. Students are expected to produce a duplicate set of black and white and/or color prints, along with a writeup and digital copy as the project output.",,"EC.A305","EC.310",,Y,,,,,"T. Mislick","Lecture,4-402/R/0/3-5"
"EC.310","Creative Imaging",2,1,6,9,,,,"",,"Focuses on film and digital photography. Develops skill in the use of chemical darkrooms, scanners, digital printers and cameras to create striking still images capable of evoking strong emotional and intellectual responses from a viewer. Emphasizes the interplay between classical chemical and digital techniques and how they can be used to control the use of lighting, color, depth, and composition in an image. Students present their intermediate assignments to the class for critical discussion; at the end of the term, they submit a substantive project presenting their own creative images for critique and evaluation.",,,"EC.305,EC.A305",,,,Y,,,,
"EC.700","D-Lab: Field Study",,,,,,,,"One D;Lab subject;permission of instructor",,"Provides the opportunity to gain direct fieldwork experience in a global context. Subject spans three-four weeks in which students continue work from a prior D-Lab subject. Students work directly with international community partners to find solutions to real world problems, focusing on one or more issues in education, design, or public service. Group presentations and written reflection required.",,,,,,Y,,,,,
