Subject Id,Subject Title,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule
"IDS.012","Statistics, Computation and Applications",3,1,8,12,,,,"6.01,6.0002,18.03,18.06,2.087;6.008,6.041B,14.30,16.09,18.05;permission of instructor",,"Hands-on analysis of data demonstrates the interplay between statistics and computation. Includes four modules, each centered on a specific data set, and introduced by a domain expert. Provides instruction in specific, relevant analysis methods and corresponding algorithmic aspects. Potential modules may include medical data, gene regulation, social networks, finance data (time series), traffic, transportation, weather forecasting, policy, or industrial web applications. Projects address a large-scale data analysis question. Students taking graduate version complete additional assignments. Enrollment limited; priority to Statistics and Data Science minors, and to juniors and seniors.","6.419[J]","6.439[J],IDS.131[J]",,,Y,,,,,"C. Uhler, S. Jegelka","Lecture,26-100/MW/0/11-12.30;Lab,1-246/F/0/10,1-246/F/0/11,8-119/W/0/4"
"IDS.013","Statistical Thinking and Data Analysis",3,1,8,12,"LAB",,,"6.041B,15.0791",,"Introduces a rigorous treatment of statistical data analysis while helping students develop a strong intuition for the strengths and limitations of various methods. Topics include statistical sampling and uncertainty, estimation, hypothesis testing, linear regression, classification, analysis of variation, and elements of data mining. Involves empirical use of hypothesis testing and other statistical methodologies in several domains, including the assessment of A-B experiments on the web and the identification of genes correlated with diseases.","15.075[J]",,"18.650,18.6501,IDS.014",,,,Y,,,,
"IDS.014","Fundamentals of Statistics",4,0,8,12,,,,"18.600,6.041B",,"A broad treatment of statistics, concentrating on specific statistical techniques used in science and industry. Topics: hypothesis testing and estimation. Confidence intervals, chi-square tests, nonparametric statistics, analysis of variance, regression, correlation, decision theory, and Bayesian statistics.","18.650[J]","18.6501","15.075,IDS.013",,Y,,Y,,,"P. Rigollet","Lecture,2-190/TR/0/11-12.30;Recitation,4-265/W/0/3,4-265/W/0/4"
"IDS.045","System Safety",3,0,9,12,"REST",,,"",,"Introduces the concepts of system safety and how to analyze and design safer systems. Topics include the causes of accidents in general, and recent major accidents in particular; hazard analysis, safety-driven design techniques; design of human-automation interaction; integrating safety into the system engineering process; and managing and operating safety-critical systems.","16.63[J]",,,"2017-2018",Y,,,,,,
"IDS.055","Science, Technology, and Public Policy",4,0,8,12,,"CI-H","HASS-S","",,"Analysis of issues at the intersection of science, technology, public policy, and business. Cases drawn from antitrust and intellectual property rights; health and environmental policy; defense procurement and strategy; strategic trade and industrial policy; and R&D funding. Structured around theories of political economy, modified to take into account integration of uncertain technical information into public and private decision-making. Meets with 17.310.","17.309[J],STS.082[J]",,"17.310,IDS.412,STS.482",,Y,,,,,"K. Oye, N. Selin","Lecture,E25-111/MW/0/1.30-3;Recitation,5-231/M/1/7.30 PM,E51-085/T/0/9,1-242/T/1/7.30 PM"
"IDS.060","Environmental Law, Policy, and Economics: Pollution Prevention and Control",3,0,9,12,,,"HASS-S","",,"Reviews and analyzes federal and state regulation of air and water pollution, hazardous waste, green-house gas emissions, and the production and use of toxic chemicals. Analyzes pollution as an economic problem and the failure of markets. Explores the role of science and economics in legal decisions. Emphasizes use of legal mechanisms and alternative approaches (such as economic incentives and voluntary approaches) to control pollution and encourage chemical accident and pollution prevention. Focuses on the major federal legislation, the underlying administrative system, and the common law in analyzing environmental policy, economic consequences, and the role of the courts. Discusses classical pollutants and toxic industrial chemicals, green-house gas emissions, community right-to-know, and environmental justice. Develops basic legal skills: how to read/understand cases, regulations, and statutes. Students taking graduate version are expected to explore the subject in greater depth.","1.801[J],11.021[J],17.393[J]","1.811[J],11.630[J],15.663[J],IDS.540[J]",,,Y,,,,,"N. Ashford","Lecture,E51-057/TR/0/3.30-5"
"IDS.061","Regulation of Chemicals, Radiation, and Biotechnology",3,0,9,12,,,,"1.801,permission of instructor",,"Focuses on policy design and evaluation in the regulation of hazardous substances and processes. Includes risk assessment, industrial chemicals, pesticides, food contaminants, pharmaceuticals, radiation and radioactive wastes, product safety, workplace hazards, indoor air pollution, biotechnology, victims' compensation, and administrative law. Health and economic consequences of regulation, as well as its potential to spur technological change, are discussed for each regulatory regime. Students taking the graduate version are expected to explore the subject in greater depth.","1.802[J],11.022[J]",,,,,,Y,,,,
"IDS.062","Global Environmental Negotiations",2,0,4,6,,,,"Permission of instructor",,"Practical introduction to global environmental negotiations designed for science and engineering students. Covers basic issues in international negotiations, such as North-South conflict, implementation and compliance, trade, and historical perspective on global environmental treaties. Offers hands-on practice in developing and interpreting international agreements through role-play simulations and observation of ongoing climate change negotiating processes. Students taking graduate version complete additional assignments.","12.346[J]","12.846[J],IDS.525[J]",,"2017-2018",Y,,,,,,
"IDS.063","People and the Planet: Environmental Governance and Science",3,0,6,9,,,,"",,"Introduces governance and science aspects of complex environmental problems and approaches to solutions. Introduces quantitative analyses and methodological tools to analyze environmental issues that have human and natural components. Demonstrates concepts through a series of in-depth case studies of environmental governance and science problems. Students develop writing, quantitative modeling, and analytical skills in assessing environmental systems problems and developing solutions. Through experiential activities, such as modeling and policy exercises, students engage with the challenges and possibilities of governance in complex, interacting systems, including biogeophysical processes and societal and stakeholder interactions.","12.387[J],15.874[J]",,,,Y,,,,,"S. Solomon, N. Selin","Lecture,36-112/F/0/10-1"
"IDS.064","Engineering, Economics and Regulation of the Electric Power Sector",3,0,9,12,,,,"14.01,22.081,IDS.060,permission of instructor",,"Provides an in-depth and interdisciplinary look at electric power systems, focusing on regulation as the link among engineering, economic, legal, and environmental viewpoints. Topics include electricity markets, incentive regulation of network utilities, retail competition, tariff design, distributed generation, rural electrification, multinational electricity markets, environmental impacts, and the future of utilities and strategic sustainability issues under both traditional and competitive regulatory frameworks. Background in policy, microeconomics, or engineering desirable. Students taking graduate version complete additional assignments.",,"6.695[J],15.032[J],IDS.505[J]",,,,,Y,,,,
