Subject Id,Subject Title,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule
"MAS.110","Fundamentals of Computational Media Design",3,3,6,12,,"CI-H","HASS-A","",,"History of modern art and design from the perspective of the technologist. Exploration of visual analysis, typography, and technologies for audio/visual expression. Enrollment limited; preference to students in MAS freshman program.",,,,,Y,,,,,"V. Bove","Lecture,E15-341/TR/0/4;Recitation,E15-341/F/0/10"
"MAS.111","Introduction to Doing Research in Media Arts and Sciences",,,,5,,,,"",,"Intended for students pursuing research projects at the Media Laboratory, particularly freshmen and sophomores. Exercises and discussions on topics including Media Lab research areas; documenting research progress; ethical issues in research; patents, copyrights, intellectual property; and giving oral, written, and online presentations of results. A final oral presentation is required. Enrollment limited; preference to students in the Media Arts and Sciences freshman program.",,,,,,,Y,,,,
"MAS.131","Computational Camera and Photography",3,0,9,12,,,,"Permission of instructor",,"Covers the complete pipeline of computational cameras that attempt to digitally capture the essence of visual information by exploiting the synergistic combination of task-specific optics, illumination, sensors, and processing. Students discuss and use thermal, multi-spectral, high-speed and 3-D range-sensing cameras, as well as camera arrays. Presents opportunities in scientific and medical imaging, and mobile phone-based photography. Also covers cameras for human computer interaction (HCI) and sensors that mimic animal eyes. Intended for students with interest in algorithmic and technical aspects of imaging and photography. Students taking graduate version complete additional assignments.",,"MAS.531",,,Y,,,,,,
"MAS.132","Mathematical Methods in Imaging",2,0,7,9,,,,"Permission of instructor",,"Surveys the landscape of imaging techniques and develops skills for conducting imaging research. Reviews technical and social aspects of the evolving camera culture and considers its role in transforming social interactions, reshaping businesses, and influencing communities worldwide. Explores innovative protocols for sharing and consumption of visual media, as well as novel hardware and software tools based on advanced lenses, digital illumination, modern sensors, and emerging image-analysis algorithms. Students taking graduate version complete additional assignments.",,"MAS.532",,,,,Y,,,,
"MAS.377","Objectification: How to Write (and Talk, and Think) about Objects",2,0,7,9,,"CI-H","HASS-H","",,"Examines stylistic strategies for understanding and discussing technological, artistic, and natural objects. Helps students communicate about these objects in a thoughtful and effective way, and improves their ability to envision new objects. Students analyze and discuss professional writing samples from a wide variety of disciplines, then apply their insight during written and oral exercises, including peer critique. Serves as preparation for professional writing and presentation for specialist, technical and general audiences. Students taking graduate version complete additional assignments. Enrollment limited.","21W.734[J]","MAS.677",,,,,Y,,,,
"MAS.490","Independent Study in Media Arts and Sciences",,,,,,,,"Permission of instructor",,"Special projects on group or individual basis. Registration subject to prior arrangement of subject matter and supervision by staff.",,,,,Y,,Y,,,"K. Horowitz",
"MAS.491","Independent Study in Media Arts and Sciences",,,,,,,,,,,,,,,,,,,,"K. Horowitz",
"MAS.UR","Undergraduate Research in Media Arts and Sciences",,,,,,,,"",,"Individual or group study, research, or laboratory investigations under faculty supervision, including individual participation in an ongoing research project. See UROP coordinator for further information",,,,,Y,Y,Y,Y,,"K. Horowitz",
"MAS.URG","Undergraduate Research in Media Arts and Sciences",,,,,,,,,,,,,,,,,,,,"K. Horowitz",
"MAS.500","Hands on Foundations in Media Technology",,,,,,,,"Permission of instructor",,"A series of modular classes designed to provide basic foundations in the skills needed to perform research at the Media Lab. Introduces the technology tool sets and research techniques used broadly at the Media Lab. Students choose from a series of modules that include: hardware basics, I-O and interconnecting, design and fabrication, programming, analyzing data, machine learning, signals and systems, applied control, testing and evaluation methods, documentation and communication methods. Proportional credit will be assigned to each module successfully completed.",,,,,Y,,,,,"M. Feldmeier, J. Paradiso, N. Oxman","Lecture,E15-341/TR/0/10-12"
"MAS.531","Computational Camera and Photography",3,0,9,12,,,,"Permission of instructor",,"Covers the complete pipeline of computational cameras that attempt to digitally capture the essence of visual information by exploiting the synergistic combination of task-specific optics, illumination, sensors, and processing. Students discuss and use thermal, multi-spectral, high-speed and 3-D range-sensing cameras, as well as camera arrays. Presents opportunities in scientific and medical imaging, and mobile phone-based photography. Also covers cameras for human computer interaction (HCI) and sensors that mimic animal eyes. Intended for students with interest in algorithmic and technical aspects of imaging and photography. Students taking graduate version complete additional assignments.",,"MAS.131",,,Y,,,,,,
"MAS.532","Mathematical Methods in Imaging",2,0,7,9,,,,"Permission of instructor",,"Surveys the landscape of imaging techniques and develops skills for conducting imaging research. Reviews technical and social aspects of the evolving camera culture and considers its role in transforming social interactions, reshaping businesses, and influencing communities worldwide. Explores innovative protocols for sharing and consumption of visual media, as well as novel hardware and software tools based on advanced lenses, digital illumination, modern sensors, and emerging image-analysis algorithms. Students taking graduate version complete additional assignments.",,"MAS.132",,,,,Y,,,,
"MAS.533","Imaging Ventures: Cameras, Displays, and Visual Computing",0,9,0,9,,,,"Permission of Instructor",,"Project-oriented seminar covers the opportunities and challenges for businesses based on emergent imaging innovations. Students analyze the landscape of imaging developments, plan business strategies and brainstorm towards a start-up, business unit, non-profit or citizen sector organization; they are encouraged to form teams and craft a business plan to gain practical experience in imaging research. Includes case studies of established and emerging businesses, and talks by invited business speakers. Surveys commercialization and the innovation landscape in all imaging arenas. Topics include mobile camera phones, cameras in developing countries, image-search, medical imaging, online photo sharing, and computational photography. Enrollment limited.",,,,,,,Y,,,,
"MAS.534","Engineering Health: Understanding and Designing Affordable Health Diagnostics",3,1,8,12,,,,"",,"Designing and building novel health diagnostics and sensors while learning the fundamentals of rapid prototyping, applied optics, signals processing, imaging and other advanced sensing modalities. Students work in teams with a physician and technical mentor to design and construct a cutting edge health diagnostic or device. The best projects may be continued in the Spring semester through a clinical trials and ventures program reaching early trials by the end of the school year.","HST.928[J]",,,"2017-2018",Y,,,,,,
"MAS.535","Engineering Health: Designing and Deploying Affordable Health Diagnostics and Therapeutics",6,0,0,6,,,,"",,"Students design and construct a cutting-edge health diagnostic or device and explore opportunities to test and deploy it. Through structured interactions with physicians, and technical rounds at local hospitals, students incorporate user-centric design into their devices and engage with the health community towards implementation. Provides exposure to clinical trials, the FDA, user experience, intellectual property, and entrepreneurship.","HST.929[J]",,,,,,Y,,,,
