Subject Id,Subject Title,Prerequisites,Corequisites,Joint Subjects,Equivalent Subjects,Meets With Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Instructors,Comm Req Attribute,Hass Attribute,Gir Attribute
"1.00","Engineering Computation and Data Science","Calculus I GIR",,,,"1.001",,,,Y,,,,,"REST"
"1.000","Computer Programming for Engineering Applications","","18.03",,,,,Y,,,,"X. Fu",,,"REST"
"1.001","Engineering Computation and Data Science","Calculus I GIR",,,,"1.00",,,,Y,,,,,
"1.007","Big Engineering: Small Solutions with a Large Impact","",,,,,,Y,,,,"B. Marelli",,,
"1.010","Uncertainty in Engineering","Calculus II GIR",,,,,,Y,,,,"S. Saavedra Sanchez",,,
"1.011","Project Evaluation and Management","",,,,,,,,Y,,,,,
"1.013","Senior Civil and Environmental Engineering Design","Permission of instructor",,,,,,,,Y,,,,,
"1.015","Design of Electromechanical Robotic Systems","2.003","2.005,2.05,2.051,2.016;2.671","2.017[J]",,,,,,Y,,,,,"LAB2"
"1.016","Design for Complex Environmental Issues: Building Solutions and Communicating Ideas","",,"2.00C[J],EC.746[J]",,,,,,Y,,,,,
"1.018A","Fundamentals of Ecology I","",,"7.30A[J],12.031A[J]",,,,Y,,,,"O. Cordero Sanchez",,,
"1.018B","Fundamentals of Ecology II","1.018A",,"7.30B[J],12.031B[J]",,,,Y,,,,"M. Follows",,,
"1.020","Engineering Sustainability: Analysis and Design","Physics I GIR;18.03;1.00,1.000",,,,,,,,Y,,,,,
"1.021","Introduction to Modeling and Simulation","18.03,3.016,permission of instructor",,,,,,,,Y,,,,,"REST"
"1.022","Introduction to Network Models","1.00,1.000;18.03;1.010;permission of instructor",,,,,,Y,,,,"A. Jadbabaie-Moghadam",,,
"1.032","Advanced Soil Mechanics","1.010;1.011;1.036",,,,"1.361",,Y,,,,"A. Whittle",,,
"1.035","Multiscale Characterization of Materials","1.050;18.03",,,,,,,,Y,,,,,
"1.036","Structural Mechanics and Design","1.035;1.050",,,,,,,,Y,,,,,
"1.037","Soil Mechanics and Geotechnical Design","",,,,,,,,Y,,,,,
"1.041","Transportation Systems Modeling","1.00,1.000;1.010",,,,,,,,Y,,,,,
"1.044","Fundamentals of Energy in Buildings","Physics I GIR;Calculus II GIR",,"2.66[J],4.42[J]",,,"2017-2018",Y,,,,,,,"REST"
"1.050","Solid Mechanics","Physics I GIR","Calculus II GIR",,,,,Y,,,,"F. Ulm",,,"REST"
"1.053","Dynamics and Control I","Physics II","18.03,2.087","2.003[J]",,,,Y,,Y,,"T. Sapsis, A. Rodriguez Garcia",,,"REST"
"1.054","Mechanics and Design of Concrete Structures","1.035",,,,"1.541",,Y,,,,"O. Buyukozturk",,,
"1.056","Building Structural Systems I","Calculus II GIR",,"4.440[J]",,"4.462",,,,Y,,,,,"REST"
"1.057","Heritage Science and Technology","Permission of instructor",,,,,,Y,,,,"A. Masic",,,
"1.058","Structural Dynamics","18.03,permission of instructor",,,,"1.581[J],2.060[J],16.221[J]",,Y,,,,"T. Cohen",,,
"1.060A","Fluid Mechanics I","Permission of instructor","18.03",,,,,,,Y,,,,,
"1.060B","Fluid Mechanics II","1.060A",,,,,,,,Y,,,,,
"1.061","Transport Processes in the Environment","1.060B",,,,"1.61",,Y,,,,"H. Nepf",,,
"1.061A","Transport Processes in the Environment I","1.060A",,,,,,Y,,,,"H. Nepf",,,
"1.062","Nonlinear Dynamics: Continuum Systems","18.03,18.032;Physics II GIR",,"12.207[J],18.354[J]",,"18.3541",,,,Y,,,,,
"1.064","Physical Limnology","1.061",,,,"1.64","2018-2019",,,Y,,,,,
"1.068","Nonlinear Dynamics and Turbulence","1.060A",,,,"1.686[J],2.033[J],18.358[J]","2017-2018",,,Y,,,,,
"1.070A","Introduction to Hydrology and Water Resources","1.060A","1.061A;1.106","12.320A[J]",,,,Y,,,,"D. Entekhabi",,,
"1.070B","Introduction to Hydrology Modeling","1.070A",,"12.320B[J]",,,,Y,,,,"D. Entekhabi",,,
"1.071","Global Change Science","18.03",,"12.300[J]",,,"2017-2018",Y,,,,,,,
"1.072","Groundwater Hydrology","1.061",,,,"1.72",,Y,,,,"C. Harvey",,,
"1.073","Introduction to Environmental Data Analysis","1.010",,,,,,,,Y,,,,,
"1.074","Multivariate Data Analysis","1.010",,,,,,,,Y,,,,,
"1.075","Water Resource Systems","1.070B,permission of instructor",,,,"1.731",,Y,,,,"D. Mc Laughlin",,,
"1.078","Introduction to Soil Science","",,,,"1.78","2017-2018",Y,,,,,,,
"1.079","Rock-on-a-Chip: Microfluidic Technology for Visualization of Flow in Porous Media","Physics II GIR;1.050;1.060B;1.000,1.00,6.00;permission of instructor",,,,,,,,Y,,,,,
"1.080A","Environmental Chemistry I","Chemistry GIR",,,,,,,,Y,,,,,
"1.080B","Environmental Chemistry II","1.080A",,,,,,,,Y,,,,,
"1.081","Environmental Cancer Risks, Prevention, and Therapy","Calculus II GIR;Biology GIR;Chemistry GIR",,"20.104[J]",,,,,,Y,,,,,
"1.082","Ethics for Engineers","",,,,"6.9041",,Y,,Y,,"B. Trout",,,
"1.084","Systems Microbiology","Chemistry GIR;Biology GIR",,"20.106[J]",,,"2017-2018",Y,,,,,,,
"1.085","Air Pollution","18.03",,"12.336[J]",,,,Y,,,,"C. Heald",,,
"1.087","Fundamentals of Network and Community Ecology","18.06",,,,"1.873",,,,Y,,,,,
"1.089","Environmental Microbiology","Biology GIR",,,,"1.89",,,,Y,,,,,
"1.089A","Environmental Microbiology I","Biology GIR,permission of instructor",,,,,,,,Y,,,,,
"1.091","Traveling Research Environmental eXperience (TREX): Fieldwork","Permission of instructor",,,,,,,Y,,,,,,
"1.092","Traveling Research Environmental eXperience (TREX): Fieldwork Analysis and Communication","1.091",,,,,,,,Y,,,,,
"1.097","Introduction to Civil and Environmental Engineering Research","",,,,,,,Y,,,,,,
"1.101","Introduction to Civil and Environmental Engineering Design I","",,,,,,,,,,"T. Cohen",,,
"1.102","Introduction to Civil and Environmental Engineering Design II","Physics II GIR;","1.060B;permission of instructor",,,,,,,Y,,,,,"LAB2"
"1.106","Environmental Fluid Transport Processes and Hydrology Laboratory","","1.061A;1.070A",,,,,Y,,,,"H. Nepf",,,"LAB2"
"1.107","Environmental Chemistry and Biology Laboratory","1.018A,permission of instructor","1.080A",,,,,,,Y,,,,,"LAB2"
"1.124","Software and Computation for Simulation","1.00,permission of instructor",,"2.091[J]",,,,Y,,,,,,,
"1.125","Architecting & Engineering Software Systems","1.00,1.124J,permission of instructor",,,,,,Y,,,,"J. Williams",,,
"1.126","Pattern Recognition and Analysis","Permission of instructor",,"MAS.622[J]",,,,Y,,,,,,,
"1.128","Computational Geometry","Permission of instructor",,"2.089[J]",,,,,,Y,,,,,
"1.138","Wave Propagation","2.003;18.075",,"2.062[J],18.376[J]",,,"2017-2018",,,Y,,,,,
"1.142","Robust Modeling, Optimization, and Computation","18.06,permission of instructor",,"15.094[J]",,,"2017-2018",,,Y,,,,,
"1.146","Engineering Systems Analysis for Design","Permission of instructor",,,"IDS.333",,,Y,,,,"R. De Neufville",,,
"1.151","Probability and Statistics in Engineering","Permission of instructor",,,,,,,,Y,,,,,
"1.153","Transportation Policy, the Environment, and Livable Communities","1.011",,,,"1.253[J],11.543[J]",,,,Y,,,,,
"1.200","Transportation Systems Analysis: Performance and Optimization","1.010;permission of instructor",,"11.544[J]",,,,,,,,"C. Osorio Pizano",,,
"1.201","Transportation Systems Analysis: Demand and Economics","Permission of instructor",,"11.545[J]",,,,Y,,,,"M. Ben-Akiva, C. Lima De Azevedo",,,
"1.202","Demand Modeling","1.201,permission of instructor",,,,,,,,Y,,,,,
"1.203","Applied Probability and Stochastic Models","6.041B",,"15.073[J],IDS.700[J]",,,,Y,,,,"A. Barnett, R. Larson",,,
"1.204","Computer Modeling: From Human Mobility to Transportation Networks","1.001;1.010;permission of instructor",,,,,,,,Y,,,,,
"1.205","Advanced Demand Modeling","1.202,permission of instructor",,,,,"2017-2018",Y,,,,,,,
"1.207","Computer Algorithms in Systems Engineering","1.001,permission of instructor",,,,,,,,Y,,,,,
"1.208","Resilient Infrastructure Networks","1.151,6.431B;15.093",,,,,,Y,,,,"S. Amin",,,
