Subject Id,Subject Title,Subject Level,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule,URL
"18.01","Calculus","U",5,0,7,12,"CAL1",,,"",,"Differentiation and integration of functions of one variable, with applications.  Informal treatment of limits and continuity.  Differentiation: definition, rules, application to graphing, rates, approximations, and extremum problems. Indefinite integration; separable first-order differential equations.  Definite integral; fundamental theorem of calculus. Applications of integration to geometry and science.  Elementary functions.  Techniques of integration.  Polar coordinates. L'Hopital's rule.  Improper integrals.  Infinite series: geometric, p-harmonic, simple comparison tests, power series for some elementary functions.",,,,,Y,,Y,,,"Fall:  J. Speck\nSpring:  J. Bush","Lecture,2-135/TR/0/11/F/0/2;Recitation,2-135/MW/0/2","http://student.mit.edu/catalog/m18a.html#18.01"
"18.01A","Calculus","U",5,0,7,12,"CAL1",,,"Knowledge of differentiation;elementary integration",,"Six-week review of one-variable calculus, emphasizing material not on the high-school AB syllabus: integration techniques and applications, improper integrals, infinite series, applications to other topics, such as probability and statistics, as time permits. Prerequisites: one year of high-school calculus or the equivalent, with a score of 5 on the AB Calculus test (or the AB portion of the BC test, or an equivalent score on a standard international exam), or equivalent college transfer credit, or a passing grade on the first half of the 18.01 advanced standing exam.",,,"18.01,CC.181A,ES.1801,ES.181A",,Y,,,,,"D. Maulik",,"http://student.mit.edu/catalog/m18a.html#18.01A"
"18.02","Calculus","U",5,0,7,12,"CAL2",,,"Calculus I GIR",,"Calculus of several variables. Vector algebra in 3-space, determinants, matrices. Vector-valued functions of one variable, space motion. Scalar functions of several variables: partial differentiation, gradient, optimization techniques. Double integrals and line integrals in the plane; exact differentials and conservative fields; Green's theorem and applications, triple integrals, line and surface integrals in space, Divergence theorem, Stokes' theorem; applications.",,,,,Y,,Y,,,"Fall:  J. Bush\nSpring:  L. Guth","Lecture,54-100/TR/0/11/F/0/2;Recitation,2-136/MW/0/10,2-136/MW/0/11,2-142/MW/0/11,2-142/MW/0/12,2-147/MW/0/12,2-142/MW/0/1,2-147/MW/0/1,2-142/MW/0/2","http://student.mit.edu/catalog/m18a.html#18.02"
"18.02A","Calculus","U",5,0,7,12,"CAL2",,,"Calculus I GIR",,"First half is taught during the last six weeks of the Fall term; covers material in the first half of 18.02 (through double integrals). Second half of 18.02A can be taken either during IAP (daily lectures) or during the second half of the Spring term; it covers the remaining material in 18.02.",,,,,Y,Y,Y,,"0,feb 2","Fall:  T. Beck\nSpring:  L. Guth","IAP;Lecture,54-100/MTWRF/0/12;Recitation,2-132/TR/0/10-11.30,2-136/TR/0/10-11.30,2-142/TR/0/10-11.30,2-132/TR/0/2-3.30,2-136/TR/0/2-3.30,2-146/TR/0/2-3.30","http://student.mit.edu/catalog/m18a.html#18.02A"
"18.022","Calculus","U",5,0,7,12,"CAL2",,,"Calculus I GIR",,"Calculus of several variables. Topics as in 18.02 but with more focus on mathematical concepts. Vector algebra, dot product, matrices, determinant. Functions of several variables, continuity, differentiability, derivative. Parametrized curves, arc length, curvature, torsion. Vector fields, gradient, curl, divergence. Multiple integrals, change of variables, line integrals, surface integrals. Stokes' theorem in one, two, and three dimensions.",,,,,Y,,,,,"P. Etingof",,"http://student.mit.edu/catalog/m18a.html#18.022"
"18.03","Differential Equations","U",5,0,7,12,"REST",,,"","Calculus II GIR","Study of differential equations, including modeling physical systems. Solution of first-order ODEs by analytical, graphical, and numerical methods. Linear ODEs with constant coefficients. Complex numbers and exponentials. Inhomogeneous equations: polynomial, sinusoidal, and exponential inputs. Oscillations, damping, resonance. Fourier series. Matrices, eigenvalues, eigenvectors, diagonalization. First order linear systems: normal modes, matrix exponentials, variation of parameters. Heat equation, wave equation. Nonlinear autonomous systems: critical point analysis, phase plane diagrams.",,,"18.032,CC.1803,ES.1803",,Y,,Y,,,"Fall:  A. Negut\nSpring:  B. Poonen","Lecture,26-100/MWF/0/1;Recitation,2-143/TR/0/9,2-136/TR/0/10,2-142/TR/0/10,2-143/TR/0/10,2-131/TR/0/11,2-132/TR/0/11,2-142/TR/0/11,2-146/TR/0/11,2-131/TR/0/12,2-132/TR/0/12,2-142/TR/0/12,2-146/TR/0/12,2-142/TR/0/1,35-308/TR/0/1,26-310/TR/0/1,26-328/TR/0/1,26-328/TR/0/2,2-142/TR/0/2,2-143/TR/0/2,2-142/TR/0/3,2-143/TR/0/3","http://student.mit.edu/catalog/m18a.html#18.03"
"18.031","System Functions and the Laplace Transform","U",,,,1,,,,"","18.03","Studies basic continuous control theory as well as representation of functions in the complex frequency domain. Covers generalized functions, unit impulse response, and convolution; and Laplace transform, system (or transfer) function, and the pole diagram.  Includes examples from mechanical and electrical engineering.",,,,,Y,,Y,,,"Fall:  P. Pearce\nSpring:  P. Pearce","Lecture,2-151/MW/0/10","http://student.mit.edu/catalog/m18a.html#18.031"
"18.032","Differential Equations","U",5,0,7,12,"REST",,,"","Calculus II GIR","Covers much of the same material as 18.03 with more emphasis on theory. The point of view is rigorous and results are proven.  Local existence and uniqueness of solutions.",,,"18.03,CC.1803,ES.1803",,,,Y,,,"N. Edelen","Lecture,4-159/MWF/0/1;Recitation,4-261/TR/0/10","http://student.mit.edu/catalog/m18a.html#18.032"
"18.04","Complex Variables with Applications","U",4,0,8,12,,,,"Calculus II GIR;18.03,18.032",,"Complex algebra and functions; analyticity; contour integration, Cauchy's theorem; singularities, Taylor and Laurent series; residues, evaluation of integrals; multivalued functions, potential theory in two dimensions; Fourier analysis, Laplace transforms, and partial differential equations.",,,"18.075,18.0751",,,,Y,,,"J. Orloff","Lecture,2-143/MWF/0/3;Recitation,2-143/R/0/1","http://student.mit.edu/catalog/m18a.html#18.04"
"18.05","Introduction to Probability and Statistics","U",4,0,8,12,"REST",,,"Calculus II GIR",,"Elementary introduction with applications. Basic probability models. Combinatorics. Random variables. Discrete and continuous probability distributions. Statistical estimation and testing. Confidence intervals. Introduction to linear regression.",,,,,,,Y,,,"D. Vogan","Lecture,32-082/MW/0/9.30-11/F/0/10","http://student.mit.edu/catalog/m18a.html#18.05"
