Subject Id,Subject Title,Subject Level,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule,URL
"21G.011","Topics in Indian Popular Culture","U",3,0,9,12,,"CI-H","HASS-H","",,"Overview of Indian popular culture over the last two decades, through a variety of material such as popular fiction, music, television and Bombay cinema. Explores major themes and their representations in relation to current social and political issues, elements of the formulaic masala movie, music and melodrama, ideas of nostalgia and incumbent change in youth culture, and questions of gender and sexuality in popular fiction. Taught in English. Enrollment limited.",,,,"2018-2019",,,Y,,,"A. Banerjee",,"http://student.mit.edu/catalog/m21Ga.html#21G.011"
"21G.019","Communicating Across Cultures","U",3,0,9,12,,,"HASS-H","",,"Examines a range of communication styles and techniques resulting from different cultural norms and traditions. Begins with a general theoretical framework and then moves into case studies. Topics include understanding the relationship between communication and culture, differences in verbal and non-verbal communication styles, barriers to intercultural communication, modes of specific cross-cultural communication activities (argumentation, negotiation, conflict resolution) and intercultural adjustment. Case studies explore specific ways of communicating in Asian and European cultures. Graduate students are expected to complete additional assignments. Taught in English. Enrollment limited.",,,,"2018-2019",,,Y,,,"J. Dunphy","Lecture,14/TR/0/3.30-5,E-310/TR/0/3.30-5","http://student.mit.edu/catalog/m21Ga.html#21G.019"
"21G.022","International Women's Voices","U",3,0,9,12,,,"HASS-H","",,"Introduces students to a variety of fictional works by contemporary women writers. International perspective emphasizes the extent to which each author's work reflects her distinct cultural heritage and to what extent, if any, there is an identifiable female voice that transcends national boundaries. Uses a variety of interpretive perspectives, including sociohistorical, psychoanalytic, and feminist criticism, to examine texts. Authors include Mariama Ba, Isabel Allende, Anita Desai, Maxine Hong Kingston, Toni Morrison, Doris Lessing, Alifa Riyaat, Yang Jiang, Nawal Al-Saadawi, and Sawako Ariyoshi. Taught in English.","21L.522[J],WGS.141[J]",,,"2017-2018",,,Y,,,,,"http://student.mit.edu/catalog/m21Ga.html#21G.022"
"21G.024","The Linguistic Study of Bilingualism","U",3,0,9,12,,"CI-H","HASS-S","24.900",,"Development of bilingualism in human history (from  Australopithecus  to present day). Focuses on linguistic aspects of bilingualism; models of bilingualism and language acquisition; competence versus performance; effects of bilingualism on other domains of human cognition; brain imaging studies; early versus late bilingualism; opportunities to observe and conduct original research; and implications for educational policies among others. Students participate in six online web meetings with partner institutions.  Taught in English. Enrollment limited.","24.906[J]",,,,Y,,,,,"S. Flynn",,"http://student.mit.edu/catalog/m21Ga.html#21G.024"
"21G.026","Global Africa: Creative Cultures","U",3,0,9,12,,,"HASS-H","",,"Examines contemporary and historical cultural production on and from Africa across a range of registers, including literary, musical and visual arts, material culture, and science and technology. Employs key theoretical concepts from anthropology and social theory to analyze these forms and phenomena. Uses case studies to consider how Africa articulates its place in, and relationship to, the world through creative practices. Discussion topics largely drawn from Francophone and sub-Saharan Africa, but also from throughout the continent and the African diaspora. Taught in English. Limited to 18.",,"21G.326",,"2018-2019",,,Y,,,"M. Edoh",,"http://student.mit.edu/catalog/m21Ga.html#21G.026"
"21G.027","Visualizing Japan in the Modern World","U",3,0,9,12,,"CI-H","HASS-H","",,"Studies how visual images shape the identity of peoples, cultures, and events in Japan. Uses visuals from major collections in the US and Japan to introduce the conceptual and practical issues involved in 'visualizing cultures.' Projects look at American and Japanese graphics depicting contacts between Japan and the West in the 19th and early 20th centuries. Taught in English using material and features of edX subject, including videos and online discussion. Enrollment limited.","CMS.874[J]","21G.590",,,Y,,,,,"S. Miyagawa",,"http://student.mit.edu/catalog/m21Ga.html#21G.027"
"21G.030","Introduction to East Asian Cultures: From Zen to K-Pop","U",3,0,9,12,,,"HASS-H","",,"Examines traditional forms of East Asian culture (including literature, art, performance, food, and religion) as well as contemporary forms of popular culture (film, pop music, karaoke, and manga). Covers China, Japan, Korea, Taiwan, and Hong Kong, with an emphasis on China. Considers women's culture, as well as the influence and presence of Asian cultural expressions in the US. Uses resources in the Boston area, including the MFA, the Children's Museum, and the Sackler collection at Harvard. Taught in English.","WGS.236[J]","21G.193",,"2018-2019",Y,,,,,"E. Teng Chung",,"http://student.mit.edu/catalog/m21Ga.html#21G.030"
"21G.036","Advertising and Media: Comparative Perspectives","U",3,0,9,12,,,"HASS-H","",,"Compares modern and contemporary advertising culture in China, the US, and other emerging markets. First half focuses on branding in the old media environment; second half introduces the changing practice of advertising in the new media environment. Topics include branding and positioning, media planning, social media campaigns, cause marketing 2.0, social TV, and mobility marketing. Required lab work includes interactive sessions in branding a team product for the US (or a European country) and China markets. Taught in English and requires no knowledge of Chinese. Students taking graduate version complete additional assignments.","CMS.356[J]","21G.190,CMS.888",,,,,Y,,,"J. Wang",,"http://student.mit.edu/catalog/m21Ga.html#21G.036"
"21G.038","China in the News: The Untold Stories","U",3,0,9,12,,"CI-H","HASS-H","",,"Examines issues and debates crucial to understanding contemporary Chinese society, culture, and politics. Discusses how cultural politics frames the way in which China is viewed by mass media around the world and by China scholars in the West. Topics include the Beijing Olympic Games; Mao in post-Mao China; the new patriotism; leisure and consumer culture; the rise of the internet and web culture in urban China; media censorship, remix, and creative online culture. Analyzes the central debate over progress and the role played by the state, the market, and citizen activists in engineering social change. Uses documentaries and feature films to illustrate the cultural, social and political changes that have taken place in China since the 1980s. Includes two short writing assignments and a final paper. Taught in English.",,"21G.194",,"2018-2019",,,Y,,,"J. Wang","Lecture,14/MW/0/3.30-5,N-313/MW/0/3.30-5","http://student.mit.edu/catalog/m21Ga.html#21G.038"
"21G.039","Gender and Japanese Popular Culture","U",3,0,9,12,,,"HASS-H","",,"Examines relationships between identity and participation in Japanese popular culture as a way of understanding the changing character of media, capitalism, fan communities, and culture. Emphasizes contemporary popular culture and theories of gender, sexuality, race, and the workings of power and value in global culture industries. Topics include manga (comic books), hip-hop and other popular music, anime and feature films, video games, contemporary literature, and online communication. Students present analyses and develop a final project based on a particular aspect of gender and popular culture. Several films screened outside of regular class meeting times. Taught in English.","21A.143[J],WGS.154[J]","21G.591",,"2018-2019",,,Y,,,"I. Condry","Lecture,34-301/T/0/1-4","http://student.mit.edu/catalog/m21Ga.html#21G.039"
