Subject Id,Subject Title,Subject Level,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule,URL
"21L.000","Writing About Literature","U",3,0,9,12,,"CI-HW","HASS-H","",,"Intensive focus on the reading and writing skills used to analyze literary texts such as poems by Emily Dickinson, Shakespeare or Langston Hughes; short stories by Chekhov, Joyce, or Alice Walker; and a short novel by Melville or Toni Morrison. Designed not only to prepare students for further work in writing and literary and media study, but also to provide increased confidence and pleasure in their reading, writing, and analytical skills. Students write or revise essays weekly. Enrollment limited.","21W.041[J]",,,"2017-2018",Y,,,,,,,"http://student.mit.edu/catalog/m21La.html#21L.000"
"21L.001","Foundations of Western Literature: Homer to Dante","U",3,0,9,12,,"CI-H","HASS-H","",,"Studies a broad range of texts essential to understanding the two great sources of Western conceptions of the world and humanity's place within it: the ancient world of Greece and Rome and the Judeo-Christian world that challenged and absorbed it. Readings vary but usually include works by Homer, Sophocles, Aristotle, Plato, Virgil, St. Augustine, and Dante. Enrollment limited.",,,,,,,Y,,,"S. Frampton","Lecture,66-156/TR/0/3.30-5","http://student.mit.edu/catalog/m21La.html#21L.001"
"21L.002","Foundations of Western Literature: From Shakespeare to the Present","U",3,0,9,12,,"CI-H","HASS-H","",,"A broad survey of texts, literary, philosophical, and sociological, studied to trace the growth of secular humanism, the loss of a supernatural perspective upon human events, and changing conceptions of individual, social, and communal purpose. Stresses appreciation and analysis of texts that came to represent the common cultural possession of our time. Enrollment limited.",,,,"2017-2018",,,Y,,,,,"http://student.mit.edu/catalog/m21La.html#21L.002"
"21L.003","Reading Fiction","U",3,0,9,12,,"CI-H","HASS-H","",,"Introduces prose fiction, both stories and novels. Emphasizes historical context, narrative structure and close reading. Enrollment limited.",,,,,Y,,,,,"D. Thorburn",,"http://student.mit.edu/catalog/m21La.html#21L.003"
"21L.004","Reading Poetry","U",3,0,9,12,,"CI-H","HASS-H","",,"Emphasis on poetry in various forms (lyric, epic, and dramatic), chiefly in English-speaking countries. Syllabus usually includes works by Shakespeare, Milton, Donne, Keats, Dickinson, Frost, Eliot, Langston Hughes, Lowell, and Plath. Enrollment limited.",,,,,Y,,Y,,,"Fall:  S. Tapscott","Lecture,2-103/MW/0/1-2.30,1-375/MW/0/9.30-11","http://student.mit.edu/catalog/m21La.html#21L.004"
"21L.005","Introduction to Drama","U",3,0,9,12,,"CI-H","HASS-A","",,"A study of the history of theater art and practice from its origins to the modern period, including its roles in non-Western cultures. Special attention to the relationship between the literary and performative dimensions of drama, and the relationship between drama and its cultural context. Enrollment limited.",,,,,Y,,Y,,,"Fall:  A. Fleche\nSpring:  D. Henderson","Lecture,5-234/TR/0/11-12.30","http://student.mit.edu/catalog/m21La.html#21L.005"
"21L.006","American Literature","U",3,0,9,12,,"CI-H","HASS-H","",,"Studies the national literature of the United States since the early 19th century. Considers a range of texts - including, novels, essays, films, and electronic media - and their efforts to define the notion of American identity. Readings usually include works by such authors as Nathaniel Hawthorne, Henry David Thoreau, Frederick Douglass, Emily Dickinson, Flannery O'Connor, William Faulkner, Sherman Alexie, and Toni Morrison. Enrollment limited.",,,,,Y,,,,,"W. Kelley",,"http://student.mit.edu/catalog/m21La.html#21L.006"
"21L.007","World Literatures","U",3,0,9,12,,"CI-H","HASS-H","",,"Introduces students to a coherent set of textual and visual materials drawn from different geographical regions, languages, artistic genres, and historical periods.  The focus may vary but usually cuts across national boundaries. Includes non-English works read in translation and examines different kinds of writing, both fiction and nonfiction. Pays special attention to such issues as identity formation, cultural contact, exploration, and exile. Previously taught topics include contemporary writing from Africa and South Asia, the impact of the discovery of the New World, and Caribbean literature. Enrollment limited.",,,,,,,Y,,,"J. Terrones","Lecture,56-167/TR/0/9.30-11","http://student.mit.edu/catalog/m21La.html#21L.007"
"21L.008","Black Matters:  Introduction to Black Studies","U",3,0,9,12,,"CI-H",,"",,"Interdisciplinary survey of people of African descent that draws on the overlapping approaches of history, literature, anthropology, legal studies, media studies, performance, linguistics, and creative writing. Connects the experiences of African-Americans and of other American minorities, focusing on social, political, and cultural histories, and on linguistic patterns. Includes lectures, discussions, workshops, and required field trips that involve minimal cost to students.","24.912[J],21H.106[J],21W.741[J],WGS.190[J]",,,,,,Y,,,"M. DeGraff, D. Fox Harrell","Lecture,32-144/T/0/1-4","http://student.mit.edu/catalog/m21La.html#21L.008"
"21L.009","Shakespeare","U",3,0,9,12,,"CI-H","HASS-H","",,"Focuses on the close reading of six to eight of Shakespeare plays, as well as their adaptation for stage and/or film.  Selected texts cover the range of genres in which Shakespeare wrote (i.e., history, comedy, tragedy, and romance). Special emphasis in some terms on performances and adaptions of Shakespearean drama around the world. Plays studied vary across sections and from term to term, and have recently included  Henry IV Part 1 ,  Hamlet ,  A Midsummer Night's Dream ,  King Lear ,  Othello , and  The Tempest . Enrollment limited.",,,,,Y,,Y,,,"Fall:  S. Raman\nSpring:  P. Donaldson","Lecture,16-628/TR/0/3.30-5","http://student.mit.edu/catalog/m21La.html#21L.009"
