Subject Id,Subject Title,Subject Level,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule,URL
"21M.011","Introduction to Western Music","U",4,0,8,12,,"CI-H","HASS-A","",,"Provides a broad overview of Western music from the Middle Ages to the 20th century, with emphasis on late baroque, classical, romantic, and modernist styles. Designed to enhance the musical experience by developing listening skills and an understanding of diverse forms and genres. Major composers and works placed in social and cultural contexts. Weekly lectures feature demonstrations by professional performers and introduce topics to be discussed in sections. Enrollment limited.",,,,,Y,,Y,,,"Fall:  E. Pollock\nSpring:  M. Marks, C. Latham, T. Neff","Lecture,4-270/W/0/3.30-5;Recitation,4-152/MF/0/1,4-152/TR/0/1,4-152/TR/0/4","http://student.mit.edu/catalog/m21Ma.html#21M.011"
"21M.013","The Supernatural in Music, Literature and Culture","U",3,0,9,12,,"CI-H",,"",,"Explores the relationship between music and the supernatural, focusing on the social history and context of supernatural beliefs as reflected in key literary and musical works from 1600 to the present. Provides an understanding of the place of ambiguity and the role of interpretation in culture, science and art. Explores great works of art by Shakespeare, Verdi, Goethe (in translation), Gounod, Henry James and Benjamin Britten. Readings also include selections from the most recent scholarship on magic and the supernatural. Writing assignments range from web-based projects to analytic essays. No previous experience in music is necessary.  Projected guest lectures, musical performances, field trips. Limited to 36.","21L.013[J]",,,,Y,,,,,"C. Shadle",,"http://student.mit.edu/catalog/m21Ma.html#21M.013"
"21M.030","Introduction to World Music","U",3,0,9,12,,"CI-H","HASS-A","",,"An introduction to diverse musical traditions of the world. Music from a wide range of geographical areas is studied in terms of structure, performance practice, social use, aesthetics, and cross-cultural contact. Includes hands-on music making, live demonstrations by guest artists, and ethnographic research projects. Enrollment limited by lottery.",,,,,Y,,Y,,,"Fall:  P. Tang\nSpring:  E. Ziporyn, K. Haas","Lecture,4-364/MW/0/11-12.30,4-364/MW/0/12.30-2,4-364/TR/0/12.30-2","http://student.mit.edu/catalog/m21Ma.html#21M.030"
"21M.051","Fundamentals of Music","U",3,1,8,12,,,"HASS-A","",,"Introduces students to the rudiments of Western music through oral, aural, and written practice utilizing rhythm, melody, intervals, scales, chords, and musical notation. Individual skills are addressed through a variety of approaches, including keyboard practice in the required piano labs. Limited to 20 by lottery. Not open to students who have completed 21M.301 or 21M.302.",,,,,Y,,Y,,,"Fall:  K. Salfelder\nSpring:  K. Salfelder, Staff","Lecture,4-162/MW/0/12.30-2,4-158/MW/0/3.30-5,4-162/TR/0/11-12.30","http://student.mit.edu/catalog/m21Ma.html#21M.051"
"21M.065","Introduction to Musical Composition","U",3,0,9,12,,,"HASS-A","",,"Through a progressive series of composition projects, students investigate the sonic organization of musical works and performances, focusing on fundamental questions of unity and variety. Aesthetic issues are considered in the pragmatic context of the instructions that composers provide to achieve a desired musical result, whether these instructions are notated in prose, as graphic images, or in symbolic notation. No formal training is required. Weekly listening, reading, and composition assignments draw on a broad range of musical styles and intellectual traditions, from various cultures and historical periods. Limited to 18.",,,,,Y,,Y,,,"Fall:  E. Ziporyn","Lecture,24-033/TR/0/11-12.30","http://student.mit.edu/catalog/m21Ma.html#21M.065"
"21M.215","Music of the Americas","U",3,0,9,12,,,"HASS-A","Permission of instructor",,"A survey of the music of North and South America from the Renaissance to the present, with emphasis on the cross-fertilizations of indigenous and European traditions.  Listening assignments will focus on composers as varied as Copland and Still, Revueltas and Chihara.",,,,"2017-2018",,,Y,,,"C. Shadle",,"http://student.mit.edu/catalog/m21Ma.html#21M.215"
"21M.220","Medieval and Renaissance Music","U",3,0,9,12,,,"HASS-A","","21M.301","Examines European music from the early Middle Ages until the end of the Renaissance. Includes a chronological survey and intensive study of three topics: chant and its development, music in Italy 1340-1420, and music in Elizabethan England. Focuses on methods and pitfalls in studying music of the distant past. Students' papers, problem sets, and presentations explore lives, genres, and works in depth. Works studied in facsimile of original notation, and from original manuscripts at MIT, where possible.",,,,,,,Y,,,,"Lecture,4-162/TR/0/2-3.30","http://student.mit.edu/catalog/m21Ma.html#21M.220"
"21M.223","Folk Music of the British Isles and North America","U",3,1,8,12,,"CI-H","HASS-A","",,"Examines  the production, transmission, preservation and the qualities of folk music in the British Isles and North America from the 18th century to the folk revival of the 1960s and the present. Special emphasis on balladry, fiddle styles, and African-American influences. Enrollment limited.","21L.023[J]",,,,Y,,,,,"R. Perry",,"http://student.mit.edu/catalog/m21Ma.html#21M.223"
"21M.226","Jazz","U",3,0,9,12,,,"HASS-A","",,"Historical survey from roots in African and American contexts, including spirituals, blues, and ragtime, through early jazz, Swing, bebop, and post-bop movements, with attention to recent developments. Key jazz styles, the relation of music and society, and major figures such as Armstrong, Ellington, Basie, Goodman, Parker, Monk, Mingus, Coltrane, and others are considered. Some investigation of cross-influences with popular, classical, folk, and rock musics. Enrollment may be limited.",,,,,Y,,,,,"M. Harvey",,"http://student.mit.edu/catalog/m21Ma.html#21M.226"
"21M.235","Monteverdi to Mozart: 1600-1800","U",3,0,9,12,,,"HASS-A","21M.301,permission of instructor",,"Surveys Baroque and Classical genres: opera, cantata, oratorio, sonata, concerto, quartet and symphony. Includes the composers Monteverdi, Schutz, Purcell, Vivaldi, Bach, Handel, Haydn and Mozart. Bases written essays, projects and oral presentations on live performances as well as listening and reading assignments. Basic music score-reading ability required.",,,,,,,Y,,,"T. Neff","Lecture,4-152/MW/0/11-12.30","http://student.mit.edu/catalog/m21Ma.html#21M.235"
