Subject Id,Subject Title,Subject Level,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule,URL
"AS.101","The Foundations of the United States Air Force","U",1,0,1,2,,,,"","AS.111","Survey designed to introduce students to the United States Air Force and Air Force Reserve Officer Training Corps. Featured topics include: mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer opportunities, group leadership problems, and an introduction to communication skills.",,,,,Y,,,,,"P. Dela Cruz",,"http://student.mit.edu/catalog/mASa.html#AS.101"
"AS.102","The Foundations of the United States Air Force","U",1,0,1,2,,,,"","AS.112","Survey designed to introduce students to the United States Air Force and Air Force Reserve Officer Training Corps. Topics include mission and organization of the Air Force, officership and professionalism, military customs and courtesies, Air Force officer opportunities, group leadership problems, and an introduction to communication skills. AS.102 is a continuation of AS.101.",,,,,,,Y,,,"P. Dela Cruz","","http://student.mit.edu/catalog/mASa.html#AS.102"
"AS.111","Leadership Laboratory","U",,,,2,,,,"","AS.101","First-year General Military Course. Includes a study of Air Force customs and courtesies, drill and ceremonies, and military commands. Also includes studying the environment of an Air Force officer and learning about areas of opportunity available to commissioned officers, as well as interviews, guidance, and information to increase the understanding, motivation, and performance of other cadets.",,,,,Y,,,,,"P. Dela Cruz",,"http://student.mit.edu/catalog/mASa.html#AS.111"
"AS.112","Leadership Laboratory","U",,,,2,,,,"","AS.102","Includes a study of Air Force customs and courtesies, drill and ceremonies, and military commands. Also includes studying the environment of an Air Force officer and learning about areas of opportunity available to commissioned officers, as well as interviews, guidance, and information to increase the understanding, motivation, and performance of other cadets. AS.112 is a continuation of AS.111.",,,,,,,Y,,,"P. Dela Cruz","","http://student.mit.edu/catalog/mASa.html#AS.112"
"AS.201","The Evolution of USAF Air and Space Power","U",1,0,1,2,,,,"AS.102,permission of instructor","AS.211","Survey designed to facilitate the transition from Air Force ROTC cadet to Air Force ROTC officer candidate. Featured topics include: Air Force heritage and leaders, Quality Air Force, an introduction to ethics and values, introduction to leadership, group leadership problems, and continuing application of communication skills. AS.202 is a continuation of AS.201.",,,,,Y,,,,,"T. Hubbard",,"http://student.mit.edu/catalog/mASa.html#AS.201"
"AS.202","The Evolution of USAF Air and Space Power","U",1,0,1,2,,,,"","AS.212","Survey designed to facilitate the transition from Air Force ROTC cadet to Air Force ROTC officer candidate. Topics include Air Force heritage and leaders, Quality Air Force, an introduction to ethics and values, introduction to leadership, group leadership problems, and continuing application of communication skills. AS.202 is a continuation of AS.201.",,,,,,,Y,,,"P. Dela Cruz","","http://student.mit.edu/catalog/mASa.html#AS.202"
"AS.211","Leadership Laboratory","U",,,,2,,,,"AS.112,permission of instructor","AS.201","Emphasizes development of techniques used to direct and inform. Students are assigned leadership and management positions in the AS.111 programs. AS.212 is a continuation of AS.211.",,,,,Y,,,,,"P. Dela Cruz",,"http://student.mit.edu/catalog/mASa.html#AS.211"
"AS.212","Leadership Laboratory","U",,,,2,,,,"","AS.202","Emphasizes development of techniques used to direct and inform. Students are assigned leadership and management positions in the AS.111 programs described above. AS.212 is a continuation of AS.211.",,,,,,,Y,,,"P. Dela Cruz","","http://student.mit.edu/catalog/mASa.html#AS.212"
"AS.301","Air Force Leadership Studies","U",3,0,6,9,,,,"AS.202,permission of instructor","AS.311","Study of leadership, quality management fundamentals, professional knowledge, Air Force doctrine, leadership ethics, and communication skills required of an Air Force junior officer. Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts being studied. AS.302 is a continuation of AS.301.",,,,,Y,,,,,"S. Ott",,"http://student.mit.edu/catalog/mASa.html#AS.301"
"AS.302","Air Force Leadership Studies","U",3,0,3,6,,,,"","AS.312","Study of leadership, quality management fundamentals, professional knowledge, Air Force doctrine, leadership ethics, and communication skills required of an Air Force junior officer. Case studies are used to examine Air Force leadership and management situations as a means of demonstrating and exercising practical application of the concepts being studied. AS.302 is a continuation of AS.301.",,,,,,,Y,,,"K. Dillard","","http://student.mit.edu/catalog/mASa.html#AS.302"
