Subject Id,Subject Title,Subject Level,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule,URL
"EM.411","Foundations of System Design and Management","G",4,2,9,15,,,,"Permission of instructor",,"Presents the foundations of systems architecture, systems engineering and project management in an integrated format, through a synchronized combination of in-class discussion, industrial guest speakers, team projects, and individual assignments. Topics include stakeholder analysis, project planning and monitoring, requirements definition, concept generation and selection, complexity management, system integration, verification and validation, cost modeling, systems safety, organizational design and effective teamwork, risk management, and leadership styles. Restricted to students in the SDM program.",,,,,Y,,,,,"B. Moser",,"http://student.mit.edu/catalog/mEMa.html#EM.411"
"EM.412","Foundations of System Design and Management II","G",2,1,3,6,,,,"EM.411",,"Deepens the foundations of systems architecture, systems engineering and project management introduced in ESD.411 though a synchronized combination of lectures, recitations, opportunity sets, guest speakers, and team projects. Topics emphasize the transition from early conceptual design to detailed design and system integration. Features a technology showcase and project forum where students, faculty and company sponsors meet to discuss and select projects for ESD.413. Includes team-based exercises and design challenges. Restricted to students in the SDM program.",,,,,,Y,,,"1,jan 16","B. Moser","Lecture,1-390/MW/0/11-1;Lab,1-390/TR/0/12,1-390/TR/0/1;Recitation,26-152/TWR/0/8-1","http://student.mit.edu/catalog/mEMa.html#EM.412"
"EM.413","Foundations of System Design and Management III","G",4,2,9,15,,,,"EM.412",,"Presents advanced concepts in systems architecture, systems engineering and project management in an integrated manner through lectures, recitations, opportunity sets, guest lectures, and a semester-long team project. Topics emphasize complexity management, systems integration, verification, validation, and lifecycle management. Specific lifecycle properties addressed include quality, safety, robustness, resilience, flexibility and evolvability of systems over time. Additional topics include monitoring and control, the rework cycle, managing portfolios and programs of projects in a multi-cultural and global context, and managing product families and platforms. Restricted to students in the SDM program.",,,,,,,Y,,,"B. Moser","Lecture,1-390/MW/0/11-1;Recitation,1-390/TR/0/12,1-390/TR/0/1","http://student.mit.edu/catalog/mEMa.html#EM.413"
"EM.441","Integrated Design Lab I","G",5,6,7,18,,,,"Permission of instructor",,"Presents fundamentals of the integrated design and product development process. Covers methods relevant at each stage of the process; students apply them in a series of design projects. Topics include stakeholder identification, customer engagement and ethnographic methods, concept generation and selection, project planning, manufacturing methods, supply systems, cost modeling, sustainability, and safety. Restricted to Integrated Design and Management (IDM) students.",,,,,Y,,,,,"M. Kressy",,"http://student.mit.edu/catalog/mEMa.html#EM.441"
"EM.442","Integrated Design Lab II","G",5,6,7,18,,,,"EM.441,permission of instructor",,"Presents advanced topics in integrated design and product development. Students pursue a product development project as a case study for understanding how teams work together to define and test a new product. Provides exposure to the state-of-the-art in product definition, product architectures, market testing, competitive analysis, product planning strategy, business case construction, and life cycle design. Students apply their previously acquired product development knowledge and engage in ongoing reflection in an action-oriented setting. Restricted to Integrated Design and Management (IDM) students.",,,,,,,Y,,,"M. Kressy","Lab,N52-342/MW/0/11-5.30","http://student.mit.edu/catalog/mEMa.html#EM.442"
"EM.451","Internship Experience","G",,,,,,,,"Permission of instructor",,"Provides insight into the challenges of an organization that develops products or systems. Before enrolling each student must have a department approved internship opportunity. At the end of the internship, students deliver a report, for evaluation by the sponsoring faculty member, documenting ways that the organization addresses product or system development issues and applies the methods taught in the SDM or IDM core. Intended for students who have completed the SDM or IDM core course sequence.",,,,,Y,Y,Y,Y,,"Fall:  J. Rubin\nSpring:  J. Rubin",,"http://student.mit.edu/catalog/mEMa.html#EM.451"
"EM.S20","Special Subject in Engineering Management","G",,,,,,,,"Permission of instructor",,"Opportunity for study of advanced topics in Engineering Management not otherwise included in the curriculum at MIT. Offerings are initiated by faculty on an ad-hoc basis subject to department approval.",,,,,Y,Y,Y,Y,,,,"http://student.mit.edu/catalog/mEMa.html#EM.S20"
"EM.S21","Special Subject in Engineering Management","G",,,,,,,,"Permission of instructor",,"Opportunity for study of advanced topics in Engineering Management not otherwise included in the curriculum at MIT. Offerings are initiated by faculty on an ad-hoc basis subject to department approval.",,,,,,,,Y,,,,"http://student.mit.edu/catalog/mEMa.html#EM.S21"
"EM.S22","Special Subject in Engineering Management","G",,,,,,,,"Permission of instructor",,"Opportunity for study of advanced topics in Engineering Management not otherwise included in the curriculum at MIT. Offerings are initiated by faculty on an ad-hoc basis subject to department approval.",,,,,Y,Y,Y,Y,,,,"http://student.mit.edu/catalog/mEMa.html#EM.S22"
"EM.THG","EM Graduate Thesis","G",,,,,,,,"Permission of Instructor",,"Program of research, leading to the writing of an SM thesis to be arranged by the student with an appropriate member of the MIT faculty.",,,,,Y,Y,Y,Y,,"Fall:  W. Foley\nSpring:  W. Foley",,"http://student.mit.edu/catalog/mEMa.html#EM.THG"
