Subject Id,Subject Title,Subject Level,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule,URL
"ES.7012","Introductory Biology","U",5,0,7,12,"BIOL",,,"",,"Equivalent to 7.012; see 7.012 for description. Instruction provided through small, interactive classes. Limited to students in ESG.",,,,,Y,,,,,"P. Christie",,"http://student.mit.edu/catalog/mESa.html#ES.7012"
"ES.7013","Introductory Biology","U",5,0,7,12,"CHEM",,,"",,"Equivalent to 7.013; see 7.013 for description. Instruction provided through small, interactive classes. Limited to students in ESG.",,,,,,,Y,,,"P. Christie","Lecture,24-619/MTWRF/0/9,24-619/MTWRF/0/2","http://student.mit.edu/catalog/mESa.html#ES.7013"
"ES.3091","Introduction to Solid-State Chemistry","U",5,0,7,12,"CHEM",,,"",,"Equivalent to 3.091; see 3.091 for description. Students attend regular 3.091 lectures and are assigned to recitations taught by ESG staff. Limited to students in ESG.",,"3.091",,,Y,,,,,,,"http://student.mit.edu/catalog/mESa.html#ES.3091"
"ES.5111","Principles of Chemical Science","U",5,0,7,12,"CHEM",,,"",,"Equivalent to 5.111; see 5.111 for description. Instruction provided through small, interactive classes taught by ESG staff. Limited to students in ESG.",,,,,Y,,Y,,,"Fall:  P. Christie\nSpring:  N. Boekelheide","Lecture,24-619/MTWRF/0/10","http://student.mit.edu/catalog/mESa.html#ES.5111"
"ES.5112","Principles of Chemical Science","U",5,0,7,12,"CHEM",,,"",,"Equivalent to 5.112; see 5.112 for description. Instruction provided through small, interactive classes taught by ESG staff. Limited to students in ESG.",,,,,Y,,,,,"N. Boekelheide",,"http://student.mit.edu/catalog/mESa.html#ES.5112"
"ES.1801","Calculus","U",5,0,7,12,"CAL1",,,"",,"Equivalent to 18.01; see 18.01 for description. Instruction provided through small, interactive classes. Limited to students in ESG.",,,"18.01,18.01A,CC.181A,ES.181A",,Y,,,,,"G. Stoy",,"http://student.mit.edu/catalog/mESa.html#ES.1801"
"ES.1802","Calculus","U",5,0,7,12,"CAL2",,,"Calculus I GIR",,"Equivalent to 18.02; see 18.02 for description. Instruction provided through small, interactive classes. Limited to students in ESG.",,,,,Y,,Y,,,"Fall:  G. Stoy\nSpring:  G. Stoy","Lecture,24-618/MTWR/0/1;Recitation,TBA","http://student.mit.edu/catalog/mESa.html#ES.1802"
"ES.1803","Differential Equations","U",5,0,7,12,"REST",,,"","Calculus II GIR","Equivalent to 18.03; see 18.03 for description. Instruction provided through small, interactive classes. Limited to students in ESG.",,,"18.03,18.032,CC.1803",,Y,,Y,,,"Fall:  J. Orloff\nSpring:  J. Orloff","Lecture,24-618/MTWR/0/10,24-618/MTWR/0/11,24-611/MTWR/0/12,24-611/MTWR/0/1;Recitation,TBA","http://student.mit.edu/catalog/mESa.html#ES.1803"
"ES.181A","Calculus","U",5,0,7,12,"CAL1",,,"Knowledge of differentiation;elementary integration",,"Equivalent to 18.01A; see 18.01A for description. Instruction provided through small, interactive classes. Limited to students in ESG.",,,"18.01,18.01A,CC.181A",,Y,,,,,"J. Orloff",,"http://student.mit.edu/catalog/mESa.html#ES.181A"
"ES.182A","Calculus","U",5,0,7,12,"CAL2",,,"Calculus I GIR",,"Equivalent to 18.02A; see 18.02A for description. Instruction provided through small, interactive classes. Limited to students in ESG.",,,"18.02,18.02A,CC.182A",,Y,Y,,,,"Fall:  J. Orloff",,"http://student.mit.edu/catalog/mESa.html#ES.182A"
