Subject Id,Subject Title,Subject Level,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule,URL
"HST.010","Human Functional Anatomy","G",3,11,10,24,,,,"Permission of instructor",,"Lectures, detailed laboratory dissections, and prosections provide a thorough exploration of the gross structure and function of the human body. Fundamental principles of bioengineering are employed to promote analytical approaches to understanding the body's design. The embryology of major organ systems is presented, together with certain references to phylogenetic development, as a basis for comprehending anatomical complexity. Correlation clinics stress both normal and abnormal functions of the body and present evolving knowledge of genes responsible for normal and abnormal anatomy. Lecturers focus on current problems in organ system research. Only HST students may register under HST.010, graded P/D/F. Lab fee. Enrollment restricted to graduate students.",,,,,Y,,,,,"L. Gehrke",,"http://student.mit.edu/catalog/mHSTa.html#HST.011"
"HST.011","Human Functional Anatomy","G",3,11,10,24,,,,"Permission of instructor",,"Lectures, detailed laboratory dissections, and prosections provide a thorough exploration of the gross structure and function of the human body. Fundamental principles of bioengineering are employed to promote analytical approaches to understanding the body's design. The embryology of major organ systems is presented, together with certain references to phylogenetic development, as a basis for comprehending anatomical complexity. Correlation clinics stress both normal and abnormal functions of the body and present evolving knowledge of genes responsible for normal and abnormal anatomy. Lecturers focus on current problems in organ system research. Only HST students may register under HST.010, graded P/D/F. Lab fee. Enrollment restricted to graduate students.",,,,,Y,,,,,"L. Gehrke",,"http://student.mit.edu/catalog/mHSTa.html#HST.011"
"HST.015","MATLAB for Medicine","G",,,,2,,,,"",,"Practical introduction to use of quantitative methods in medicine and health research. Each session covers a different topic in quantitative techniques, provides an application to medicine, and includes a modeling activity using MATLAB. Students also complete problem sets. Restricted to first year HST MD students.",,,,,,,,Y,,,,"http://student.mit.edu/catalog/mHSTa.html#HST.015"
"HST.020","Musculoskeletal Pathophysiology","G",3,0,3,6,,,,"Permission of Instructor",,"Growth and development of normal bone and joints, the biophysics of bone and response to stress and fracture, calcium and phosphate homeostasis and regulation by parathyroid hormone and vitamin D, and the pathogenesis of metabolic bone diseases and disease of connective tissue, joints, and muscles, with consideration of possible mechanisms and underlying metabolic derangements. Only HST students may register under HST.020, graded P/D/F. Enrollment limited; restricted to medical and graduate students.",,,,,,Y,,,,"M. Bouxsein, B. Shore, D. Solomon",,"http://student.mit.edu/catalog/mHSTa.html#HST.021"
"HST.021","Musculoskeletal Pathophysiology","G",3,0,3,6,,,,"Permission of Instructor",,"Growth and development of normal bone and joints, the biophysics of bone and response to stress and fracture, calcium and phosphate homeostasis and regulation by parathyroid hormone and vitamin D, and the pathogenesis of metabolic bone diseases and disease of connective tissue, joints, and muscles, with consideration of possible mechanisms and underlying metabolic derangements. Only HST students may register under HST.020, graded P/D/F. Enrollment limited; restricted to medical and graduate students.",,,,,,Y,,,,"M. Bouxsein, B. Shore, D. Solomon","","http://student.mit.edu/catalog/mHSTa.html#HST.021"
"HST.030","Human Pathology","G",4,3,8,15,,,,"",,"Introduction to the functional structure of normal cells and tissues, pathologic principles of cellular adaptation and injury, inflammation, circulatory disorders, immunologic injury, infection, genetic disorders, and neoplasia in humans. Lectures, conferences emphasizing clinical correlations and contemporary experimental biology. Laboratories with examination of microscopic and gross specimens, and autopsy case studies emphasizing modern pathology practice. Only HST students may register under HST.030, graded P/D/F. Lab fee. Enrollment limited.",,,,,Y,,,,,"R. N. Mitchell, R. Padera",,"http://student.mit.edu/catalog/mHSTa.html#HST.031"
"HST.031","Human Pathology","G",4,3,8,15,,,,"",,"Introduction to the functional structure of normal cells and tissues, pathologic principles of cellular adaptation and injury, inflammation, circulatory disorders, immunologic injury, infection, genetic disorders, and neoplasia in humans. Lectures, conferences emphasizing clinical correlations and contemporary experimental biology. Laboratories with examination of microscopic and gross specimens, and autopsy case studies emphasizing modern pathology practice. Only HST students may register under HST.030, graded P/D/F. Lab fee. Enrollment limited.",,,,,Y,,,,,"R. N. Mitchell, R. Padera",,"http://student.mit.edu/catalog/mHSTa.html#HST.031"
"HST.034","Pathology of Human Disease","G",4,2,10,16,,,,"",,"Provides a comprehensive overview of human pathology with emphasis on mechanisms of disease and modern diagnostic technologies. Topics include general mechanisms of disease (inflammation, infection, immune injury, transplantation, genetic disorders and neoplasia); pathology of lipids, enzymes, and molecular transporters; pathology of major organ systems; and review of diagnostic tools from surgical pathology to non-invasive techniques such as spectroscopy, imaging, and molecular markers of disease. The objectives of this subject are achieved by a set of integrated lectures and laboratories, as well as a student-driven term project leading to a formal presentation on a medical, socioeconomic, or technological issue in human pathology. Only HST students enrolled in specific degree programs may register under HST.034, graded P/D/F. Credit cannot also be received for HST.030 or HST.031.",,,,,,,Y,,,"S. Lovitch",,"http://student.mit.edu/catalog/mHSTa.html#HST.035"
"HST.035","Pathology of Human Disease","G",4,2,10,16,,,,"",,"Provides a comprehensive overview of human pathology with emphasis on mechanisms of disease and modern diagnostic technologies. Topics include general mechanisms of disease (inflammation, infection, immune injury, transplantation, genetic disorders and neoplasia); pathology of lipids, enzymes, and molecular transporters; pathology of major organ systems; and review of diagnostic tools from surgical pathology to non-invasive techniques such as spectroscopy, imaging, and molecular markers of disease. The objectives of this subject are achieved by a set of integrated lectures and laboratories, as well as a student-driven term project leading to a formal presentation on a medical, socioeconomic, or technological issue in human pathology. Only HST students enrolled in specific degree programs may register under HST.034, graded P/D/F. Credit cannot also be received for HST.030 or HST.031.",,,,,,,Y,,,"S. Lovitch","","http://student.mit.edu/catalog/mHSTa.html#HST.035"
"HST.040","Mechanisms of Microbial Pathogenesis","G",4,2,6,12,,,,"",,"Deals with the mechanisms of pathogenesis of bacteria, viruses, and other microorganisms. Approach spans mechanisms from molecular to clinical aspects of disease. Topics selected for intrinsic interest and cover the demonstrated spectrum of pathophysiologic mechanisms. Only HST students may register under HST.040, graded P/D/F. Lab fee. Enrollment limited.",,,,,Y,,,,,"C. Crumpacker II, H. Simon",,"http://student.mit.edu/catalog/mHSTa.html#HST.041"
