Subject Id,Subject Title,Subject Level,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule,URL
"WGS.101","Introduction to Women's and Gender Studies","U",3,0,9,12,,"CI-H","HASS-H","",,"Drawing on multiple disciplines - such as literature, history, economics, psychology, philosophy, political science, anthropology, media studies and the arts - to examine cultural assumptions about sex, gender, and sexuality. Integrates analysis of current events through student presentations, aiming to increase awareness of contemporary and historical experiences of women, and of the ways sex and gender interact with race, class, nationality, and other social identities. Students are introduced to recent scholarship on gender and its implications for traditional disciplines.",,,,,Y,,Y,,,"Fall:  A. Walsh\nSpring:  A. Walsh","Lecture,4-145/MW/0/3-4.30","http://student.mit.edu/catalog/mWGSa.html#WGS.101"
"WGS.109","Women and Global Activism in Media and Politics","U",3,0,9,12,,"CI-H","HASS-H","",,"An interdisciplinary subject that examines questions of feminism, international women's issues, and globalization through the study of novels, films, critical essays, painting and music. Considers how women redefine the notions of community and nation, how development affects their lives, and how access to the internet and to the production industry impacts women's lives. Primary topics of interest include transformations of traditional values, social change, gender role distribution, identity formation, migration flows, globalization and development, popular culture, urban life, cyber-culture, activism, and human rights. Limited to 25 when Writing Tutor is assigned to the class. Otherwise, limited to 18.",,,,,,,Y,,,"A. Sur","Lecture,4-146/TR/0/9.30-11","http://student.mit.edu/catalog/mWGSa.html#WGS.109"
"WGS.110","Sexual and Gender Identities","U",3,0,9,12,,,"HASS-H","",,"Provides an introduction to the history of gender, sex, and sexuality in the modern United States, from the end of the 19th century to the present. Surveys historical approaches to the field, emphasizing the changing nature of sexual and gender identities over time. Traces attempts to control, construct, and contain sexual and gender identities. Examines the efforts of those who worked to resist, reject, and reform institutionalized heterosexuality and mainstream configurations of gendered power.","21H.108[J]",,,,Y,,,,,"C. Horan",,"http://student.mit.edu/catalog/mWGSa.html#WGS.110"
"WGS.111","Gender and Media Studies","U",3,0,9,12,,,"HASS-H","",,"Examines representations of race, gender, and sexual identity in the media. Considers issues of authorship, spectatorship, and the ways in which various media (film, television, print journalism, advertising) enable, facilitate, and challenge these social constructions in society. Studies the impact of new media and digital media through analysis of gendered and racialized language and embodiment online in blogs and vlogs, avatars, and in the construction of cyberidentities. Provides introduction to feminist approaches to media studies by drawing from work in feminist film theory, cultural studies, gender and politics, and cyberfeminism.","CMS.619[J]",,,,Y,,,,,"K. Surkan",,"http://student.mit.edu/catalog/mWGSa.html#WGS.111"
"WGS.115","Gender and Technology","U",3,0,9,12,,,"HASS-H","",,"Considers a wide range of issues related to the contemporary and historical use of technology, the development of new technologies, and the cultural representation of technology, including the role women have played in the development of technology and the effect of technological change on the roles of women and ideas of gender. Discusses the social implications of technology and its understanding and deployment in different cultural contexts. Investigates the relationships between technology and identity categories, such as gender, race, class, and sexuality. Examines how technology offers possibilities for new social relations and how to evaluate them.",,,,,Y,,,,,,,"http://student.mit.edu/catalog/mWGSa.html#WGS.115"
"WGS.125","Games and Culture","U",3,0,9,12,,,"HASS-S","",,"Examines the social, cultural, economic, and political aspects of digital games. Topics include the culture of gameplay, gaming styles, communities, spectatorship and performance, gender and race within digital gaming, and the politics and economics of production processes, including co-creation and intellectual property. Students taking graduate version complete additional readings and assignments.","21W.768[J],CMS.616[J]","CMS.868",,,Y,,,,,"T. L. Taylor",,"http://student.mit.edu/catalog/mWGSa.html#WGS.125"
"WGS.140","Race and Identity in American Literature","U",3,0,9,12,,,"HASS-H","Permission of instructor",,"Questions posed by the literature of the Americas about the relationship of race and gender to authorship, audience, culture, ethnicity, and aesthetics. Social conditions and literary histories that shape the politics of identity in American literature. Specific focus varies each term. Previously taught topics include Immigrant Stories, African American Literature, and Asian American Literature. May be repeated for credit with permission of instructor if the content differs.","21L.504[J]",,,,,,Y,,,"J. Terrones",,"http://student.mit.edu/catalog/mWGSa.html#WGS.140"
"WGS.141","International Women's Voices","U",3,0,9,12,,,"HASS-H","",,"Introduces students to a variety of fictional works by contemporary women writers. International perspective emphasizes the extent to which each author's work reflects her distinct cultural heritage and to what extent, if any, there is an identifiable female voice that transcends national boundaries. Uses a variety of interpretive perspectives, including sociohistorical, psychoanalytic, and feminist criticism, to examine texts. Authors include Mariama Ba, Isabel Allende, Anita Desai, Maxine Hong Kingston, Toni Morrison, Doris Lessing, Alifa Riyaat, Yang Jiang, Nawal Al-Saadawi, and Sawako Ariyoshi. Taught in English.","21G.022[J],21L.522[J]",,,"2017-2018",,,Y,,,,,"http://student.mit.edu/catalog/mWGSa.html#WGS.141"
"WGS.142","Narrative and Identity: Writing and Film by Contemporary Women of Color","U",3,0,9,12,,,"HASS-H","",,"Explores the diverse voices and experiences reflected in writing and film by and about women of color. Examines the roles that culture, community, and kinship play in the development of the writer's individual voice, and compares the similarities and differences of the writer experience across texts and genres. Discussion and assignments, including an independent research presentation, consider the social and political contexts that inform each work, with an emphasis on gender, race, and economic status. Includes works by a variety of novelists, poets, and filmmakers.",,,,"2018-2019",,,Y,,,"S. King","Lecture,2-151/TR/0/3.30-5","http://student.mit.edu/catalog/mWGSa.html#WGS.142"
"WGS.145","Globalization:  The Good, the Bad and the In-Between","U",3,0,9,12,,"CI-H","HASS-H","",,"Examines the cultural paradoxes of contemporary globalization. Studies the cultural, artistic, social and political impact of globalization across international borders. Students analyze contending definitions of globalization and principal agents of change, and why some of them engender backlash; identify the agents, costs and benefits of global networks; and explore how world citizens preserve cultural specificity. Case studies on global health, human trafficking and labor migration illuminate the shaping influence of contemporary globalization on gender, race, ethnicity, and class. Develops cultural literacy through analysis of fiction and film. Enrollment limited.","21L.020[J]",,,,Y,,,,,"M. Resnick",,"http://student.mit.edu/catalog/mWGSa.html#WGS.145"
"WGS.150","Gender, Power, Leadership, and the Workplace","U",3,0,9,12,,,"HASS-S","",,"Provides an analytic framework to understand the roles that gender, race, and class play in defining and determining access to leadership and power in the United States, especially in the context of the workplace. Explores women and men in leadership positions within the corporate, political and non-profit sectors, focusing on women of color and immigrant women. Looks at specific policies, such as affirmative action, parental leave, child care, and working-time, and the role they play or could play in achieving parity. Students further investigate ways in which these policies address gender, racial, and class inequities, and develop their ability to think critically about mechanisms for change. Limited to 25.",,,,,,,Y,,,,,"http://student.mit.edu/catalog/mWGSa.html#WGS.150"
"WGS.151","Gender, Health, and Society","U",3,0,9,12,,,"HASS-S","",,"Draws on different disciplines, conceptual frameworks, and methodological approaches to examine gender in relation to health, including public health practice, epidemiologic research, health policy, and clinical application. Discusses a variety of health-related issues that illustrate global, international, domestic, and historical perspectives. Considers other social determinants of health as well, including social class and race. Limited to 25.",,,,,Y,,,,,"B. Charlton",,"http://student.mit.edu/catalog/mWGSa.html#WGS.151"
"WGS.154","Gender and Japanese Popular Culture","U",3,0,9,12,,,"HASS-H","",,"Examines relationships between identity and participation in Japanese popular culture as a way of understanding the changing character of media, capitalism, fan communities, and culture. Emphasizes contemporary popular culture and theories of gender, sexuality, race, and the workings of power and value in global culture industries. Topics include manga (comic books), hip-hop and other popular music, anime and feature films, video games, contemporary literature, and online communication. Students present analyses and develop a final project based on a particular aspect of gender and popular culture. Several films screened outside of regular class meeting times. Taught in English.","21A.143[J],21G.039[J]","21G.591",,"2018-2019",,,Y,,,"I. Condry","Lecture,34-301/T/0/1-4","http://student.mit.edu/catalog/mWGSa.html#WGS.154"
"WGS.155","Global Sexualities","U",3,0,9,12,,,"HASS-S","",,"Connects the consequences of power, inequality, and belief systems on sexual health and personal well-being in the US and non-western countries. Focuses on how 'subordinate' groups contend with dominant domestic and international pressures to conform to narratives and expectations predicated on inequalities. Conducted in seminar format with discussions on uncovering the dynamics and dimensions of inequality. Examines major historical cross-cultural events impacting attitudes on sexual behaviors and sexualities.","21A.310[J]",,,,Y,,,,,"L. Tso",,"http://student.mit.edu/catalog/mWGSa.html#WGS.155"
"WGS.161","Gender and the Law in US History","U",3,0,9,12,,,"HASS-H","",,"Explores the legal history of the US as a gendered system. Examines how women have shaped the meanings of American citizenship through pursuit of political rights such as suffrage, jury duty, and military service, as well as how the legal system has shaped gender relations through regulation of such issues as marriage, divorce, work, reproduction, and the family. Readings draw from primary and secondary materials, focusing on the broad historical relationship between law and society. No legal knowledge is required or assumed.","21H.320[J]",,,"2017-2018",Y,,,,,,,"http://student.mit.edu/catalog/mWGSa.html#WGS.161"
"WGS.172","For Love and Money: Rethinking the Family","U",3,0,9,12,,,"HASS-S","",,"Cross-cultural case studies introduce students to the anthropological study of the social institutions and symbolic meanings of family, gender, and sexuality. Investigates the different forms families and households take and considers their social, emotional, and economic dynamics. Analyzes how various expectations for, and experiences of, family life are rooted in or challenged by particular conceptions of gender and sexuality. Addresses questions surrounding what it means to be a 'man' or a 'woman,' as well as a family member, in different social contexts.","21A.111[J]",,,,Y,,,,,"H. Paxson",,"http://student.mit.edu/catalog/mWGSa.html#WGS.172"
"WGS.181","Queer Cinema","U",3,0,9,12,,,"HASS-H","",,"Analyzes mainstream, popular films produced in the post-WWII 20th century US as cultural texts that shed light on ongoing historical struggles over gender identity and appropriate sexual behaviors. Traces the history of LGBTQ/queer film through the 20th and into the 21st century. Examines the effect of the Hollywood Production Code and censorship of sexual themes and content, and the subsequent subversion of queer cultural production in embedded codes and metaphors. Also considers the significance of these films as artifacts and examples of various aspects of queer theory.",,,,,Y,,,,,"K. Surkan",,"http://student.mit.edu/catalog/mWGSa.html#WGS.181"
"WGS.190","Black Matters:  Introduction to Black Studies","U",3,0,9,12,,"CI-H",,"",,"Interdisciplinary survey of people of African descent that draws on the overlapping approaches of history, literature, anthropology, legal studies, media studies, performance, linguistics, and creative writing. Connects the experiences of African-Americans and of other American minorities, focusing on social, political, and cultural histories, and on linguistic patterns. Includes lectures, discussions, workshops, and required field trips that involve minimal cost to students.","24.912[J],21H.106[J],21L.008[J],21W.741[J]",,,,,,Y,,,"M. DeGraff, D. Fox Harrell","Lecture,32-144/T/0/1-4","http://student.mit.edu/catalog/mWGSa.html#WGS.190"
