Subject Id,Subject Title,Subject Level,Prerequisites,Corequisites,Joint Subjects,Equivalent Subjects,Meets With Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Instructors,Comm Req Attribute,Hass Attribute,Gir Attribute
"1.00","Engineering Computation and Data Science","U","Calculus I GIR",,,,"1.001",,,,Y,,"J. Williams",,,"REST"
"1.000","Computer Programming for Engineering Applications","U","","18.03",,,,,Y,,,,"X. Fu",,,"REST"
"1.001","Engineering Computation and Data Science","G","Calculus I GIR",,,,"1.00",,,,Y,,,,,
"1.007","Big Engineering: Small Solutions with a Large Impact","U","",,,,,,Y,,,,"B. Marelli",,,
"1.010","Uncertainty in Engineering","U","Calculus II GIR",,,,,,Y,,,,"S. Saavedra Sanchez",,,
"1.011","Project Evaluation and Management","U","",,,,,,,,Y,,,,,
"1.013","Senior Civil and Environmental Engineering Design","U","Permission of instructor",,,,,,,,Y,,"C. Harvey",,,
"1.015","Design of Electromechanical Robotic Systems","U","2.003","2.005,2.05,2.051,2.016;2.671","2.017[J]",,,,,,Y,,"N. Triantafyllou",,,"LAB2"
"1.016","Design for Complex Environmental Issues: Building Solutions and Communicating Ideas","U","",,"2.00C[J],EC.746[J]",,,,,,Y,,"A. Epstein",,,
"1.018A","Fundamentals of Ecology I","U","",,"7.30A[J],12.031A[J]",,,,Y,,,,"O. Cordero Sanchez",,,
"1.018B","Fundamentals of Ecology II","U","1.018A",,"7.30B[J],12.031B[J]",,,,Y,,,,"O. Cordero Sanchez",,,
"1.020","Engineering Sustainability: Analysis and Design","U","Physics I GIR;18.03;1.00,1.000",,,,,,,,Y,,"S. Amin",,,
"1.021","Introduction to Modeling and Simulation","U","18.03,3.016,permission of instructor",,,,,,,,Y,,"M. Buehler",,,"REST"
"1.022","Introduction to Network Models","U","1.00,1.000;18.03;1.010;permission of instructor",,,,,,Y,,,,"A. Jadbabaie-Moghadam",,,
"1.032","Advanced Soil Mechanics","U","1.010;1.011;1.036",,,,"1.361",,Y,,,,"A. Whittle",,,
"1.035","Multiscale Characterization of Materials","U","1.050;18.03",,,,,,,,Y,,"F. Ulm",,,
"1.036","Structural Mechanics and Design","U","1.035;1.050",,,,,,,,Y,,"O. Buyukozturk",,,
"1.037","Soil Mechanics and Geotechnical Design","U","",,,,,,,,Y,,"A. Whittle",,,
"1.041","Transportation Systems Modeling","U","1.00,1.000;1.010",,,,,,,,Y,,"C. Osorio Pizano",,,
"1.044","Fundamentals of Energy in Buildings","U","Physics I GIR;Calculus II GIR",,"2.66[J],4.42[J]",,,"2017-2018",Y,,,,,,,"REST"
"1.050","Solid Mechanics","U","Physics I GIR","Calculus II GIR",,,,,Y,,,,"F. Ulm",,,"REST"
"1.053","Dynamics and Control I","U","Physics II","18.03,2.087","2.003[J]",,,,Y,,Y,,"Fall:  T. Sapsis\nSpring:  A. Rodriguez Garcia",,,"REST"
"1.054","Mechanics and Design of Concrete Structures","U","1.035",,,,"1.541",,Y,,,,"O. Buyukozturk",,,
"1.056","Building Structural Systems I","U","Calculus II GIR",,"4.440[J]",,"4.462",,,,Y,,"J. Carstensen",,,"REST"
"1.057","Heritage Science and Technology","U","Permission of instructor",,,,,,Y,,,,"A. Masic",,,
"1.058","Structural Dynamics","U","18.03,permission of instructor",,,,"1.581[J],2.060[J],16.221[J]",,Y,,,,"T. Cohen",,,
"1.060A","Fluid Mechanics I","U","Permission of instructor","18.03",,,,,,,Y,,"B. Marelli",,,
"1.060B","Fluid Mechanics II","U","1.060A",,,,,,,,Y,,"B. Marelli",,,
"1.061","Transport Processes in the Environment","U","1.060B",,,,"1.61",,Y,,,,"H. Nepf",,,
"1.061A","Transport Processes in the Environment I","U","1.060A",,,,,,Y,,,,"H. Nepf",,,
"1.062","Nonlinear Dynamics: Continuum Systems","U","18.03,18.032;Physics II GIR",,"12.207[J],18.354[J]",,"18.3541",,,,Y,,"L. Bourouiba",,,
"1.064","Physical Limnology","U","1.061",,,,"1.64","2018-2019",,,Y,,"H. Nepf",,,
"1.068","Nonlinear Dynamics and Turbulence","U","1.060A",,,,"1.686[J],2.033[J],18.358[J]","2017-2018",,,Y,,,,,
"1.070A","Introduction to Hydrology and Water Resources","U","1.060A","1.061A;1.106","12.320A[J]",,,,Y,,,,"D. Entekhabi",,,
