1#,#Civil and Environmental Engineering#,#Civil Eng.
2#,#Mechanical Engineering#,#Mechanical Eng.
3#,#Materials Science and Engineering#,#Materials Science
4#,#Architecture#,#Architecture
5#,#Chemistry#,#Chemistry
6#,#Electrical Engineering and Computer Science#,#EECS
7#,#Biology#,#Biology
8#,#Physics#,#Physics
9#,#Brain and Cognitive Sciences#,#Brain and Cog Sci
10#,#Chemical Engineering#,#Chemical Eng.
11#,#Urban Studies and Planning#,#Urban Studies
12#,#Earth, Atmospheric, and Planetary Sciences#,#EAPS
14#,#Economics#,#Economics
15#,#Management#,#Management
16#,#Aeronautics and Astronautics#,#AeroAstro
17#,#Political Science#,#Political Science
18#,#Mathematics#,#Mathematics
20#,#Biological Engineering#,#Biological Eng.
21#,#Humanities#,#Humanities
21A#,#Anthropology#,#Anthropology
CMS#,#Comparative Media Studies#,#CMS
21W#,#Writing#,#Writing
21G#,#Global Studies and Languages#,#GSL
21H#,#History#,#History
21L#,#Literature#,#Literature
21M#,#Music and Theater Arts#,#MTA
WGS#,#Women's and Gender Studies#,#WGS
22#,#Nuclear Science and Engineering#,#Nuclear Eng.
24#,#Linguistics and Philosophy#,#Linguistics and Philosophy
CC#,#Concourse Program#,#Concourse
CSB#,#Computational and Systems Biology#,#CSBi
EC#,#Edgerton Center#,#Edgerton
EM#,#Engineering Management#,#Engineering Management
ES#,#Experimental Study Group#,#ESG
HST#,#Health Sciences and Technology#,#HST
IDS#,#Institute for Data, Systems and Society#,#IDS
MAS#,#Media Arts and Sciences#,#MAS
SCM#,#Supply Chain Management#,#Supply Chain Mgmt.
AS#,#ROTC - Aerospace Studies#,#ROTC - Aerospace
MS#,#ROTC - Military Science#,#ROTC - Military
NS#,#ROTC - Naval Science#,#ROTC - Naval
STS#,#Science, Technology, and Society#,#STS
