Subject Id,Subject Title,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule
"20.001","Introduction to Professional Success and Leadership in Biological Engineering",,,,1,,,,"",,"Interactive introduction to the discipline of Biological Engineering through presentations by alumni practitioners, with additional panels and discussions on skills for professional development. Presentations emphasize the roles of communication through writing and speaking, building and maintaining professional networks, and interpersonal and leadership skills in building successful careers. Provides practical advice about how to prepare for job searches and graduate or professional school applications from an informed viewpoint. Prepares students for UROPs, internships, and selection of BE electives.",,,,,Y,,Y,,,"L. Griffith","Lecture,4-270/W/0/9"
"20.002","Metakaryotic Biology and Epidemiology",,,,2,,,,"",,"Introduces non-eukaryotic metakaryotic cells that serve as the stem cells of human fetal/juvenile growth and development. Considers their peculiar modes of genome organization in chromosomal rings, replication via dsRNA/DNA intermediates and amitotic segregation. Explores the hypothesis that high mutation rates in these cells lead to cancers and atherosclerotic plaques and account for the increasing death rates observed with human age.",,"20.A02",,,Y,,,,,"W. Thilly","Lecture,56-711/F/0/3-5"
"20.020","Introduction to Biological Engineering Design Using Synthetic Biology",3,3,3,9,,,,"",,"Project-based introduction to the engineering of synthetic biological systems. Throughout the term, students develop projects that are responsive to real-world problems of their choosing, and whose solutions depend on biological technologies. Lectures, discussions, and studio exercises will introduce components and control of prokaryotic and eukaryotic behavior; DNA synthesis, standards, and abstraction in biological engineering; and issues of human practice, including biological safety, security, ethics, and ownership, sharing, and innovation. Preference to freshmen.",,"20.385",,"2017-2018",,,Y,,,,
"20.102","Stem Cells in Organogenesis, Carcinogenesis, and Atherogenesis",3,0,9,12,,,,"Calculus II GIR;Biology GIR;Chemistry GIR",,"Study of the amitotic metakaryotic stem cells in fetal/juvenile organogenesis and wound healing. Explores their roles as stem cells in clonal diseases such as cancers and atherosclerosis. Application of a hypermutable/mutator stem cell model to the analysis of age-specific mortality from clonal diseases. Students taking 20.215 do additional research and computer modeling.",,"20.215",,,Y,,,,,"W. Thilly","Lecture,16-220/TR/0/1-2.30"
"20.104","Environmental Cancer Risks, Prevention, and Therapy",3,0,9,12,,,,"Calculus II GIR;Biology GIR;Chemistry GIR",,"Analysis of the history of cancer and vascular disease mortality rates in predominantly European- and African-American US cohorts, 1895-2010, to discover specific historical shifts. Shifts identified are explored in terms of contemporaneously changing environmental risk factors: air-, food- and water-borne chemicals; subclinical infections; diet and lifestyles. Role of occupational data identifying general risk factors. Considers the hypotheses that environmental factors affect metakaryotic stem cell mutation rates in fetuses and juveniles and/or the growth rates of preneoplastic stem cells in adults. Interaction of environmental and inherited risks. Introduces the use of metakaryocidal drugs to treat cancer in clinical trials.","1.081[J]",,,,,,Y,,,,
"20.106","Systems Microbiology",3,0,9,12,,,,"Chemistry GIR;Biology GIR",,"Introductory microbiology from a systems perspective - considers microbial diversity and the integration of data from a molecular, cellular, organismal, and ecological context to understand the interaction of microbial organisms with their environment. Special emphasis on specific viral, bacterial, and eukaryotic microorganisms and their interaction with animal hosts with focus on contemporary problems in areas such as vaccination, emerging disease, antimicrobial drug resistance, and toxicology.","1.084[J]",,,"2017-2018",Y,,,,,,
"20.109","Laboratory Fundamentals in Biological Engineering",2,8,5,15,"LAB",,,"Biology GIR;Chemistry GIR;6.0002;18.03;20.110",,"Introduces experimental biochemical and molecular techniques from a quantitative engineering perspective. Experimental design, data analysis, and scientific communication form the underpinnings of this subject. Examples of discovery-based experimental modules include DNA engineering in which students design, construct, and use genetic material; parts engineering, which emphasizes protein design and quantitative assessment of protein performance; systems engineering, in which students consider genome-wide consequences of genetic perturbations; and biomaterials engineering, in which students use biologically-encoded devices to design and build materials. Students complete some laboratory time online in advance of each class. Enrollment limited; priority to Course 20 majors.",,,,,Y,,Y,,,"B. Engelward, N. Lyell","Lecture,16-220/TR/0/11;Lab,56-322/TR/0/1-5,56-322/WF/0/1-5"
"20.110","Thermodynamics of Biomolecular Systems",5,0,7,12,"REST",,,"Calculus II GIR;Chemistry GIR;Physics I GIR",,"Equilibrium properties of macroscopic and microscopic systems. Basic thermodynamics: state of a system, state variables. Work, heat, first law of thermodynamics, thermochemistry. Second and third law of thermodynamics: entropy and its statistical basis, Gibbs function. Chemical equilibrium of reactions in gas and solution phase. Macromolecular structure and interactions in solution. Driving forces for molecular self-assembly. Binding cooperativity, solvation, titration of macromolecules.","2.772[J]",,,,Y,,Y,,,"E. Alm, M. Birnbaum","Lecture,4-270/MWF/0/10;Recitation,26-168/TR/0/10,56-169/TR/0/1,56-169/TR/0/4,2-136/TR/0/11"
"20.129","Biological Circuit Engineering Laboratory",2,8,2,12,"LAB",,,"Biology GIR;Calculus II GIR",,"Students assemble individual genes and regulatory elements into larger-scale circuits; they experimentally characterize these circuits in yeast cells using quantitative techniques, including flow cytometry, and model their results computationally. Emphasizes concepts and techniques to perform independent experimental and computational synthetic biology research. Discusses current literature and ongoing research in the field of synthetic biology. Instruction and practice in oral and written communication provided. Enrollment limited.","6.129[J]",,,,,,Y,,,,
"20.200","Biological Engineering Seminar",,,,1,,,,"Permission of instructor",,"Weekly one-hour seminars covering graduate student research and presentations by invited speakers. Limited to BE graduate students.",,,,,Y,,Y,,,"B. Engelward","Lecture,32-155/F/0/12"
