Subject Id,Subject Title,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule
"21A.00","Introduction to Anthropology: Comparing Human Cultures",3,0,9,12,,,"HASS-S","",,"Through the comparative study of different cultures, anthropology explores fundamental questions about what it means to be human. Seeks to understand how culture shapes societies, from the smallest island in the South Pacific to the largest Asian metropolis, and affects the way institutions work, from scientific laboratories to Christian mega-churches. Provides a framework for analyzing diverse facets of human experience, such as gender, ethnicity, language, politics, economics, and art.",,,,,Y,,,,,"G. Jones","Lecture,5-217/MW/0/1-2.30"
"21A.01","How Culture Works",3,0,9,12,,,"HASS-S","",,"Introduces diverse meanings and uses of the concept of culture with historical and contemporary examples from scholarship and popular media around the globe. Includes first-hand observations, synthesized histories and ethnographies, quantitative representations, and visual and fictionalized accounts of human experiences. Students conduct empirical research on cultural differences through the systematic observation of human interaction, employ methods of interpretative analysis, and practice convincing others of the accuracy of their findings.",,,,,,,Y,,,,
"21A.103","The Science of Race, Sex, and Gender",3,0,9,12,,,"HASS-S","",,"Examines the role of science and medicine in the origins and evolution of the concepts of race, sex, and gender from the 17th century to the present. Focus on how biological, anthropological, and medical concepts intersect with social, cultural, and political ideas about racial, sexual, and gender difference in the US and globally. Approach is historical and comparative across disciplines emphasizing the different modes of explanation and use of evidence in each field.","STS.046[J],WGS.225[J]",,,"2017-2018",,,Y,,,,
"21A.104","Memory, Culture, and Forgetting",2,0,7,9,,,"HASS-S","",,"Introduces scholarly debates about the sociocultural practices through which individuals and societies create, sustain, recall, and erase memories. Emphasis is given to the history of knowledge, construction of memory, the role of authorities in shaping memory, and how societies decide on whose versions of memory are more ""truthful"" and ""real."" Other topics include how memory works in the human brain, memory and trauma, amnesia, memory practices in the sciences, false memory, sites of memory, and the commodification of memory. Students taking graduate version complete additional assignments.",,"21A.119",,,,,Y,,,,
"21A.111","For Love and Money: Rethinking the Family",3,0,9,12,,,"HASS-S","",,"Cross-cultural case studies introduce students to the anthropological study of the social institutions and symbolic meanings of family, gender, and sexuality. Investigates the different forms families and households take and considers their social, emotional, and economic dynamics. Analyzes how various expectations for, and experiences of, family life are rooted in or challenged by particular conceptions of gender and sexuality. Addresses questions surrounding what it means to be a ""man"" or a ""woman,"" as well as a family member, in different social contexts.","WGS.172[J]",,,,Y,,,,,"H. Paxson","Lecture,1-273/TR/0/11-12.30"
"21A.119","Memory, Culture, and Forgetting",3,0,9,12,,,,"",,"Introduces scholarly debates about the sociocultural practices through which individuals and societies create, sustain, recall, and erase memories. Emphasis is given to the history of knowledge, construction of memory, the role of authorities in shaping memory, and how societies decide on whose versions of memory are more ""truthful"" and ""real."" Other topics include how memory works in the human brain, memory and trauma, amnesia, memory practices in the sciences, false memory, sites of memory, and the commodification of memory. Students taking graduate version complete additional assignments.",,"21A.104",,,,,Y,,,,
"21A.120","American Dream: Exploring Class in the US",3,0,9,12,,,"HASS-S","",,"Explores the experiences and understandings of class among Americans positioned at different points along the US social spectrum. Considers a variety of classic frameworks for analyzing social class and uses memoirs, novels and ethnographies to gain a sense of how class is experienced in daily life and how it intersects with other forms of social difference such as race and gender.",,,,"2018-2019",,,Y,,,,
"21A.130","Introduction to Latin American Studies",3,0,9,12,,"CI-H","HASS-S","",,"Examines contemporary Latin American culture, politics, and history. Surveys geography, economic development, and race, religion, and gender in Latin America. Special emphasis on the Salvadoran civil war, human rights and military rule in Argentina and Chile, and migration from Central America and Mexico to the United States. Students analyze films, literature, visual art, journalism, historical documents, and social scientific research.","17.55[J],21G.084[J],21H.170[J]",,,,,,Y,,,,
"21A.140","Cultures of East Asia",3,0,9,12,,,"HASS-S","",,"Explores diverse cultures, everyday experiences, and political economies in East Asian countries, such as China, Japan, Korea, and Singapore, with additional examples from the surrounding regions. Examines the different ways people in these regions experience and understand globalization, as well as the changing structures of kinship and family, work and organizational culture, media, consumption, and the role of government. Readings cover ethnographic studies of the world's largest seafood market in Tokyo, the effect of the Asian financial crisis on South Korea, the role of science in formulating China's one child policy and its economic and social implications, and the state and ethnic diversity in Singapore.","21G.047[J]",,,"2017-2018",Y,,,,,,
"21A.141","Images of Asian Women: Dragon Ladies and Lotus Blossoms",3,0,9,12,,,"HASS-S","",,"Explores some of the forces and mechanisms through which stereotypes are built and perpetuated. In particular, examines stereotypes associated with Asian women in colonial, nationalist, state-authoritarian, and global/diasporic narratives about gender and power. Students read ethnography, fiction, and history, and view films to examine the politics and circumstances that create and perpetuate the representation of Asian women as dragon ladies, lotus blossoms, despotic tyrants, desexualized servants, and docile subordinates. Students are introduced to debates about Orientalism, gender, and power.","21G.048[J],WGS.274[J]",,,"2017-2018",,,Y,,,,
"21A.143","Gender and Japanese Popular Culture",3,0,9,12,,,"HASS-H","",,"Examines relationships between identity and participation in Japanese popular culture as a way of understanding the changing character of media, capitalism, fan communities, and culture. Emphasizes contemporary popular culture and theories of gender, sexuality, race, and the workings of power and value in global culture industries. Topics include manga (comic books), hip-hop and other popular music, anime and feature films, video games, contemporary literature, and online communication. Students present analyses and develop a final project based on a particular aspect of gender and popular culture. Several films screened outside of regular class meeting times. Taught in English.","21G.039[J],WGS.154[J]","21G.591",,"2018-2019",,,Y,,,,
"21A.150","Teaching and Learning: Cross-Cultural Perspectives",3,0,9,12,,,"HASS-S","",,"Explores the diverse ways that people teach and learn in different countries, disciplines, and subcultures (computer gamers, magicians, jazz musicians, etc.). Compares schooling to other forms of knowledge transmission, from initiation and apprenticeship to recent innovations in online education. Students discuss various learning theories and apply them to a variety of in-class activities using qualitative methods to conduct original research on topics of their choice. Limited to 15.",,,,"2017-2018",,,Y,,,,
"21A.155","Food, Culture, and Politics",3,0,9,12,,,"HASS-S","",,"Explores connections between what we eat and who we are through cross-cultural study of how personal identities and social groups are formed via food production, preparation, and consumption. Organized around critical discussion of what makes ""good"" food good (healthy, authentic, ethical, etc.). Uses anthropological and literary classics as well as recent writing and films on the politics of food and agriculture. Instruction and practice in written and oral communication provided.",,,,,,,Y,,,,
"21A.156","Introduction to Sociology",3,0,9,12,,,"HASS-S","",,"Explores how social and historical structures shape individual experience and organize patterns of behavior. Focuses on the major social structures of contemporary society, such as family, government, work and organizations, religion, popular culture and mass media, criminal justice and the law, racial and ethnic group membership, community geography, and education.",,,,,,,Y,,,,
"21A.157","The Meaning of Life",3,0,9,12,,,"HASS-S","",,"Examines how a variety of cultural traditions propose answers to the question of how to live a meaningful life. Considers the meaning of life, not as a philosophical abstraction, but as a question that individuals grapple with in their daily lives, facing difficult decisions between meeting and defying cultural expectations. Provides tools for thinking about moral decisions as social and historical practices, and permits students to compare and contextualize the ways people in different times and places approach fundamental ethical concerns.",,,,,,,Y,,,,
"21A.300","Practicum in Global Health and Development",3,3,6,12,,,"HASS-S","",,"Provides training for students to critically analyze the relationship between ""health"" and ""development."" Draws upon the theory and methods of medical anthropology, social medicine, public health, and development to track how culture, history, and political economy influence health and disease in global communities. Students work in teams to formulate research questions, and collect and analyze qualitative data in clinical and community settings in the greater Boston area, in order to design effective development interventions aimed at reducing health disparities in the US and abroad. Students taking graduate version complete additional assignments.",,"21A.329",,"2017-2018",,,Y,,,,
"21A.301","Disease and Health: Culture, Society, and Ethics",3,0,9,12,,,"HASS-S","",,"From a cross cultural and global perspective, examines how medicine is practiced, with particular emphasis on biomedicine. Analyzes medical practice as a cultural system, focusing on the human and social side of things. Considers how people in different societies think of disease, health, body, and mind. Enrollment limited.",,,,"2017-2018",Y,,,,,,
"21A.302","Dilemmas in Biomedical Ethics: Playing God or Doing Good?",3,0,9,12,,,"HASS-S","",,"An introduction to the cross-cultural study of biomedical ethics. Examines moral foundations of the science and practice of western biomedicine through case studies of abortion, contraception, cloning, organ transplantation and other issues. Evaluates challenges that new medical technologies pose to the practice and availability of medical services around the globe, and to cross-cultural ideas of kinship and personhood. Discusses critiques of the biomedical tradition from anthropological, feminist, legal, religious, and cross-cultural theorists.","WGS.271[J]",,,"2017-2018",Y,,,,,,
"21A.303","The Anthropology of Biology",3,0,9,12,,,"HASS-S","",,"Applies the tools of anthropology to examine biology in the age of genomics, biotechnological enterprise, biodiversity conservation, pharmaceutical bioprospecting, and synthetic biology. Examines such social concerns such as bioterrorism, genetic modification, and cloning. Offers an anthropological inquiry into how the substances and explanations of biology — ecological, organismic, cellular, molecular, genetic, informatic — are changing. Examines such artifacts as cell lines, biodiversity databases, and artificial life models, and using primary sources in biology, social studies of the life sciences, and literary and cinematic materials, asks how we might answer Erwin Schrodinger's 1944 question, ""What Is Life?"", today.","STS.060[J]",,,"2017-2018",Y,,,,,,
"21A.305","Drugs, Politics, and Culture",3,0,9,12,,,"HASS-S","",,"Explores the relationship between drugs and society in a cross-cultural perspective, looking at intersections between drugs and phenomena such as poverty, religion, technology, colonialism, conflict, and global capitalism. Examines histories behind the use and abuse of various substances, including opium, cocaine, and prescription pharmaceuticals. Considers why different societies prohibit and sanction different drugs; the politics of markets and clinical trials; and how social conditions affect the circulation of medicines in global health. Limited to 25.","STS.062[J]",,,"2017-2018",Y,,,,,,
"21A.306","Culture, Embodiment, and the Senses",3,0,9,12,,,"HASS-S","",,"Examines historical and cross-cultural debates about the relationship between mind, brain, emotion, and behavior; memory and recall; sensory experience; and illness and healing. Assesses cultural traditions that challenge scientific interpretations of experience arising from western philosophical and physiological models. Explores how experience itself is culturally mediated, interpreted, and elaborated within symbolic, political, and other fields.",,,,"2017-2018",Y,,,,,,
"21A.308","Global Mental Health",3,0,9,12,,"CI-H","HASS-S","",,"Provides skills to critically analyze issues of mental health in historical and cross-cultural contexts. Studies mental illness as a complex biopsychosocial experience embedded in particular political and economic frameworks. Examines the relationships among culture, gender, embodiment, and emotional distress; power inequalities and ideas of the ""normal"" and ""abnormal;"" and how such conceptions influence caregiving practices, whether in traditional or biomedical contexts. Evaluates how the disciplines of psychology, psychoanalysis, and psychiatry have developed in the West, and considers their influence on mental health interventions in global settings. Limited to 25.",,,,"2017-2018",Y,,,,,,
"21A.310","Global Sexualities",3,0,9,12,,,"HASS-S","",,"Connects the consequences of power, inequality, and belief systems on sexual health and personal well-being in the US and non-western countries. Focuses on how ""subordinate"" groups contend with dominant domestic and international pressures to conform to narratives and expectations predicated on inequalities. Conducted in seminar format with discussions on uncovering the dynamics and dimensions of inequality. Examines major historical cross-cultural events impacting attitudes on sexual behaviors and sexualities.","WGS.155[J]",,,,Y,,,,,"L. Tso",
