Subject Id,Subject Title,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule
"21M.011","Introduction to Western Music",4,0,8,12,,"CI-H","HASS-A","",,"Provides a broad overview of Western music from the Middle Ages to the 20th century, with emphasis on late baroque, classical, romantic, and modernist styles. Designed to enhance the musical experience by developing listening skills and an understanding of diverse forms and genres. Major composers and works placed in social and cultural contexts. Weekly lectures feature demonstrations by professional performers and introduce topics to be discussed in sections. Enrollment limited.",,,,,Y,,Y,,,"E. Pollock, A. Boyles, T. Neff, C. Latham","Lecture,4-270/W/0/3.30-5;Recitation,4-152/MF/0/1,4-152/TR/0/1,4-364/TR/0/4,4-364/MF/0/2.30"
"21M.013","The Supernatural in Music, Literature and Culture",3,0,9,12,,"CI-H",,"",,"Explores the relationship between music and the supernatural, focusing on the social history and context of supernatural beliefs as reflected in key literary and musical works from 1600 to the present. Provides an understanding of the place of ambiguity and the role of interpretation in culture, science and art. Explores great works of art by Shakespeare, Verdi, Goethe (in translation), Gounod, Henry James and Benjamin Britten. Readings also include selections from the most recent scholarship on magic and the supernatural. Writing assignments range from web-based projects to analytic essays. No previous experience in music is necessary. Projected guest lectures, musical performances, field trips. Limited to 36.","21L.013[J]",,,,Y,,,,,"C. Shadle, M. Fuller","Lecture,4-364/MW/0/11-12.30"
"21M.030","Introduction to World Music",3,0,9,12,,"CI-H","HASS-A","",,"An introduction to diverse musical traditions of the world. Music from a wide range of geographical areas is studied in terms of structure, performance practice, social use, aesthetics, and cross-cultural contact. Includes hands-on music making, live demonstrations by guest artists, and ethnographic research projects. Enrollment limited by lottery.",,,,,Y,,Y,,,"P. Tang, K. Haas, L. Flood","Lecture,4-364/MW/0/3.30-5,4-364/TR/0/12.30-2,4-364/TR/0/11-12.30"
"21M.051","Fundamentals of Music",3,1,8,12,,,"HASS-A","",,"Introduces students to the rudiments of Western music through oral, aural, and written practice utilizing rhythm, melody, intervals, scales, chords, and musical notation. Individual skills are addressed through a variety of approaches, including keyboard practice in the required piano labs. Limited to 20 by lottery. Not open to students who have completed 21M.301 or 21M.302.",,,,,Y,,Y,,,"K. Salfelder, E. Kwon, K. Salfelder, K. Salfelder, B. Park","Lecture,4-158/MW/0/12.30-2,4-152/TR/0/10-11.30,4-162/TR/0/12.30-2,4-158/TR/0/9.30-11;Lab,TBA"
"21M.065","Introduction to Musical Composition",3,0,9,12,,,"HASS-A","",,"Through a progressive series of composition projects, students investigate the sonic organization of musical works and performances, focusing on fundamental questions of unity and variety. Aesthetic issues are considered in the pragmatic context of the instructions that composers provide to achieve a desired musical result, whether these instructions are notated in prose, as graphic images, or in symbolic notation. No formal training is required. Weekly listening, reading, and composition assignments draw on a broad range of musical styles and intellectual traditions, from various cultures and historical periods. Limited to 18.",,,,,Y,,Y,,,"E. Ziporyn","Lecture,4-158/MW/0/3.30-5"
"21M.215","Music of the Americas",3,0,9,12,,,"HASS-A","Permission of instructor",,"A survey of the music of North and South America from the Renaissance to the present, with emphasis on the cross-fertilizations of indigenous and European traditions. Listening assignments will focus on composers as varied as Copland and Still, Revueltas and Chihara.",,,,"2017-2018",,,Y,,,,
"21M.220","Medieval and Renaissance Music",3,0,9,12,,,"HASS-A","","21M.301","Examines European music from the early Middle Ages until the end of the Renaissance. Includes a chronological survey and intensive study of three topics: chant and its development, music in Italy 1340-1420, and music in Elizabethan England. Focuses on methods and pitfalls in studying music of the distant past. Students' papers, problem sets, and presentations explore lives, genres, and works in depth. Works studied in facsimile of original notation, and from original manuscripts at MIT, where possible.",,,,,,,Y,,,,
"21M.223","Folk Music of the British Isles and North America",3,1,8,12,,"CI-H","HASS-A","",,"Examines the production, transmission, preservation and the qualities of folk music in the British Isles and North America from the 18th century to the folk revival of the 1960s and the present. Special emphasis on balladry, fiddle styles, and African-American influences. Enrollment limited.","21L.023[J]",,,,Y,,,,,"R. Perry, W. Donaldson","Lecture,4-152/TR/0/3.30-5"
"21M.226","Jazz",3,0,9,12,,,"HASS-A","",,"Historical survey from roots in African and American contexts, including spirituals, blues, and ragtime, through early jazz, Swing, bebop, and post-bop movements, with attention to recent developments. Key jazz styles, the relation of music and society, and major figures such as Armstrong, Ellington, Basie, Goodman, Parker, Monk, Mingus, Coltrane, and others are considered. Some investigation of cross-influences with popular, classical, folk, and rock musics. Enrollment may be limited.",,,,,Y,,,,,"M. Harvey","Lecture,4-158/TR/0/11-12.30"
"21M.235","Monteverdi to Mozart: 1600-1800",3,0,9,12,,,"HASS-A","21M.301,permission of instructor",,"Surveys Baroque and Classical genres: opera, cantata, oratorio, sonata, concerto, quartet and symphony. Includes the composers Monteverdi, Schutz, Purcell, Vivaldi, Bach, Handel, Haydn and Mozart. Bases written essays, projects and oral presentations on live performances as well as listening and reading assignments. Basic music score-reading ability required.",,,,,,,Y,,,,
"21M.250","Beethoven to Mahler: 1800-1910",3,0,9,12,,,"HASS-A","21M.301,permission of instructor",,"Surveys Romantic genres including Lied/song, choral music, opera, piano sonata/character cycle, concerto, and symphony/symphonic poem. Includes the composers Beethoven, Schubert, Berlioz, Chopin, Brahms, Wagner, Verdi, Tchaikovsky, and Mahler. Bases written essays and oral presentations on live performances as well as listening and reading assignments. Basic score-reading ability recommended.",,,,,Y,,,,,"T. Neff","Lecture,4-152/TR/0/11.30-1"
"21M.260","Stravinsky to the Present",3,0,9,12,,,"HASS-A","21M.301,permission of instructor",,"Surveys musical works drawn from many genres, representing stylistic movements that have transformed classical music over the past hundred years. Focal topics include musical modernism, serialism, neoclassicism, nationalism and ideology, minimalism, and aleatoric and noise composition experiments. Discusses electronic and computer music, and new media and the postmodern present. Begins with Stravinsky's early ballets and ends with music by current MIT composers and other important figures active today. Ability to read music required. Instruction and practice in oral and written communication provided.",,,,,Y,,,,,"M. Marks","Lecture,4-162/MW/0/12.30-2"
"21M.269","Studies in Western Music History",3,0,9,12,,,"HASS-A","21M.301,permission of instructor",,"Explores particular questions or repertories in Western classical music. Requires individual participation, presentations, and writing. Topics vary each year. Examples include women in music, musical borrowing, the Ars Nova, Schumann, or music after 1990. May be repeated for credit with permission of instructor.",,,,,,,Y,,,,
"21M.271","Symphony and Concerto",3,0,9,12,,,"HASS-A","",,"Explores the style, form, and history of approximately two dozen pieces of canonical symphonic repertoire. Students write short reviews of musicological articles on the rich cultural history of selected works and complete one project about the state of classical music in contemporary society. Basic score-reading ability required.",,,,"2017-2018",,,Y,,,,
"21M.273","Opera",3,0,9,12,,,"HASS-A","",,"Focuses on the different styles and dramatic approaches exhibited by a range of operas. Central questions include the process of adaptation from source material, the conventions of different operatic eras, and how the works are staged in contrasting productions. Basic score-reading ability required.",,,,,Y,,,,,"E. Pollock","Lecture,4-162/TR/0/11-12.30"
"21M.283","The Musical",3,0,9,12,,,"HASS-A","One subject in film,music,theater;permission of instructor",,"Covers Broadway works and Hollywood films in depth. Proceeds chronologically, exploring three stage musicals and three films at a time, within four historical categories: breakthrough musicals of the 1920s and '30s; classic ""book musicals"" of the '40s and '50s; modernist and concept musicals of the '60s and '70s; and post modern and cutting-edge works of the '80s and '90s. Attention given to the role of music in relation to script, characterization, and dramatic structure. Final papers involve comparison of one stage and one film work, selected in consultation with the instructor. Oral presentations required and in-class performances encouraged.",,,,,,,Y,,,,
"21M.284","Film Music",3,0,9,12,,,"HASS-A","",,"Surveys styles and dramatic functions of music for silent films of the 1910s-20s, and music in sound films from the 1930s to the present. Close attention given to landmark scores by American and European composers, including Korngold, Steiner, Rozsa, Prokofiev, Copland, Herrmann, Rota, Morricone, and Williams. Subsidiary topics include new trends in contemporary film-scoring, pop scores, the impact of electronics, and specialized genres (e.g., animation). Students taking the graduate version complete different assignments. Some background in the study of film and/or music is expected.",,"CMS.925",,,Y,,,,,"M. Marks","Lecture,4-162/MW/0/3.30-5"
"21M.289","Studies in Western Classical Genres",3,0,9,12,,,"HASS-A","21M.301,permission of the instructor",,"Explores topics concerned with specific types of classical music, such as repertories for instrumental soloists and/or small ensembles, orchestral works, solo songs, choral works, or compositions for theater, film, or new media. Topics vary and may require additional prerequisites or specialized skills such as score-reading or playing an instrument. Examples include the English madrigal, Baroque chamber music, Beethoven's symphonies, French art song, Wagner's 'Ring' cycle, American choral music, Stravinsky's theater works, and the Hollywood film score. May be repeated for credit with permission of instructor.",,,,,,,Y,,,,
"21M.291","Music of India",3,0,9,12,,,"HASS-A","",,"Focuses on Hindustani classical music of North India, and also involves learning about the ancient foundations of the rich classical traditions of music and dance of all Indian art and culture. Practice of the ragas and talas through the learning of songs, dance, and drumming compositions. Develops insights through listening, readings, and concert attendance.",,,,,,,Y,,,,
"21M.292","Music of Indonesia",3,0,9,12,,,"HASS-A","",,"Provides an introduction to the fascinating, intricate music of Indonesia with a special focus on Bali. Examines diverse traditions across the archipelago from both musical and cultural perspectives, from the gamelan percussion orchestras of Bali and Java to the indigenous folk traditions of Borneo, from the most sacred ritual music to the most modern popular music. Students analyze and discuss the cultural significance of musical examples, and engage in hands-on music making.",,,,,Y,,,,,"L. Tilley","Lecture,N52-199/MW/0/12.30-2"
"21M.293","Music of Africa",3,0,9,12,,,"HASS-A","",,"Studies musical traditions of sub-Saharan Africa, with focus on West Africa. Explores a variety of musical practices and their cultural contexts through listening, reading and writing assignments with an emphasis on class discussion. Includes in-class instruction in drumming, song and dance of Senegal, Ghana, and South Africa, as well as live lecture-demonstrations by guest performers from throughout sub-Saharan Africa. Limited to 15; preference to majors, minors, concentrators. Admittance may be controlled by lottery.",,,,,Y,,,,,"P. Tang","Lecture,N52-199/TR/0/2-3.30"
"21M.294","Popular Musics of the World",3,0,9,12,,,"HASS-A","",,"Focuses on popular music created for and transmitted by mass media. Studies various popular music genres from around the world through listening and reading assignments, while considering issues of musical change, syncretism, Westernization, globalization, the impact of recording industries, and the post-colonial era. Case studies include bhangra, Afro-pop, reggae, and global hip-hop. Limited to 25; preference to majors, minors, concentrators. Admittance may be controlled by lottery.",,,,,,,Y,,,,
