Subject Id,Subject Title,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule
"HST.010","Human Functional Anatomy",,,,,,,,,,,,,,,,,,,,"L. Gehrke",
"HST.011","Human Functional Anatomy",,,,,,,,,,,,,,,,,,,,"L. Gehrke",
"HST.015","MATLAB for Medicine",,,,2,,,,"",,"Practical introduction to use of quantitative methods in medicine and health research. Each session covers a different topic in quantitative techniques, provides an application to medicine, and includes a modeling activity using MATLAB. Students also complete problem sets. Restricted to first year HST MD students.",,,,,,,,Y,,"M. Frosch",
"HST.020","Musculoskeletal Pathophysiology",,,,,,,,,,,,,,,,,,,,,
"HST.021","Musculoskeletal Pathophysiology",,,,,,,,,,,,,,,,,,,,,
"HST.030","Human Pathology",,,,,,,,,,,,,,,,,,,,"R. Mitchell",
"HST.031","Human Pathology",,,,,,,,,,,,,,,,,,,,"R. Mitchell",""
"HST.034","Pathology of Human Disease",,,,,,,,,,,,,,,,,,,,,
"HST.035","Pathology of Human Disease",,,,,,,,,,,,,,,,,,,,,
"HST.040","Mechanisms of Microbial Pathogenesis",,,,,,,,,,,,,,,,,,,,"P. Cunningham",
"HST.041","Mechanisms of Microbial Pathogenesis",,,,,,,,,,,,,,,,,,,,"P. Cunningham",""
"HST.060","Endocrinology",,,,,,,,,,,,,,,,,,,,,
"HST.061","Endocrinology",,,,,,,,,,,,,,,,,,,,,
"HST.070","Human Reproductive Biology",,,,,,,,,,,,,,,,,,,,"P. Cunningham",
"HST.071","Human Reproductive Biology",,,,,,,,,,,,,,,,,,,,"P. Cunningham",""
"HST.080","Hematology",,,,,,,,,,,,,,,,,,,,,
"HST.081","Hematology",,,,,,,,,,,,,,,,,,,,,
"HST.090","Cardiovascular Pathophysiology",,,,,,,,,,,,,,,,,,,,,
"HST.091","Cardiovascular Pathophysiology",,,,,,,,,,,,,,,,,,,,,
"HST.100","Respiratory Pathophysiology",,,,,,,,,,,,,,,,,,,,,
