Subject Id,Subject Title,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule
"NS.100","Naval Science Leadership Seminar",,,,2,,,,"",,"Leadership seminar addresses professional issues of military leadership, ethics, foreign policy, internal affairs and naval warfare doctrine. Subject matter centers on preparation for commissioned service in the US Naval Forces by examining the role of the junior officer in the employment of naval power. Mostly student originated, the periods include panel discussions, practical applications, guest lecturers from academia, and speakers currently serving in deployed naval forces.",,"NS.200,NS.300,NS.400",,,Y,,Y,,,"S. Langel","Lecture,3-270/W/0/6.30-8.30"
"NS.11","Introduction to Naval Science",3,0,3,6,,,,"",,"Introduction to naval science. General introduction to the US Navy and Marine Corps. Emphasizes organizational structure, warfare components, and assigned roles/missions of US Navy/USMC. Covers all aspects of naval service from its relative position within DOD, to specific warfare communities/career paths. Also includes basic elements of leadership/Navy core values. Designed to give student initial exposure to many elements of naval culture. Provides students with conceptual framework and working vocabulary. Completion of MIT NROTC Orientation Program strongly recommended.",,,,,Y,,,,,"R. Wielgus","Lecture,W59-172/TR/0/7.30-9"
"NS.12","Seapower and Maritime Affairs",3,0,6,9,,,,"",,"A study of the US Navy and the influence of sea power upon history. Incorporates both a historical and political science process to explore the major events, attitudes, personalities, and circumstances which have imbued the US Navy with its proud history and rich tradition. Deals with issues of national imperatives in peacetime as well as war, varying maritime philosophies which were interpreted into naval strategies/doctrines, budgetary concerns which shaped force realities, and the pursuit of American diplomatic objectives, concluding with the current search for direction in the post-Cold War era and beyond.",,,,,,,Y,,,,
"NS.200","Naval Science Leadership Seminar",,,,2,,,,"",,"Leadership seminar addresses professional issues of military leadership, ethics, foreign policy, internal affairs and naval warfare doctrine. Subject matter centers on preparation for commissioned service in the US Naval Forces by examining the role of the junior officer in the employment of naval power. Mostly student originated, the periods include panel discussions, practical applications, guest lecturers from academia, and speakers currently serving in deployed naval forces.",,"NS.100,NS.300,NS.400",,,Y,,Y,,,,"Lecture,3-270/W/0/6.30-8.30"
"NS.21","Leadership and Management",3,0,6,9,,,,"",,"Explores leadership from the military perspective taught by professors of military science from the Army, Navy and Air Force. Survey of basic principles for successfully managing and leading people, particularly in public service and the military. Develops skills in topics such as oral and written communication techniques, planning, team building, motivation, ethics, decision-making, and managing change. Relies heavily on interactive experiential classes with case studies, student presentations, role plays, and discussion. Also appropriate for non-management science majors.",,,,,Y,,,,,"B. Masterson","Lecture,W59-149/R/0/7-10"
"NS.22","Navigation",3,0,6,9,,,,"",,"Comprehensive study of the theory, principles, and procedures of piloting and maritime navigation, including mathematics of navigation, practical work involving navigational instruments, sight reduction by pro forma and computerized methods, charts, publications, and voyage planning. CORTRAMID cruise recommended.",,,,,,,Y,,,,
"NS.300","Naval Science Leadership Seminar",,,,2,,,,"",,"Leadership seminar addresses professional issues of military leadership, ethics, foreign policy, internal affairs and naval warfare doctrine. Subject matter centers on preparation for commissioned service in the US Naval Forces by examining the role of the junior officer in the employment of naval power. Mostly student originated, the periods include panel discussions, practical applications, guest lecturers from academia, and speakers currently serving in deployed naval forces.",,"NS.100,NS.200,NS.400",,,Y,,Y,,,,"Lecture,3-270/W/0/6.30-8.30"
"NS.31","Naval Ships Systems I: Engineering",3,0,6,9,,,,"",,"Lecture series on technological fundamentals of applied and planned naval ships Systems from an engineering viewpoint. Topics include stability, propulsion, ship control and systems.",,,,,Y,,,,,"H. Nowak","Lecture,W59-172/TR/0/7.30-9"
"NS.32","Naval Ship Systems II Weapons",3,0,6,9,,,,"NS.31,permission of instructor",,"Overview of the properties and behavior of electromagnetic radiation pertaining to maritime applications. Topics include communications, radar detection, electro-optics, tracking and guidance systems. Sonar and underwater sound propagation also discussed. Examples taken from systems found on naval ships and aircraft. Selected readings on naval weapons and fire control systems. Physics I (GIR) and Calculus II (GIR) recommended.",,,,,,,Y,,,,
"NS.33","Evolution of Warfare",3,0,6,9,,,,"",,"Traces development of warfare from dawn of recorded history to present, focusing on the impact of major military theorists, strategists, tacticians, and technological developments. Seeks to understand the relationships between military training, weaponry, strategies and tactics, and the societies and cultures that produce and then are defended by those military structures. By examining the association between a society and its military, students acquire basic sense of strategy, develop an understanding of military alternatives, and see the impact of historical precedents on military thoughts and actions.",,,,,,,Y,,,,
