Subject Id,Subject Title,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule
"SCM.250","Analytical Methods for Supply Chain Management",3,0,3,6,,,,"",,"Covers the primary methods of analysis required for supply chain management planning. The class solves various practical problems using simulation, linear programming, integer programming, regression, and other techniques. The work is primarily team based with a final exam. Restricted to students in the SCM program.",,,,,Y,,,,,"B. Arntzen","Lecture,2-105/F/0/1-4"
"SCM.251","Supply Chain Financial Analysis",4,0,2,6,,,,"","SCM.260,permission of instructor","Explores the linkages between supply chain management and corporate finance. Emphasizes how the supply chain creates value for both the shareholders of the company and for the stakeholders affected by the company's operations. Sessions combine lectures and data-rich cases from the manufacturer, distributor, and retailer perspective. Topics include accounting fundamentals, financial analysis, activity-based costing, working capital management, cash flow projections, capital budgeting, and sustainability. Students should also register for SCM.253.",,,,,Y,,,,,"J. Rice, J. Goentzel","Lecture,E51-057/MW/0/2.30-4;Recitation,E51-085/T/0/4"
"SCM.252","Supply Chain Software",,,,2,,,,"",,"Provides an overview of the main types of supply chain software including ERP, WMS, and TMS systems. Describes their main functionality, how they work, how they are used, their architecture, data flows, and how they are organized into modules. Also describes the software selection process and how software upgrade and implementation projects should be organized and managed. Limited to SCM students.",,,,,,Y,,,,,
"SCM.253","Case Studies in Supply Chain Financial Analysis",3,0,0,3,,,,"SCM.251",,"Students explore and discuss case studies that focus on financial analysis in real supply chains. Cases provide the opportunity for students to apply the theory and quantitative methods that they have studied in addressing actual supply chain challenges. These include decision making around sourcing, capital investments, inventory strategy, and new product introduction. Students present and defend their solutions to their peers.",,,,,Y,,Y,,,"J. Rice, J. Goentzel",
"SCM.259","Business Writing for Supply Chain Management",2,0,1,3,,,,"",,"Focuses on analyzing and tailoring content for specific audiences, developing argumentation and persuasion skills, and writing clear, concise and well-structured documents (business letters, memos, executive summaries, and briefings). Covers business writing techniques and strategies through lectures and exercises, individual writing assignments, and peer review workshops. Restricted to students in the SCM program.",,,,,Y,Y,,,,"P. Siska","Lecture,E51-085/T/0/10-11.30,E51-085/R/0/2.30-4"
"SCM.260","Logistics Systems",3,0,9,12,,,,"Permission of instructor",,"Provides an introduction to supply chain management from both analytical and practical perspectives. Taking a unified approach, students develop a framework for making intelligent decisions within the supply chain. Covers key logistics functions, such as demand planning, procurement, inventory theory and control, transportation planning and execution, reverse logistics, and flexible contracting. Explores concepts such as postponement, portfolio management, and dual sourcing. Emphasizes skills necessary to recognize and manage risk, analyze various tradeoffs, and model logistics systems.","1.260[J],15.770[J],IDS.730[J]",,,,Y,,,,,"C. Caplice","Lecture,E51-315/MW/0/8.30-10"
"SCM.261","Case Studies in Logistics and Supply Chain Management",3,0,6,9,,,,"Permission of instructor",,"A combination of lectures and cases covering the strategic, management, and operating issues in contemporary logistics and integrated supply chain management. Includes: logistics strategy; supply chain restructuring and change management; and distribution, customer service, and inventory policy.","1.261[J],15.771[J]",,,,,,Y,,,,
"SCM.262","Leading Global Teams",3,0,3,6,,,,"SCM.260,permission of instructor",,"Reinforces supply chain concepts and develops management and teamwork skills. Focuses on practical, rather than theoretical tools, methodologies, and approaches that students will use throughout their supply chain career. Includes guest lectures, a case competition, and several large-scale, team-based simulation learning games. Restricted to students in the SCM program.",,,,,,Y,,,,,
"SCM.263","Advanced Writing Workshop for SCM",1,0,2,3,,,,"",,"Focuses on helping students write and present their ideas in cogent, persuasive arguments and other analytical frameworks. Designed to improve students' ability to communicate research information. Covers the basics of working with sources, including summarizing and paraphrasing, and synthesizing source materials. Workshops along with small team coaching sessions help students apply these lessons in the writing of their capstone project or thesis project. Limited to SCM students.",,,,,,,Y,,,,
"SCM.264","Database Analysis for Supply Chain Management",6,0,6,12,,,,"",,"Introduces databases, data analysis, and information technology fundamentals for supply chain management. Covers database topics such as data modeling, relational databases, data extraction and SQL. Introduces data analysis tools for visualization, regression, supervised and unsupervised classification, which includes principal components and clustering analysis. Provides instruction on information technology topics such as software development process, UML, XML, service-oriented architectures, security and telecommunications. Term project includes implementation of data modeling, data visualization and data analysis techniques.",,,,,Y,,,,,"C. Cassa","Lecture,E52-164/TR/0/12.30-2.30;Recitation,E52-164/F/0/10-12"
