Subject Id,Subject Title,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule
"STS.001","Technology in American History",3,0,9,12,,,"HASS-H","",,"A survey of America's transition from a rural, agrarian, and artisan society to one of the world's leading industrial powers. Treats the emergence of industrial capitalism: the rise of the factory system; new forms of power, transport, and communication; the advent of the large industrial corporation; the social relations of production; and the hallmarks of science-based industry. Views technology as part of the larger culture and reveals innovation as a process consisting of a range of possibilities that are chosen or rejected according to the social criteria of the time.",,,,"2017-2018",,,Y,,,,
"STS.002","Finance and Society",3,0,9,12,,"CI-H","HASS-S","",,"Examines finance as a social technology intended to improve economic opportunity by moving capital to where it is most needed. Surveys the history of modern finance, from medieval Italy to the Great Depression, while addressing credit, finance and state (and imperial) power, global financial interconnection, and financial crises. Explores modern finance (since about 1950) from a variety of historical and social-scientific perspectives, covering quant finance, financialization, the crisis of 2007-2008, and finance in the digital age. Enrollment limited.",,,,"2017-2018",,,Y,,,,
"STS.003","The Rise of Modern Science",3,0,9,12,,"CI-H","HASS-H","",,"Covers the development of major fields in the physical and life sciences, from 18th-century Europe through 20th-century America. Examines ideas, institutions, and the social settings of the sciences, with emphasis on how cultural contexts influence scientific concepts and practices.",,,,"2017-2018",Y,,,,,,
"STS.004","Intersections: Science, Technology, and the World",3,0,9,12,,,"HASS-H","",,"Exposes students to multidisciplinary studies in Science, Technology, and Society (STS), using four case studies to illustrate a broad range of approaches to basic principles of STS studies. Case studies vary from year to year, but always include a current MIT event. Other topics are drawn from legal and political conflicts, and arts and communication media. Includes guest presenters, discussion groups, field activities, visual media, and a practicum style of learning. Enrollment limited.",,,,,Y,,,,,"D. Fitzgerald","Lecture,1-375/MW/0/1-2.30"
"STS.006","Bioethics",3,0,9,12,,"CI-H","HASS-H","",,"Considers ethical questions that have arisen from the growth of biomedical research and the health-care industry since World War II. Should doctors be allowed to help patients end their lives? If so, when and how? Should embryos be cloned for research and/or reproduction? Should parents be given control over the genetic make-up of their children? What types of living things are appropriate to use as research subjects? How should we distribute scarce and expensive medical resources? Draws on philosophy, history, and anthropology to show how problems in bioethics can be approached from a variety of perspectives.","24.06[J]",,,"2017-2018",,,Y,,,,
"STS.007","Technology in History",3,0,9,12,,"CI-H","HASS-H","",,"Covers theories of the interactions between historical and technological change; relations between the histories of science and of technology; purported turning points such as the Neolithic, Industrial, and Information Revolutions; case studies from a wide range of times and places; and connections across time and space. Lectures supplemented by student presentations. Frequent writing, rewriting, and small group work. Enrollment limited.",,,,"2018-2019",,,Y,,,,
"STS.008","Technology and Experience",3,0,9,12,,"CI-H","HASS-S","",,"Introduces the ""inner history"" of technology: how it affects intimate aspects of human experience from sociological, psychological and anthropological perspectives. Topics vary, but may include how the internet transforms our experience of time, space, privacy, and social engagement; how entertainment media affects attention, creativity, aesthetics and emotion; how innovations in wearable and textile technologies reshape notions of history and identity; how pharmaceuticals reshape identity, mood, pain, and pleasure. Includes in-class discussion of readings, short written and multimedia assignments, final project. Enrollment limited.",,,,,,,Y,,,,
"STS.009","Evolution and Society",3,0,9,12,,"CI-H","HASS-H","",,"Provides a broad conceptual and historical introduction to scientific theories of evolution and their place in the wider culture. Embraces historical, scientific and anthropological/cultural perspectives grounded in relevant developments in the biological sciences since 1800 that are largely responsible for the development of the modern theory of evolution by natural selection. Students read key texts, analyze key debates (e.g. Darwinian debates in the 19th century, and the creation controversies in the 20th century) and give class presentations.",,,,"2017-2018",Y,,,,,,
"STS.011","Engineering Life: Biotechnology and Society",3,0,9,12,,,"HASS-H","",,"Provides instruction in the history of humanity's efforts to control and shape life through biotechnology, from agriculture to gene editing. Examines the technologies, individuals and socio-economic systems that are associated with such efforts, as well as the impact that these efforts have on society and science as a whole. Explores these issues with particular attention to the development of the modern biotechnology industry in the Greater Boston area. Includes a field trip.",,,,"2017-2018",,,Y,,,,
"STS.012","Science in Action: Technologies and Controversies in Everyday Life",3,0,9,12,,,"HASS-S","",,"Explores a range of controversies about the role of technology, the nature of scientific research and the place of politics in science: debates about digital piracy and privacy, the role of activism in science, the increasingly unclear boundaries between human and non-human, the role of MRIs as courtroom evidence, the potential influence of gender on scientific research, etc. Provides exposure to science in a dynamic relation with social life and cultural ideas. Materials draw from humanities and social science research, ethnographic fieldwork, films and science podcasts, as well as from experimental multimedia.",,,,,,,Y,,,,
