Subject Id,Subject Title,Prerequisites,Corequisites,Joint Subjects,Equivalent Subjects,Meets With Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Instructors,Comm Req Attribute,Hass Attribute,Gir Attribute
"21G.417","Cultural Geographies of Germany: Nature, Culture, and Politics","21G.404,permission of instructor",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21G.418","Migration, Race and Ethnicity in a New Europe and Germany","21G.404,permission of instructor",,,,"21G.058","2017-2018",Y,,,,,,"HASS-H",
"21G.420","Visual Histories: German Cinema 1945 to Present","21G.404,permission of instructor",,,,,"2018-2019",Y,,,,"K. Fendt, D. Jaeger",,"HASS-H",
"21G.451","German I","",,,,"21G.401",,Y,Y,Y,,,,,
"21G.452","German II","21G.451,permission of instructor",,,,"21G.402",,Y,Y,Y,,,,,
"21G.501","Japanese I","",,,,"21G.551",,Y,Y,,,"T. Aikawa, M. Ikeda-Lamm, E. Rafique",,"HASS-H",
"21G.502","Japanese II","21G.501;placement test,permission of instructor",,,,"21G.552",,,,Y,,,,"HASS-H",
"21G.503","Japanese III","21G.502;placement test,permission of instructor",,,,,,Y,,,,"W. Maekawa, E. Rafique",,"HASS-H",
"21G.504","Japanese IV","21G.503;placement test,permission of instructor",,,,,,,,Y,,,,"HASS-H",
"21G.505","Japanese V","21G.504;placement test,permission of instructor",,,,,,Y,,,,"M. Ikeda-Lamm",,"HASS-H",
"21G.506","Japanese VI","21G.505;placement test,permission of instructor",,,,,,,,Y,,,,"HASS-H",
"21G.551","Japanese I","",,,,"21G.501",,Y,Y,,,,,,
"21G.552","Japanese II","21G.551,placement test,permission of instructor",,,,"21G.502",,,,Y,,,,,
"21G.590","Visualizing Japan in the Modern World","21G.504,permission of instructor",,,,"21G.027[J],CMS.874[J]",,Y,,,,,"CI-H","HASS-H",
"21G.591","Gender and Japanese Popular Culture","21G.504,permission of instructor",,,,"21A.143[J],21G.039[J],WGS.154[J]","2018-2019",,,Y,,,,"HASS-H",
"21G.592","Introduction to Japanese Culture","21G.504,permission of instructor",,,,"21G.064",,Y,,,,,"CI-H","HASS-H",
"21G.593","Japanese Literature and Cinema","21G.504,permission of instructor",,,,"21G.065","2017-2018",Y,,,,,"CI-H","HASS-H",
"21G.594","Cinema in Japan and Korea","21G.504,permission of instructor",,,,"21G.094",,Y,,,,,,"HASS-A",
"21G.596","Anime: Transnational Media and Culture","21G.504,permission of instructor",,,,"21G.063","2017-2018",,,Y,,,,"HASS-H",
"21G.597","Digital Media in Japan and Korea","21G.504,permission of the instructor",,,,"21G.067",,,,Y,,,,"HASS-H",
"21G.601","Italian I","",,,,"21G.651",,,Y,,,,,"HASS-H",
"21G.651","Italian I","",,,,"21G.601",,,Y,,,,,,
"21G.801","Portuguese I","",,,,"21G.851",,Y,Y,,,"A. Hirano, N. Dominique",,"HASS-H",
"21G.802","Portuguese II","21G.801,permission of instructor",,,,"21G.852",,,,Y,,,,"HASS-H",
"21G.880","Accelerated Introductory Portuguese for Spanish Speakers","21G.704,permission of instructor",,,,"21G.855",,,,Y,,,,"HASS-H",
"21G.803","Portuguese III","21G.802,21G.880,permission of instructor",,,,,,Y,,,,"N. Dominique",,"HASS-H",
"21G.804","Portuguese IV","21G.803,permission of instructor",,,,,,,,Y,,,,"HASS-H",
"21G.820","Topics in Modern Portuguese Literature and Culture","21G.804,permission of instructor",,,,,,Y,,,,,,"HASS-H",
"21G.821","The Beat of Brazil: Portuguese Language and Brazilian Society Through its Music","21G.804,permission of instructor",,,,,,Y,,,,"N. Dominique",,"HASS-H",
"21G.851","Portuguese I","",,,,"21G.801",,Y,Y,,,,,,
"21G.852","Portuguese II","21G.851,permission of instructor",,,,"21G.802",,,,Y,,,,,
"21G.855","Accelerated Introductory Portuguese for Spanish Speakers","21G.704,permission of instructor",,,,"21G.880",,,,Y,,,,,
"21G.611","Russian I (Regular)","",,,,,,Y,Y,,,"M. Khotimsky",,"HASS-H",
"21G.612","Russian II (Regular)","21G.611,permission of instructor",,,,,,,,Y,,,,"HASS-H",
"21G.613","Russian III (Regular)","21G.612;permission of instructor",,,,,,Y,,,,"M. Khotimsky",,"HASS-H",
"21G.614","Russian IV (Regular)","21G.613;permission of instructor",,,,,,,,Y,,,,"HASS-H",
"21G.618","Introduction to the Classics of Russian Literature - Russian Language Option","21G.614,permission of instructor",,,,"21G.077[J],21L.490[J]",,,,Y,,,,"HASS-H",
"21G.901","Korean I (Regular)","",,,,,,Y,Y,,,"S. Pak",,"HASS-H",
