Subject Id,Subject Title,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule
"1.00","Engineering Computation and Data Science",3,2,7,12,"REST",,,"Calculus I GIR",,"Presents fundamentals of computing and programming in an engineering context with an emphasis on data science. Introduces basics of web computing, data structures, and techniques for data analysis. Includes filtering, linear regression, simple machine learning (clustering and classifiers), and visualization. Surveys techniques for ingesting, processing, analyzing, and visualizing engineering data from a range of fields, including geo-spatial, environment, infrastructure, city dynamics, and numerical experiments. Students use JavaScript and HTML5 programming language to complete weekly assignments. Students taking graduate version complete additional assignments.",,"1.001",,,,,Y,,,,
"1.000","Computer Programming for Engineering Applications",3,2,7,12,"REST",,,"","18.03","Presents the fundamentals of computing and computer programming (procedural and object-oriented programming) in an engineering context. Introduces logical operations, floating-point arithmetic, data structures, induction, iteration, and recursion. Computational methods for interpolation, regression, root finding, sorting, searching, and the solution of linear systems of equations and ordinary differential equations. Control of sensors and visualization of scientific data. Draws examples from engineering and scientific applications. Students use the MATLAB programming environment to complete weekly assignments.",,,,,Y,,,,,"X. Fu","Lecture,5-234/MWF/0/9.30-11;Lab,TBA"
"1.001","Engineering Computation and Data Science",3,2,7,12,,,,"Calculus I GIR",,"Presents fundamentals of computing and programming in an engineering context with an emphasis on data science. Introduces basics of web computing, data structures, and techniques for data analysis. Includes filtering, linear regression, simple machine learning (clustering and classifiers), and visualization. Surveys techniques for ingesting, processing, analyzing, and visualizing engineering data from a range of fields, including geo-spatial, environment, infrastructure, city dynamics, and numerical experiments. Students use JavaScript and HTML5 programming language to complete weekly assignments. Students taking graduate version complete additional assignments.",,"1.00",,,,,Y,,,,
"1.007","Big Engineering: Small Solutions with a Large Impact",3,0,3,6,,,,"",,"Provides a practical introduction to key topics, current research and innovative methods in the diverse field of civil and environmental engineering. Discusses career opportunities, innovation, and entrepreneurship. Under faculty supervision, students work on projects in areas such as renewable energy, sustainable design, food security, climate change, and transportation. Projects focus on design of novel solutions to grand challenges related to infrastructure, systems and the environment, and include elements of the different areas to demonstrate the interconnectedness of the discipline. Preference to first-year students and Course 1 sophomores.",,,,,Y,,,,,"B. Marelli","Lecture,1-134/T/0/2-4;Recitation,1-371/R/0/3"
"1.010","Uncertainty in Engineering",5,0,7,12,,,,"Calculus II GIR",,"Introduces probability and statistics with an emphasis on understanding, quantifying, and modeling uncertainty. Topics include events and their probability, the total probability and Bayes' theorems, discrete and continuous random variables and vectors, covariance, correlations, and conditional analysis. Random sampling, estimation of distribution parameters (method of moments, maximum likelihood, Bayesian estimation), and simple and multiple linear regression. Concepts illustrated with examples from various areas of engineering and everyday life. Integrates applications with statistical computing and graphics.",,,,,Y,,,,,"S. Saavedra Sanchez","Lecture,1-242/TR/0/9-10.30;Recitation,1-242/T/0/3-5"
"1.011","Project Evaluation and Management",3,1,8,12,,,,"",,"Develops skills to evaluate a project or program using economic, environmental, and equity metrics, and to plan, execute and manage its progress to completion. Introduces students to engineering projects that are typically large-scale and long-lived, and involve many economic, financial, social and environmental factors. Covers net present value analysis, life-cycle costing, and benefit-cost analysis. Culminates in a term project in which small teams study a historical or prospective project of their choosing. Instruction and practice in oral and written communication provided.",,,,,,,Y,,,,
"1.013","Senior Civil and Environmental Engineering Design",2,6,4,12,,,,"Permission of instructor",,"Students engage with faculty around a topic of mutual interest, building on the knowledge/skills gained throughout their program. Synthesizes prior coursework and experiences through a semester-long design project and related assignments. Students form teams to work on projects of their choosing, focusing in depth on the diverse areas within civil and environmental engineering. Teams demonstrate creativity in applying theories and methodologies while considering their project's technical, environmental and social feasibility. Includes lectures on a variety of related engineering concepts, as well as scholarship and engineering practice and ethics. Provides instruction and practice in oral and written communication.",,,,,,,Y,,,,
"1.015","Design of Electromechanical Robotic Systems",3,3,6,12,"LAB2",,,"2.003","2.005,2.05,2.051,2.016;2.671","Design, construction, and testing of field robotic systems, through team projects with each student responsible for a specific subsystem. Projects focus on electronics, instrumentation, and machine elements. Design for operation in uncertain conditions is a focus point, with ocean waves and marine structures as a central theme. Basic statistics, linear systems, Fourier transforms, random processes, spectra and extreme events with applications in design. Lectures on ethics in engineering practice included. Satisfies 6 units of Institute Laboratory credit. Enrollment may be limited due to laboratory capacity.","2.017[J]",,,,,,Y,,,,
"1.016","Design for Complex Environmental Issues: Building Solutions and Communicating Ideas",3,1,5,9,,,,"",,"Students work in small groups, under the guidance of researchers from MIT, to pursue specific aspects of the year's Terrascope problem. Teams design and build prototypes, graphic displays and other tools to communicate their findings and display them in a Bazaar of Ideas open to the MIT community. Some teams develop particular solutions, others work to provide deeper understanding of the issues, and others focus on ways to communicate these ideas with the general public. Students' work is evaluated by independent experts. Offers students an opportunity to develop ideas from the fall semester and to work in labs across MIT. Limited to first-year students.","2.00C[J],EC.746[J]",,,,,,Y,,,,
"1.018A","Fundamentals of Ecology I",2,0,4,6,,,,"",,"Fundamentals of ecology, considering Earth as an integrated dynamic living system. Coevolution of the biosphere and geosphere, biogeochemical cycles, metabolic diversity, primary productivity, competition and the niche, trophic dynamics and food webs, population growth and limiting factors. Combination of 1.018A and 1.018B counts as REST subject.","7.30A[J],12.031A[J]",,,,Y,,,,,"O. Cordero Sanchez","Lecture,48-316/TR/0/1-2.30;Recitation,48-316/M/0/4,48-316/R/0/4"
