Subject Id,Term Code,Subject Enrollment Number
HAA.3029,2017FA,1.00
HAA.9744,2017FA,1.00
HAA.5637,2017FA,1.00
HAA.5642,2017FA,3.00
HAA.2498,2017FA,2.00
HAA.2505,2017FA,1.00
HAA.2508,2017FA,1.00
HAA.1601,2017FA,1.00
HAA.1626,2017FA,2.00
HAS.2446,2017FA,1.00
HAS.2482,2017FA,1.00
HAA.3063,2017FA,1.00
HAA.3065,2017FA,1.00
HAA.3069,2017FA,1.00
11.URN,2017FA,1.00
4.URN,2017FA,4.00
3.URN,2017FA,14.00
21M.URN,2017FA,1.00
21L.URN,2017FA,1.00
HST.URN,2017FA,4.00
16.URN,2017FA,11.00
5.URN,2017FA,11.00
6.URN,2017FA,48.00
EC.A790,2017FA,12.00
EC.S07,2017FA,8.00
EC.S11,2017FA,1.00
EC.S12,2017FA,3.00
EC.URG,2017FA,5.00
EM.411,2017FA,108.00
EM.441,2017FA,21.00
21M.030,2017FA,60.00
21M.051,2017FA,50.00
21M.065,2017FA,13.00
21M.226,2017FA,19.00
21M.235,2017FA,8.00
21M.283,2017FA,14.00
21M.292,2017FA,8.00
21M.293,2017FA,16.00
21M.295,2017FA,23.00
21M.299,2017FA,7.00
21M.301,2017FA,82.00
16.A40,2017FA,8.00
16.EPE,2017FA,1.00
16.NIV,2017FA,12.00
20.507,2017FA,1.00
20.554,2017FA,2.00
20.903,2017FA,1.00
20.950,2017FA,62.00
20.951,2017FA,17.00
20.960,2017FA,7.00
20.A02,2017FA,8.00
20.NIV,2017FA,13.00
20.S900,2017FA,27.00
20.S940,2017FA,2.00
20.S947,2017FA,11.00
20.S948,2017FA,19.00
20.S949,2017FA,1.00
21G.151,2017FA,9.00
21G.157,2017FA,2.00
21G.192,2017FA,3.00
12.983,2017FA,2.00
12.A03,2017FA,7.00
2.75,2017FA,18.00
2.750,2017FA,13.00
2.76,2017FA,36.00
2.760,2017FA,16.00
2.78,2017FA,9.00
2.785,2017FA,3.00
2.79,2017FA,13.00
2.791,2017FA,2.00
4.566,2017FA,6.00
4.569,2017FA,8.00
4.580,2017FA,12.00
4.581,2017FA,9.00
4.582,2017FA,2.00
4.583,2017FA,17.00
4.589,2017FA,3.00
4.601,2017FA,19.00
4.603,2017FA,24.00
4.604,2017FA,1.00
4.612,2017FA,15.00
4.614,2017FA,4.00
4.619,2017FA,10.00
6.175,2017FA,19.00
11.345,2017FA,38.00
11.351,2017FA,26.00
11.354,2017FA,37.00
11.360,2017FA,4.00
15.124,2017FA,17.00
15.128,2017FA,10.00
15.136,2017FA,11.00
15.223,2017FA,110.00
15.248,2017FA,31.00
15.269,2017FA,31.00
15.279,2017FA,19.00
15.280,2017FA,409.00
16.413,2017FA,44.00
16.440,2017FA,9.00
16.453,2017FA,32.00
16.459,2017FA,11.00
16.511,2017FA,10.00
16.621,2017FA,12.00
16.622,2017FA,12.00
16.650,2017FA,2.00
16.651,2017FA,2.00
16.653,2017FA,2.00
20.200,2017FA,134.00
20.201,2017FA,18.00
20.203,2017FA,4.00
20.219,2017FA,1.00
20.305,2017FA,6.00
20.309,2017FA,38.00
12.A60,2017FA,5.00
12.NIV,2017FA,2.00
12.S680,2017FA,5.00
12.THG,2017FA,76.00
12.THU,2017FA,4.00
12.TIP,2017FA,8.00
14.003,2017FA,19.00
14.01,2017FA,191.00
1.000,2017FA,24.00
1.010,2017FA,26.00
1.018A,2017FA,8.00
1.018B,2017FA,4.00
2.795,2017FA,15.00
2.798,2017FA,15.00
2.810,2017FA,43.00
2.821,2017FA,20.00
2.853,2017FA,3.00
2.854,2017FA,22.00
2.890,2017FA,1.00
2.900,2017FA,7.00
2.96,2017FA,38.00
4.625,2017FA,6.00
4.634,2017FA,3.00
4.635,2017FA,13.00
4.640,2017FA,10.00
4.647,2017FA,17.00
CMS.615,2017FA,13.00
CMS.616,2017FA,18.00
CMS.617,2017FA,14.00
CMS.619,2017FA,3.00
CMS.628,2017FA,6.00
CMS.634,2017FA,6.00
CMS.701,2017FA,2.00
CMS.790,2017FA,11.00
CMS.796,2017FA,11.00
14.75,2017FA,14.00
14.770,2017FA,12.00
14.771,2017FA,19.00
14.NIV,2017FA,2.00
14.THG,2017FA,85.00
