Subject Id,Subject Title,Subject Level,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule,URL
"21H.001","How to Stage a Revolution","U",3,0,9,12,,"CI-H","HASS-H","",,"Explores fundamental questions about the causes and nature of revolutions by looking at how people overthrow their rulers and establish new governments. Considers a set of major political transformations throughout the world and across centuries to understand the meaning of revolution and evaluate its impact. Examines how revolutionaries have attempted to establish their ideals and realize their goals. Asks whether radical upheavals require bloodshed, violence, or even terror. Seeks to explain why some revolutions succeed and others fail. Materials include the writings of revolutionaries, declarations and constitutions, music, films, art, novels, memoirs, and newspapers.",,,,"2018-2019",Y,,,,,"P. Alimagham, M. Ghachem, C. Horan",,"http://student.mit.edu/catalog/m21Ha.html#21H.001"
"21H.007","Empire: Introduction to Ancient and Medieval Studies","U",3,0,9,12,,"CI-H","HASS-H","",,"Interdisciplinary and comparative investigation of the Roman empire of Augustus and the Frankish empire of Charlemagne.  Focuses on how large, multi-ethnic empires were created, sustained, legitimated, and contested through conquest, government, literature, art, and economic organization. Students examine different types of evidence, read across a variety of disciplines, and develop skills to identify continuities and changes in ancient and medieval societies.","21L.014[J]",,,,,,Y,,,,,"http://student.mit.edu/catalog/m21Ha.html#21H.007"
"21H.009","The World: 1400-Present","U",3,0,9,12,,"CI-H","HASS-H","",,"Surveys the economic and political evolution of societies and cultures from 1400 to the present.  Studies the real and perceived interconnectedness of and difference between cultures, ideologies, and political territories in various parts of the world in the age of empires and nation-states.  Examines a series of evolving relationships: of human beings and their physical environment; religious and political systems; and subgroups within communities as sorted by race, class, religion, gender, and political subjecthood.  Introduces historical and other interpretive methodologies using both primary and secondary source materials.  Considers architectural, audial, and visual evidence, in addition to textual sources.",,,,"2017-2018",Y,,,,,,,"http://student.mit.edu/catalog/m21Ha.html#21H.009"
"21H.101","American History to 1865","U",3,0,9,12,,,"HASS-H","",,"A basic history of American social, economic, and political development from the colonial period through the Civil War. Examines the colonial heritages of Spanish and British America; the American Revolution and its impact; the establishment and growth of the new nation; and the Civil War, its background, character, and impact. Readings include writings of the period by Winthrop, Paine, Jefferson, Madison, W. H. Garrison, G. Fitzhugh, H. B. Stowe, and Lincoln.",,,,"2017-2018",Y,,,,,,,"http://student.mit.edu/catalog/m21Ha.html#21H.101"
"21H.102","American History since 1865","U",3,0,9,12,,"CI-H","HASS-H","",,"Examines the social, cultural, political, and economic history of the United States, from the Civil War to the present. Uses secondary analysis and primary documents, such as court cases, personal accounts, photographs, and films, to examine some of the key issues in the shaping of modern America, including industrialization and urbanization, immigration, the rise of a mass consumer society, the emergence of the US as a global power, and the development of civil rights activism and other major social movements.",,,,,,,Y,,,"C. Horan","Lecture,56-162/T/0/2.30-4;Recitation,56-162/R/0/2.30-4","http://student.mit.edu/catalog/m21Ha.html#21H.102"
"21H.106","Black Matters:  Introduction to Black Studies","U",3,0,9,12,,"CI-H",,"",,"Interdisciplinary survey of people of African descent that draws on the overlapping approaches of history, literature, anthropology, legal studies, media studies, performance, linguistics, and creative writing. Connects the experiences of African-Americans and of other American minorities, focusing on social, political, and cultural histories, and on linguistic patterns. Includes lectures, discussions, workshops, and required field trips that involve minimal cost to students.","24.912[J],21L.008[J],21W.741[J],WGS.190[J]",,,,,,Y,,,"M. DeGraff, D. Fox Harrell","Lecture,32-144/T/0/1-4","http://student.mit.edu/catalog/m21Ha.html#21H.106"
"21H.107","Introduction to Asian American Studies: Historical and Contemporary Issues","U",3,0,9,12,,,"HASS-H","",,"Provides an overview of Asian American history and its relevance for contemporary issues. Covers the first wave of Asian immigration in the 19th century, the rise of anti-Asian movements, the experiences of Asian Americans during WWII, the emergence of the Asian American movement in the 1960s, and the new wave of post-1965 Asian immigration. Examines the role these experiences played in the formation of Asian American ethnicity. Addresses key societal issues such as racial stereotyping, media racism, affirmative action, the glass ceiling, the 'model minority' syndrome, and anti-Asian harassment or violence. Taught in English.","21G.043[J]",,,"2017-2018",Y,,,,,,,"http://student.mit.edu/catalog/m21Ha.html#21H.107"
"21H.108","Sexual and Gender Identities","U",3,0,9,12,,,"HASS-H","",,"Provides an introduction to the history of gender, sex, and sexuality in the modern United States, from the end of the 19th century to the present. Surveys historical approaches to the field, emphasizing the changing nature of sexual and gender identities over time. Traces attempts to control, construct, and contain sexual and gender identities. Examines the efforts of those who worked to resist, reject, and reform institutionalized heterosexuality and mainstream configurations of gendered power.","WGS.110[J]",,,,Y,,,,,"C. Horan",,"http://student.mit.edu/catalog/m21Ha.html#21H.108"
"21H.130","The Ancient World: Greece","U",3,0,9,12,,"CI-H","HASS-H","",,"History of Ancient Greece from the Bronze Age to the death of Alexander. Major social, economic, political, and religious trends. Homer, heroism, and the Greek identity; the hoplite revolution and the rise of the city-state; Herodotus, Persia, and the (re)birth of history; Empire, Thucydidean rationalism, and the Peloponnesian War; Aristotle, Macedonia, and Hellenism. Emphasis on use of primary sources in translation.",,,,,Y,,,,,"S. Ostrow",,"http://student.mit.edu/catalog/m21Ha.html#21H.130"
"21H.132","The Ancient World: Rome","U",3,0,9,12,,"CI-H","HASS-H","",,"History of Rome from its humble beginnings to the 5th century A.D. First half: Kingship to Republican form; the conquest of Italy; Roman expansion: Pyrrhus, Punic Wars and provinces; classes, courts, and the Roman revolution; Augustus and the formation of empire. Second half: Virgil to the Vandals; major social, economic, political and religious trends at Rome and in the provinces. Emphasis on use of primary sources in translation. Enrollment limited.",,,,"2017-2018",,,Y,,,"W. Broadhead",,"http://student.mit.edu/catalog/m21Ha.html#21H.132"
