Subject Id,Subject Title,Subject Level,Lecture Units,Lab Units,Preparation Units,Total Units,Gir Attribute,Comm Req Attribute,Hass Attribute,Prerequisites,Corequisites,Subject Description,Joint Subjects,Meets With Subjects,Equivalent Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Quarter Information,Instructors,Schedule,URL
"CMS.100","Introduction to Media Studies","U",3,3,6,12,,"CI-H","HASS-H","",,"Offers an overview of the social, cultural, political, and economic impact of mediated communication on modern culture. Combines critical discussions with experiments working with different media. Media covered include radio, television, film, the printed word, and digital technologies. Topics include the nature and function of media, core media institutions, and media in transition. Enrollment limited.",,,,,Y,,Y,,,"Fall:  S. Hong, J. Picker\nSpring:  I. Condry, J. Picker","Lecture,1-132/W/0/1-4,1-135/TR/0/11-12.30","http://student.mit.edu/catalog/mCMSa.html#CMS.100"
"CMS.300","Introduction to Videogame Theory","U",3,3,6,12,,,"HASS-H","",,"Introduction to the interdisciplinary study of videogames as texts through an examination of their cultural, educational, and social functions in contemporary settings. Students play and analyze videogames while reading current research and theory from a variety of sources in the sciences, social sciences, humanities, and industry. Assignments focus on game analysis in the context of the theories discussed in class.  Includes regular reading, writing, and presentation exercises. No prior programming experience required. Students taking graduate version complete additional assignments. Limited to 20.",,"CMS.841",,,Y,,,,,"M. Jakobsson",,"http://student.mit.edu/catalog/mCMSa.html#CMS.300"
"CMS.301","Introduction to Game Design Methods","U",5,0,7,12,,,"HASS-A","",,"Provides an introduction to the process of designing games and playful experiences. Familiarizes students with concepts, methods, techniques and tools used in the design of a wide variety of games. Focuses on aspects of the process such as rapid prototyping, play testing, and design iteration using a player-centered approach. Students work in project groups where they engage with a series of confined exercises, practice communicating design ideas, and discuss their own and others work in a constructive manner. No prior programming experience required. Limited to 15.",,,,,,,Y,,,"M. Jakobsson","Lecture,E25-117/TR/0/11-12.30","http://student.mit.edu/catalog/mCMSa.html#CMS.301"
"CMS.307","Critical Worldbuilding","U",3,3,6,12,,,"HASS-A","",,"Studies the design and analysis of invented (or constructed) worlds for narrative media, such as television, films, comics, and literary texts.  Provides the practical, historical and critical tools with which to understand the function and structure of imagined worlds.  Examines world-building strategies in the various media and genres in order to develop a critical and creative repertoire.  Participants create their own invented worlds. Students taking graduate version complete additional assignments. Limited to 13.",,"CMS.807",,"2017-2018",Y,,,,,"J. Diaz",,"http://student.mit.edu/catalog/mCMSa.html#CMS.307"
"CMS.308","The Visual Story: Graphic Novel, Type to Tablet","U",3,0,9,12,,,"HASS-A","",,"Focuses on the interactions between graphic stories and media technologies from the rotary press of the late 19th century to contemporary touch screens, exploring the changing relations among narrative expression, reader experience and media form. Working with examples from Pulitzer's Yellow Kid and McKay's Little Nemo, through the classic comics (from DC superheroes to EC horror) and graphic novels, to interactive and non-linear texts (Cognitos Operation Ajax), examines such elements as graphic design, interface, and form as well as the circulation and economies of these various media-based texts. Students taking graduate version complete additional assignments.",,"CMS.808",,,,,Y,,,"J. Paradis",,"http://student.mit.edu/catalog/mCMSa.html#CMS.308"
"CMS.309","Transmedia Storytelling: Modern Science Fiction","U",3,2,7,12,,,"HASS-A","",,"Explores transmedia storytelling by investigating how science fiction stories are told across different media, such as the short story, the novel, the screenplay, moving image, and games. Students consider issues of aesthetics, authorship, and genre, while also contextualizing discussion within the broader framework of the political issues raised by film, TV, and other kinds of science fiction texts. Students taking graduate version complete additional assignments.","21W.763[J]","CMS.809",,,Y,,Y,,,"Fall:  H. Hendershot\nSpring:  H. Hendershot",,"http://student.mit.edu/catalog/mCMSa.html#CMS.309"
"CMS.311","Media in Weimar and Nazi Germany","U",2,2,8,12,,"CI-H","HASS-H","",,"Debates over national and media identity in Weimar and Nazi Germany. Production and use of media under extreme political and social conditions with a focus on films (such as  Nosferatu, Berlin, M,  and  Triumph des Willens ) and other media. Media approached as both texts and systems. Considers the legacy of the period, in terms of stylistic influence (e.g. film noir), techniques of persuasion, and media's relationship to social and economic conditions. Taught in English. Enrollment limited.","21G.055[J]",,,"2018-2019",,,Y,,,"W. Uricchio","Lecture,E15-335/TR/0/2-3.30","http://student.mit.edu/catalog/mCMSa.html#CMS.311"
"CMS.313","Silent Film","U",3,3,6,12,,,"HASS-H","",,"Examines how the key elements of today's films - composition, continuity editing, lighting, narrative structure - were originally created. Studies the history of cinema, from its origins in the late 19th century to the transition to sound in the late 1920s and early 1930s. Students view a range of films (both mainstream and experimental) from all over the world, with a particular focus on US productions. Emphasis on how color, sound, and other developments paved the way for today's technological innovations.   Students taking graduate version complete additional assignments.",,"CMS.813",,"2017-2018",Y,,,,,"H. Hendershot",,"http://student.mit.edu/catalog/mCMSa.html#CMS.313"
"CMS.314","Phantasmal Media: Theory and Practice","U",3,0,9,12,,,"HASS-A","",,"Engages students in theory and practice of using computational techniques for developing expressive digital media works. Surveys approaches to understanding human imaginative processes, such as constructing concepts, metaphors, and narratives, and applies them to producing and understanding socially, culturally, and critically meaningful works in digital media. Readings engage a variety of theoretical perspectives from cognitive linguistics, literary and cultural theory, semiotics, digital media arts, and computer science. Students produce interactive narratives, games, and related forms of software art. Some programming and/or interactive web scripting experience (e.g., Flash, Javascript) is desirable. Students taking the graduate version complete a project requiring more in-depth theoretical engagement.","21W.753[J]","CMS.814",,,Y,,,,,"D. F. Harrell",,"http://student.mit.edu/catalog/mCMSa.html#CMS.314"
"CMS.333","Production of Educational Videos:  Skills for Communicating Academic and Professional Content","U",3,1,8,12,,"CI-H",,"",,"Develops communication and media skills through the production of educational videos. Students conceive, plan, script, shoot and edit video content to teach elements of MIT's curriculum. Each student creates a series of short videos that concisely explains and contextualizes specific problems of importance to disciplines at MIT, especially physics, math, chemistry, biology, or the humanities. The resulting videos present these problems through compelling use of illustrations, demonstrations, animations, and commentary, all from the student's perspective. Empowers students specifically to communicate their MIT expertise to communities of learners and generally to reach broad audiences with quality, accessible online content. Limited to 12; preference to students in ESG.","ES.333[J]",,,,,,Y,,,"D. Custer","Lecture,24-618/MW/0/3-5","http://student.mit.edu/catalog/mCMSa.html#CMS.333"
"CMS.334","South Asian America: Transnational Media, Culture, and History","U",3,0,9,12,,,"HASS-H","",,"Examines the history of South Asian immigration, sojourning, and settlement from the 1880s to the present. Focuses on the US as one node in the global circulation, not only of people, but of media, culture and ideas, through a broader South Asian diaspora. Considers the concept of 'global media' historically; emphasis on how ideas about, and self-representations of, South Asians have circulated via books, political pamphlets, performance, film, video/cassette tapes, and the internet. Students analyze and discuss scholarly writings, archival documents, memoirs, fiction, blogs and films, and write papers drawing on course materials, lectures, and discussions. Limited to 18.","21W.788[J]",,,"2017-2018",,,Y,,,"V. Bald",,"http://student.mit.edu/catalog/mCMSa.html#CMS.334"
