Subject Id,Subject Title,Total Units,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term
1.00,Engineering Computation and Data Science,12,,,,Y,
1.000,Computer Programming for Engineering Applications,12,,Y,,,
1.001,Engineering Computation and Data Science,12,,,,Y,
1.007,Big Engineering: Small Solutions with a Large Impact,6,,Y,,,
1.010,Uncertainty in Engineering,12,,Y,,,
1.011,Project Evaluation and Management,12,,,,Y,
1.013,Senior Civil and Environmental Engineering Design,12,,,,Y,
1.015,Design of Electromechanical Robotic Systems,12,,,,Y,
1.016,Design for Complex Environmental Issues: Building Solutions and Communicating Ideas,9,,,,Y,
1.018A,Fundamentals of Ecology I,6,,Y,,,
1.018B,Fundamentals of Ecology II,6,,Y,,,
1.020,Engineering Sustainability: Analysis and Design,12,,,,Y,
1.021,Introduction to Modeling and Simulation,12,,,,Y,
1.022,Introduction to Network Models,6,,Y,,,
1.032,Advanced Soil Mechanics,9,,Y,,,
1.035,Multiscale Characterization of Materials,12,,,,Y,
1.036,Structural Mechanics and Design,12,,,,Y,
1.037,Soil Mechanics and Geotechnical Design,12,,,,Y,
1.041,Transportation Systems Modeling,12,,,,Y,
1.044,Fundamentals of Energy in Buildings,12,2017-2018,Y,,,
1.050,Solid Mechanics,12,,Y,,,
1.053,Dynamics and Control I,12,,Y,,Y,
1.054,Mechanics and Design of Concrete Structures,12,,Y,,,
1.056,Building Structural Systems I,12,,,,Y,
1.057,Heritage Science and Technology,9,,Y,,,
1.058,Structural Dynamics,12,,Y,,,
1.060A,Fluid Mechanics I,6,,,,Y,
1.060B,Fluid Mechanics II,6,,,,Y,
1.061,Transport Processes in the Environment,12,,Y,,,
1.061A,Transport Processes in the Environment I,6,,Y,,,
1.062,Nonlinear Dynamics: Continuum Systems,12,,,,Y,
1.064,Physical Limnology,12,2018-2019,,,Y,
1.068,Nonlinear Dynamics and Turbulence,12,2017-2018,,,Y,
1.070A,Introduction to Hydrology and Water Resources,6,,Y,,,
1.070B,Introduction to Hydrology Modeling,6,,Y,,,
1.071,Global Change Science,12,2017-2018,Y,,,
1.072,Groundwater Hydrology,12,,Y,,,
1.073,Introduction to Environmental Data Analysis,6,,,,Y,
1.074,Multivariate Data Analysis,6,,,,Y,
1.075,Water Resource Systems,12,,Y,,,
1.078,Introduction to Soil Science,12,2017-2018,Y,,,
1.079,Rock-on-a-Chip: Microfluidic Technology for Visualization of Flow in Porous Media,12,2017-2018,,,Y,
1.080A,Environmental Chemistry I,6,,,,Y,
1.080B,Environmental Chemistry II,6,,,,Y,
1.081,Environmental Cancer Risks, Prevention, and Therapy,12,,,,Y,
1.082,Ethics for Engineers,6,,Y,,Y,
1.084,Systems Microbiology,12,2017-2018,Y,,,
1.085,Air Pollution,12,,Y,,,
1.087,Fundamentals of Network and Community Ecology,12,,,,Y,
1.089,Environmental Microbiology,12,,,,Y,
1.089A,Environmental Microbiology I,6,,,,Y,
1.091,Traveling Research Environmental eXperience (TREX):  Fieldwork,3,,,Y,,
1.092,Traveling Research Environmental  eXperience (TREX): Fieldwork Analysis and Communication,9,,,,Y,
1.097,Introduction to Civil and Environmental Engineering Research,6,,,Y,,
1.101,Introduction to Civil and Environmental Engineering Design I,6,,,,,
1.102,Introduction to Civil and Environmental Engineering Design II,6,,,,Y,
1.106,Environmental Fluid Transport Processes and Hydrology Laboratory,6,,Y,,,
1.107,Environmental Chemistry and Biology Laboratory,6,,,,Y,
1.124,Software and Computation for Simulation,12,,Y,,,
1.125,Architecting & Engineering Software Systems,12,,Y,,,
1.126,Pattern Recognition and Analysis,12,,Y,,,
1.128,Computational Geometry,12,,,,Y,
1.138,Wave Propagation,12,2017-2018,,,Y,
1.142,Robust Modeling, Optimization, and Computation,12,2017-2018,,,Y,
1.146,Engineering Systems Analysis for Design,12,,Y,,,
1.151,Probability and Statistics in Engineering,12,,,,Y,
1.153,Transportation Policy, the Environment, and Livable Communities,12,,,,Y,
1.200,Transportation Systems Analysis: Performance and Optimization,12,,,,,
1.201,Transportation Systems Analysis: Demand and Economics,12,,Y,,,
1.202,Demand Modeling,12,,,,Y,
