Subject Id,Subject Title,Subject Level,Prerequisites,Corequisites,Joint Subjects,Equivalent Subjects,Meets With Subjects,Not Offered Year,Is Offered Fall Term,Is Offered Iap,Is Offered Spring Term,Is Offered Summer Term,Instructors,Comm Req Attribute,Hass Attribute,Gir Attribute
"21G.417","Cultural Geographies of Germany: Nature, Culture, and Politics","U","21G.404,permission of instructor",,,,,"2017-2018",,,Y,,,,"HASS-H",
"21G.418","Migration, Race and Ethnicity in a New Europe and Germany","U","21G.404,permission of instructor",,,,"21G.058","2017-2018",Y,,,,,,"HASS-H",
"21G.420","Visual Histories: German Cinema 1945 to Present","U","21G.404,permission of instructor",,,,,"2018-2019",Y,,,,"K. Fendt",,"HASS-H",
"21G.451","German I","G","",,,,"21G.401",,Y,Y,Y,,,,,
"21G.452","German II","G","21G.451,permission of instructor",,,,"21G.402",,Y,Y,Y,Y,,,,
"21G.501","Japanese I","U","",,,,"21G.551",,Y,Y,,,"Fall:  T. Aikawa",,"HASS-H",
"21G.502","Japanese II","U","21G.501;placement test,permission of instructor",,,,"21G.552",,,,Y,,"T. Aikawa",,"HASS-H",
"21G.503","Japanese III","U","21G.502;placement test,permission of instructor",,,,,,Y,,,,"W. Maekawa",,"HASS-H",
"21G.504","Japanese IV","U","21G.503;placement test,permission of instructor",,,,,,,,Y,,"W. Maekawa",,"HASS-H",
"21G.505","Japanese V","U","21G.504;placement test,permission of instructor",,,,,,Y,,,,"M. Ikeda-Lamm",,"HASS-H",
"21G.506","Japanese VI","U","21G.505;placement test,permission of instructor",,,,,,,,Y,,"M. Ikeda-Lamm",,"HASS-H",
"21G.551","Japanese I","G","",,,,"21G.501",,Y,Y,,,,,,
"21G.552","Japanese II","G","21G.551,placement test,permission of instructor",,,,"21G.502",,,,Y,,,,,
"21G.590","Visualizing Japan in the Modern World","U","21G.504,permission of instructor",,,,"21G.027[J],CMS.874[J]",,Y,,,,"S. Miyagawa","CI-H","HASS-H",
"21G.591","Gender and Japanese Popular Culture","U","21G.504,permission of instructor",,,,"21A.143[J],21G.039[J],WGS.154[J]","2018-2019",,,Y,,"I. Condry",,"HASS-H",
"21G.592","Introduction to Japanese Culture","U","21G.504,permission of instructor",,,,"21G.064",,Y,,,,,"CI-H","HASS-H",
"21G.593","Japanese Literature and Cinema","U","21G.504,permission of instructor",,,,"21G.065","2017-2018",Y,,,,,"CI-H","HASS-H",
"21G.594","Cinema in Japan and Korea","U","21G.504,permission of instructor",,,,"21G.094",,Y,,,,,,"HASS-A",
"21G.596","Anime: Transnational Media and Culture","U","21G.504,permission of instructor",,,,"21G.063","2017-2018",,,Y,,"I. Condry",,"HASS-H",
"21G.597","Digital Media in Japan and Korea","U","21G.504,permission of the instructor",,,,"21G.067",,,Y,Y,Y,"P. Roquet",,"HASS-H",
"21G.601","Italian I","U","",,,,"21G.651",,,Y,,,,,"HASS-H",
"21G.651","Italian I","G","",,,,"21G.601",,,Y,,,,,,
"21G.801","Portuguese I","U","",,,,"21G.851",,Y,Y,,,"Fall:  A. Hirano",,"HASS-H",
"21G.802","Portuguese II","U","21G.801,permission of instructor",,,,"21G.852",,,,Y,,"N. Dominique",,"HASS-H",
"21G.880","Accelerated Introductory Portuguese for Spanish Speakers","U","21G.704,permission of instructor",,,,"21G.855",,,,Y,,"N. Dominique",,"HASS-H",
"21G.803","Portuguese III","U","21G.802,21G.880,permission of instructor",,,,,,Y,,,,"N. Dominique",,"HASS-H",
"21G.804","Portuguese IV","U","21G.803,permission of instructor",,,,,,,,Y,,"N. Dominique",,"HASS-H",
"21G.820","Topics in Modern Portuguese Literature and Culture","U","21G.804,permission of instructor",,,,,,Y,,,,,,"HASS-H",
"21G.821","The Beat of Brazil: Portuguese Language and Brazilian Society Through its Music","U","21G.804,permission of instructor",,,,,,Y,,,,"N. Dominique",,"HASS-H",
"21G.851","Portuguese I","G","",,,,"21G.801",,Y,Y,,,,,,
"21G.852","Portuguese II","G","21G.851,permission of instructor",,,,"21G.802",,,,Y,,,,,
"21G.855","Accelerated Introductory Portuguese for Spanish Speakers","G","21G.704,permission of instructor",,,,"21G.880",,,,Y,,,,,
"21G.611","Russian I (Regular)","U","",,,,,,Y,Y,,,"M. Khotimsky",,"HASS-H",
"21G.612","Russian II (Regular)","U","21G.611,permission of instructor",,,,,,,,Y,,"M. Khotimsky",,"HASS-H",
"21G.613","Russian III (Regular)","U","21G.612;permission of instructor",,,,,,Y,,,,"M. Khotimsky",,"HASS-H",
"21G.614","Russian IV (Regular)","U","21G.613;permission of instructor",,,,,,,,Y,,"M. Khotimsky",,"HASS-H",
"21G.618","Introduction to the Classics of Russian Literature - Russian Language Option","U","21G.614,permission of instructor",,,,"21G.077[J],21L.490[J]",,,,Y,,,,"HASS-H",
"21G.901","Korean I (Regular)","U","",,,,,,Y,Y,,,"Fall:  S. Pak",,"HASS-H",
"21G.902","Korean II (Regular)","U","21G.901,permission of instructor",,,,,,,,Y,,"S. Pak",,"HASS-H",
"21G.903","Korean III (Regular)","U","21G.902,permission of instructor",,,,,,Y,,,,"S. Pak",,"HASS-H",
"21G.904","Korean IV (Regular)","U","21G.903,permission of instructor",,,,,,,,Y,,"S. Pak",,"HASS-H",
"21G.701","Spanish I","U","",,,,"21G.751",,Y,Y,Y,,"Fall:  L. Soto\nSpring:  M. San Martin",,"HASS-H",
"21G.702","Spanish II","U","21G.701,permission of instructor",,,"21G.700,21G.782,21G.783","21G.752",,Y,,Y,,"Fall:  A. Yanez Rodriguez",,"HASS-H",
"21G.782","Spanish II (Study Abroad)","U","21G.701,permission of instructor",,,"21G.700,21G.702,21G.752","21G.783",,,Y,,,,,"HASS-H",
"21G.700","Intensive Spanish for Advanced Beginner Students","U","Permission of instructor",,,,,,Y,,,,"M. San Martin",,"HASS-H",
"21G.703","Spanish III","U","21G.702,permission of instructor",,,,,,Y,,Y,,"Fall:  L. Soto\nSpring:  L. Soto",,"HASS-H",
"21G.793","Spanish III in Madrid","U","21G.702,permission of instructor",,,,,,,Y,,,"M. San Martin",,"HASS-H",
"21G.704","Spanish IV","U","21G.703,permission of instructor",,,,,,Y,,Y,,"Fall:  M. Ribas Groeger\nSpring:  A. Yanez Rodriguez",,"HASS-H",
"21G.708","Spanish: Communication Intensive I","U","Permission of instructor","21G.716,21G.717,21G.731,21G.735,21G.738,21G.739,21G.740",,,,,Y,,Y,,"Fall:  M. Ribas Groeger\nSpring:  M. Ribas Groeger",,,
"21G.709","Spanish: Communication Intensive II","U","","21G.716J,21G.717J,21G.731,21G.735,21G.738J,21G.739,21G.740J",,,,,Y,,Y,,"M. Ribas Groeger",,,
"21G.710","Advanced Communication in Spanish: Topics in Language and Culture","U","",,,,,,,,Y,,,,"HASS-H",
"21G.711","Advanced Spanish Conversation and Composition: Perspectives on Technology and Culture","U","21G.704,permission of instructor",,,,,,,,Y,,"M. Ribas Groeger",,"HASS-H",
"21G.712","Spanish Conversation and Composition","U","21G.704,permission of instructor",,,,,,Y,,,,"M. Ribas Groeger",,"HASS-H",
"21G.795","Advanced Spanish Communication in Spain","U","21G.704,permission of instructor",,,,,,,Y,,,"M. Ribas Groeger",,"HASS-H",
"21G.713","Spanish through Film: Mexico, Chile, Argentina, and Spain","U","21G.704,permission of instructor",,,,,,,,Y,,"A. Yanez Rodriguez",,"HASS-H",
"21G.714","Spanish for Heritage Learners","U","Fluency in a Spanish dialect,permission of instructor",,,,,"2018-2019",,,Y,,"J. Barroso",,"HASS-H",
"21G.715","Topics in Medicine and Public Health in the Hispanic World","U","21G.704,permission of instructor",,,,,,Y,,,,"M. San Martin",,"HASS-H",
"21G.716","Introduction to Contemporary Hispanic Literature and Film","U","One intermediate subject in Spanish,permission of instructor",,"21L.636[J]",,,"2017-2018",Y,,,,,,"HASS-H",
"21G.717","Introduction to Hispanic Culture","U","One intermediate subject in Spanish,permission of instructor",,"21L.637[J]",,,"2017-2018",,,Y,,,,"HASS-H",
"21G.731","Creation of a Continent: Representations of Hispanic America, 1492-1898, in Literature and Film","U","One intermediate Spanish subject,permission of instructor",,"21H.274[J]",,,"2018-2019",,,Y,,"L. Ewald",,"HASS-H",
"21G.732","The Making of the Latin American City: Culture, Gender, and Citizenship","U","One intermediate subject in Spanish,permission of instructor",,,,,,,,Y,,"P. Duong",,"HASS-H",
"21G.735","Advanced Topics in Hispanic Literature and Film","U","One intermediate Spanish subject,permission of instructor",,,,,,Y,,Y,,"Fall:  L. Greene\nSpring:  L. Greene",,"HASS-H",
"21G.736","The Short Story in Spain and Hispanic America","U","One intermediate subject in Spanish,permission of instructor",,,,,,Y,,,,"L. Ewald",,"HASS-H",
"21G.738","Literature and Social Conflict: Perspectives on the Hispanic World","U","One intermediate subject in Spanish,permission of instructor",,"21L.638[J]",,,"2018-2019",Y,,,,"J. Terrones",,"HASS-H",
"21G.739","Globalization and its Discontents: Spanish-speaking Nations","U","One intermediate subject in Spanish,permission of instructor",,"21L.639[J]",,,"2018-2019",,,Y,,"J. Terrones",,"HASS-H",
"21G.740","The New Spain: 1977-Present","U","One intermediate subject in Spanish,permission of instructor",,"21L.640[J]",,,"2017-2018",Y,,,,,,"HASS-H",
"21G.751","Spanish I","G","",,,,"21G.701",,Y,Y,Y,,,,,
"21G.752","Spanish II","G","21G.751,permission of instructor",,,"21G.700,21G.782,21G.783","21G.702",,Y,,Y,,,,,
"21G.783","Spanish II (Study Abroad)","G","21G.751,permission of instructor",,,"21G.700,21G.702,21G.752","21G.782",,,Y,,,,,,
"21G.911","Independent Study","U","",,,,,,Y,Y,Y,,"J. Roberge",,,
"21G.S01","Special Subject: Global Studies and Languages","U","",,,,,,,,Y,,,,,
"21G.S02","Special Subject: Global Studies and Languages","U","",,,,,,Y,,,,"F. Heberer",,,
"21G.S03","Special Subject: Global Studies and Languages","U","",,,,,,,,Y,,,,,
"21G.S04","Special Subject: Global Studies and Languages","U","",,,,,,,,Y,,,,,
"21G.S05","Special Subject: Global Studies and Languages","U","",,,,,,,Y,,,"K. Zhou",,,
"21G.S06","Special Subject: Global Studies and Languages","U","",,,,,,,,Y,,,,,
"21G.S07","Special Subject: Global Studies and Languages","U","",,,,,,,,Y,,,,,
"21G.S08","Special Subject: Global Studies and Languages","U","",,,,,,,,Y,,,,,
"21G.THT","Pre-Thesis Tutorial: Global Studies and Languages","U","Permission of instructor",,,,,,Y,,Y,,"Fall:  J. Roberge\nSpring:  J. Roberge",,,
"21G.THU","Global Studies and Languages Thesis","U","21G.THT",,,,,,Y,Y,Y,Y,"Fall:  J. Roberge\nSpring:  J. Roberge",,,
"21G.UR","Undergraduate Research","U","",,,"21G.URG",,,Y,Y,Y,Y,"Fall:  J. Roberge\nSpring:  J. Roberge",,,
"21G.URG","Undergraduate Research","U","",,,"21G.UR",,,Y,Y,Y,Y,"Fall:  J. Roberge\nSpring:  J. Roberge",,,
"21H.001","How to Stage a Revolution","U","",,,,,"2018-2019",Y,,,,"P. Alimagham, M. Ghachem, C. Horan","CI-H","HASS-H",
"21H.007","Empire: Introduction to Ancient and Medieval Studies","U","",,"21L.014[J]",,,,,,Y,,,"CI-H","HASS-H",
"21H.009","The World: 1400-Present","U","",,,,,"2017-2018",Y,,,,,"CI-H","HASS-H",
"21H.101","American History to 1865","U","",,,,,"2017-2018",Y,,,,,,"HASS-H",
